feature,importance
open,173
high,94
rsi,24
adx,14
sma_50_200_cross,12
volatility_regime,10
mfi,7
price_to_sma_50,7
rsi_ma_cross,5
ema_200,4
trend_strength,2
bb_width,2
sma_200,2
di_minus,2
stoch_d,1
price_momentum,1
trend_vol,0
price_to_sma50,0
price_to_sma20,0
price_to_sma10,0
ema_50_200_cross,0
price_to_sma200,0
sma_10_20_cross,0
volume_price_trend,0
sma_20_50_cross,0
bb_high,0
bb_mid,0
rsi_macd,0
volume_sma,0
volume_ratio,0
momentum_strength,0
high_low_range,0
body_ratio,0
bb_low,0
log_returns,0
price_to_sma_200,0
volume_ma_50,0
low,0
volume,0
sma_10,0
sma_20,0
sma_50,0
ema_10,0
ema_20,0
ema_50,0
macd,0
macd_signal,0
macd_diff,0
stoch_k,0
di_plus,0
bb_lower,0
bb_middle,0
bb_upper,0
atr,0
obv,0
returns,0
returns_volatility,0
volume_ma_20,0
volume_volatility,0
