date,total_value
1970-01-01 00:00:00.000000000,100000.0
1970-01-01 00:00:00.000000001,
1970-01-01 00:00:00.000000002,
1970-01-01 00:00:00.000000003,
1970-01-01 00:00:00.000000004,
1970-01-01 00:00:00.000000005,
1970-01-01 00:00:00.000000006,
1970-01-01 00:00:00.000000007,
1970-01-01 00:00:00.000000008,
1970-01-01 00:00:00.000000009,
1970-01-01 00:00:00.000000010,
1970-01-01 00:00:00.000000011,
1970-01-01 00:00:00.000000012,
1970-01-01 00:00:00.000000013,
1970-01-01 00:00:00.000000014,
1970-01-01 00:00:00.000000015,
1970-01-01 00:00:00.000000016,
1970-01-01 00:00:00.000000017,
1970-01-01 00:00:00.000000018,
1970-01-01 00:00:00.000000019,
1970-01-01 00:00:00.000000020,
1970-01-01 00:00:00.000000021,
1970-01-01 00:00:00.000000022,
1970-01-01 00:00:00.000000023,
1970-01-01 00:00:00.000000024,
1970-01-01 00:00:00.000000025,
1970-01-01 00:00:00.000000026,
1970-01-01 00:00:00.000000027,
1970-01-01 00:00:00.000000028,
1970-01-01 00:00:00.000000029,
1970-01-01 00:00:00.000000030,
1970-01-01 00:00:00.000000031,
1970-01-01 00:00:00.000000032,
1970-01-01 00:00:00.000000033,
1970-01-01 00:00:00.000000034,
1970-01-01 00:00:00.000000035,
1970-01-01 00:00:00.000000036,
1970-01-01 00:00:00.000000037,
1970-01-01 00:00:00.000000038,
1970-01-01 00:00:00.000000039,
1970-01-01 00:00:00.000000040,
1970-01-01 00:00:00.000000041,
1970-01-01 00:00:00.000000042,
1970-01-01 00:00:00.000000043,
1970-01-01 00:00:00.000000044,
1970-01-01 00:00:00.000000045,
1970-01-01 00:00:00.000000046,
1970-01-01 00:00:00.000000047,
1970-01-01 00:00:00.000000048,
1970-01-01 00:00:00.000000049,
1970-01-01 00:00:00.000000050,
1970-01-01 00:00:00.000000051,
1970-01-01 00:00:00.000000052,
1970-01-01 00:00:00.000000053,
1970-01-01 00:00:00.000000054,
1970-01-01 00:00:00.000000055,
1970-01-01 00:00:00.000000056,
1970-01-01 00:00:00.000000057,
1970-01-01 00:00:00.000000058,
1970-01-01 00:00:00.000000059,
1970-01-01 00:00:00.000000060,
1970-01-01 00:00:00.000000061,
1970-01-01 00:00:00.000000062,
1970-01-01 00:00:00.000000063,
1970-01-01 00:00:00.000000064,
1970-01-01 00:00:00.000000065,
1970-01-01 00:00:00.000000066,
1970-01-01 00:00:00.000000067,
