date,action,price,shares,pnl
1970-01-01 00:00:00.000000077,BUY,364.11,1.5204253203705749,
1970-01-01 00:00:00.000000091,STOP_LOSS,371.38,1.5204253203705749,11.053492079093985
1970-01-01 00:00:00.000000091,BUY,371.38,1.5581024367223102,
1970-01-01 00:00:00.000000118,STOP_LOSS,129.04,1.5581024367223102,-377.5905445152847
1970-01-01 00:00:00.000000118,BUY,129.04,3.3093944059650298,
1970-01-01 00:00:00.000000121,STOP_LOSS,120.88,3.3093944059650298,-27.004658352674596
1970-01-01 00:00:00.000000121,BUY,120.88,3.632820810328782,
1970-01-01 00:00:00.000000130,STOP_LOSS,110.34,3.632820810328782,-38.28993134086534
1970-01-01 00:00:00.000000130,BUY,110.34,3.8188326307687026,
1970-01-01 00:00:00.000000141,STOP_LOSS,113.02,3.8188326307687026,10.234471450460092
