Date,open,high,low,close,volume
2020-01-02 05:00:00+00:00,48.42,48.6,48.25,48.53,12238079
2020-01-03 05:00:00+00:00,48.96,49.11,48.14,48.38,35456379
2020-01-06 05:00:00+00:00,48.55,49.01,48.38,48.75,22888808
2020-01-07 05:00:00+00:00,48.62,48.68,48.06,48.63,11643071
2020-01-08 05:00:00+00:00,48.58,48.64,47.77,47.83,19557931
2020-01-09 05:00:00+00:00,47.81,48.23,47.25,48.18,15513256
2020-01-10 05:00:00+00:00,48.16,48.2,47.86,47.91,9322401
2020-01-13 05:00:00+00:00,47.84,48.08,47.59,47.93,8913334
2020-01-14 05:00:00+00:00,47.82,47.99,47.51,47.94,17445510
2020-01-15 05:00:00+00:00,47.73,47.87,47.44,47.58,11212524
2020-01-16 05:00:00+00:00,47.86,48.02,47.64,47.66,8334598
2020-01-17 05:00:00+00:00,47.79,47.82,47.27,47.31,12627262
2020-01-21 05:00:00+00:00,47.09,47.1,46.43,46.51,17868104
2020-01-22 05:00:00+00:00,46.42,46.45,45.93,46.04,14953534
2020-01-23 05:00:00+00:00,45.58,46.03,45.23,45.89,13419215
2020-01-24 05:00:00+00:00,45.68,45.88,45.0,45.36,20702247
2020-01-27 05:00:00+00:00,44.44,44.62,44.04,44.1,22290234
2020-01-28 05:00:00+00:00,44.35,44.57,44.12,44.3,14506307
2020-01-29 05:00:00+00:00,44.55,44.71,43.78,43.83,14490851
2020-01-30 05:00:00+00:00,43.38,44.23,43.27,44.19,24679192
2020-01-31 05:00:00+00:00,43.44,43.56,42.58,42.81,34283038
2020-02-03 05:00:00+00:00,42.75,42.82,42.1,42.25,22202576
2020-02-04 05:00:00+00:00,42.86,43.19,42.32,42.4,20012740
2020-02-05 05:00:00+00:00,43.11,44.15,43.08,43.99,38210623
2020-02-06 05:00:00+00:00,44.2,44.2,43.47,43.58,15911326
2020-02-07 05:00:00+00:00,43.22,43.43,43.02,43.24,13966111
2020-02-10 05:00:00+00:00,43.02,43.12,42.76,43.03,15068790
2020-02-11 05:00:00+00:00,43.61,43.67,43.31,43.51,14346480
2020-02-12 05:00:00+00:00,44.15,44.34,43.73,44.1,17663122
2020-02-13 05:00:00+00:00,43.97,44.2,43.7,43.95,12161567
2020-02-14 05:00:00+00:00,44.11,44.14,43.45,43.72,12883345
2020-02-18 05:00:00+00:00,43.34,43.71,42.96,43.35,18821706
2020-02-19 05:00:00+00:00,43.65,44.11,43.41,43.94,12887940
2020-02-20 05:00:00+00:00,44.05,44.38,43.78,43.92,13190725
2020-02-21 05:00:00+00:00,43.47,43.51,43.01,43.37,14400707
2020-02-24 05:00:00+00:00,41.87,41.98,41.24,41.37,34638215
2020-02-25 05:00:00+00:00,41.48,41.51,39.28,39.54,44333247
2020-02-26 05:00:00+00:00,39.68,39.88,38.33,38.35,50797384
2020-02-27 05:00:00+00:00,37.35,38.07,36.28,36.3,62819713
2020-02-28 05:00:00+00:00,35.15,36.72,34.86,36.26,70321623
2020-03-02 05:00:00+00:00,37.07,37.78,35.99,37.75,37228643
2020-03-03 05:00:00+00:00,37.95,38.44,36.17,36.59,52839662
2020-03-04 05:00:00+00:00,37.36,37.45,36.58,37.44,24870410
2020-03-05 05:00:00+00:00,36.33,36.54,35.47,36.07,30744353
2020-03-06 05:00:00+00:00,34.85,35.16,33.53,34.05,62562340
2020-03-09 04:00:00+00:00,28.09,29.18,27.02,27.17,69604269
2020-03-10 04:00:00+00:00,29.38,29.5,26.72,28.48,50182924
