symbol,open,high,low,close,volume,average,barCount,localSymbol,expiry,date
ES,6028.75,6036.25,6015.25,6016.5,34030.0,6022.5,16922.0,ESH5,20250321,2024-12-30
NQ,21711.0,21742.75,21670.5,21679.25,19501.0,21698.3,14795.0,NQH5,20250321,2024-12-30
YM,43300.0,43381.0,43248.0,43260.0,4053.0,43295.3,3070.0,YMH5,20250321,2024-12-30
RTY,2263.6,2267.8,2256.4,2256.8,2900.0,2260.43,2141.0,RTYH5,20250321,2024-12-30
ZB,113.1875,113.25,113.0625,113.21875,12721.0,113.1375,2123.0,ZBH5,20250320,2024-12-30
ZN,108.4375,108.484375,108.375,108.484375,47267.0,108.4203125,5524.0,ZNH5,20250320,2024-12-30
ZF,106.1953125,106.1953125,106.1953125,106.1953125,0.0,106.1953125,0.0,ZFZ4,20241231,2024-12-27
CL,70.42,70.75,70.12,70.69,8168.0,70.507,4634.0,CLG5,20250121,2024-12-30
NG,3.657,3.749,3.648,3.676,20357.0,3.6907,10244.0,NGG5,20250129,2024-12-30
RB,1.9504,1.9676,1.9449,1.9646,96.0,1.95359,83.0,RBF5,20241231,2024-12-30
HO,2.2405,2.2718,2.2397,2.2718,361.0,2.25068,261.0,HOF5,20241231,2024-12-30
GC,2620.7,2626.9,2620.4,2622.5,74.0,2623.64,52.0,GCF5,20250129,2024-12-30
SI,29.66,29.66,29.66,29.66,1.0,29.66,1.0,SIF5,20250129,2024-12-30
HG,4.09,4.09,4.089,4.089,3.0,4.08965,3.0,HGF5,20250129,2024-12-30
ZC,453.75,455.0,453.5,454.75,7970.0,454.55,641.0,ZCH5,20250314,2024-12-30
ZW,547.25,549.5,545.5,548.75,2424.0,548.1,775.0,ZWH5,20250314,2024-12-30
ZS,983.5,988.0,980.0,982.0,1068.0,984.1,225.0,ZSF5,20250114,2024-12-30
LE,192.475,193.725,192.475,193.5,740.0,193.1075,338.0,LEZ4,20241231,2024-12-27
