symbol,date,close,signal,position
CL,2024-12-30,70.6,-1.0,-0.05989082161514761
ES,2024-12-30,6018.75,1.0,0.06940784546545743
GC,2024-12-30,2623.9,1.0,0.08292579710839114
HG,2024-12-30,4.09,-1.0,-0.08694534608123149
HO,2024-12-30,2.2674,0.0,0.0
LE,2024-12-27,193.5,1.0,0.1337479030521986
NG,2024-12-30,3.666,1.0,0.01820953344519688
NQ,2024-12-30,21687.0,1.0,0.05313620330239148
RB,2024-12-30,1.9648,-1.0,-0.06565244386890333
RTY,2024-12-30,2257.5,0.0,0.0
SI,2024-12-30,29.66,0.0,0.0
YM,2024-12-30,43271.0,1.0,0.08375924543209691
ZB,2024-12-30,113.125,-1.0,-0.14863968328877222
ZC,2024-12-30,454.75,1.0,0.07203982160253151
ZF,2024-12-27,106.1953125,-1.0,-0.45455895499642135
ZN,2024-12-30,108.390625,-1.0,-0.30547113472343695
ZS,2024-12-30,981.0,-1.0,-0.08576580323018734
ZW,2024-12-30,548.5,-1.0,-0.055355192942850746
