Date,open,high,low,close,volume
2020-01-02 05:00:00+00:00,156.27,156.31,153.95,155.4,19099258
2020-01-03 05:00:00+00:00,153.49,155.05,153.45,154.77,20059436
2020-01-06 05:00:00+00:00,153.59,155.17,153.3,155.02,17691079
2020-01-07 05:00:00+00:00,154.5,154.98,153.93,154.48,12073898
2020-01-08 05:00:00+00:00,154.5,155.63,154.41,155.02,14362219
2020-01-09 05:00:00+00:00,155.72,156.03,154.91,155.16,12400019
2020-01-10 05:00:00+00:00,155.18,155.31,153.92,154.5,16234087
2020-01-13 05:00:00+00:00,154.61,155.64,153.8,155.57,19960563
2020-01-14 05:00:00+00:00,154.8,157.1,154.65,156.14,18683930
2020-01-15 05:00:00+00:00,155.75,157.43,155.74,156.86,15709537
2020-01-16 05:00:00+00:00,158.03,159.23,157.88,158.9,20356026
2020-01-17 05:00:00+00:00,159.62,159.88,158.11,158.48,18781528
2020-01-21 05:00:00+00:00,157.82,158.41,156.8,157.17,19526353
2020-01-22 05:00:00+00:00,157.66,158.06,156.71,157.07,15493106
2020-01-23 05:00:00+00:00,156.64,157.45,155.09,157.05,16323364
2020-01-24 05:00:00+00:00,157.49,157.49,153.95,154.97,21222165
2020-01-27 05:00:00+00:00,152.65,154.19,152.25,153.28,19649189
2020-01-28 05:00:00+00:00,154.2,155.04,153.25,154.56,17072563
2020-01-29 05:00:00+00:00,154.76,155.19,153.64,153.67,15300905
2020-01-30 05:00:00+00:00,152.62,153.86,151.79,153.67,22183124
2020-01-31 05:00:00+00:00,153.09,153.66,150.01,150.5,31565009
2020-02-03 05:00:00+00:00,151.48,152.73,151.38,152.17,17961688
2020-02-04 05:00:00+00:00,154.02,154.96,153.88,154.45,16927392
2020-02-05 05:00:00+00:00,156.06,157.04,155.31,156.8,18269802
2020-02-06 05:00:00+00:00,157.38,157.62,156.32,156.48,15332542
2020-02-07 05:00:00+00:00,155.88,155.94,154.11,154.56,18617758
2020-02-10 05:00:00+00:00,154.26,155.5,154.16,155.47,12071634
2020-02-11 05:00:00+00:00,156.35,157.44,155.86,156.51,15219967
2020-02-12 05:00:00+00:00,157.5,157.75,156.81,157.57,12575254
2020-02-13 05:00:00+00:00,156.75,158.37,156.65,158.01,12794923
2020-02-14 05:00:00+00:00,158.14,158.21,156.86,157.39,16433746
2020-02-18 05:00:00+00:00,157.01,157.54,156.01,157.07,13703108
2020-02-19 05:00:00+00:00,157.64,158.55,157.04,157.86,11335034
2020-02-20 05:00:00+00:00,157.39,158.52,156.16,158.26,21030939
2020-02-21 05:00:00+00:00,157.62,158.07,155.91,156.58,19212625
2020-02-24 05:00:00+00:00,151.72,156.6,151.01,151.81,28922440
2020-02-25 05:00:00+00:00,152.34,152.57,146.19,146.52,45784530
2020-02-26 05:00:00+00:00,147.22,148.57,144.56,144.87,40117499
2020-02-27 05:00:00+00:00,141.87,145.3,139.5,139.75,51037507
2020-02-28 05:00:00+00:00,135.78,139.79,134.9,138.19,73222111
2020-03-02 05:00:00+00:00,138.66,141.76,136.29,141.57,34187282
2020-03-03 05:00:00+00:00,141.63,144.54,137.15,138.72,43518265
2020-03-04 05:00:00+00:00,140.87,142.9,139.22,142.74,36955833
2020-03-05 05:00:00+00:00,139.52,142.93,136.38,138.08,33197880
2020-03-06 05:00:00+00:00,133.77,136.84,132.16,135.38,40146312
2020-03-09 04:00:00+00:00,125.73,127.64,122.1,122.14,58195627
2020-03-10 04:00:00+00:00,126.17,126.36,120.0,126.03,54871469
2020-03-11 04:00:00+00:00,122.72,123.99,116.39,118.04,52026732
2020-03-12 04:00:00+00:00,109.46,112.39,104.61,104.72,71616312
2020-03-13 04:00:00+00:00,110.85,112.45,102.69,112.26,58231901
2020-03-16 04:00:00+00:00,101.82,104.33,95.08,98.9,60646495
2020-03-17 04:00:00+00:00,98.39,103.58,94.31,102.05,61758642
2020-03-18 04:00:00+00:00,96.6,100.09,90.22,94.54,64413682
2020-03-19 04:00:00+00:00,93.41,100.11,89.7,97.36,65365469
2020-03-20 04:00:00+00:00,99.48,101.95,94.16,94.83,75740093
2020-03-23 04:00:00+00:00,95.52,95.78,89.9,93.46,64368709
2020-03-24 04:00:00+00:00,98.83,102.48,93.68,102.19,74884879
2020-03-25 04:00:00+00:00,103.03,107.27,99.76,103.48,56850285
2020-03-26 04:00:00+00:00,104.95,110.66,104.63,109.7,52498946
2020-03-27 04:00:00+00:00,105.62,109.17,104.32,106.12,40490890
2020-03-30 04:00:00+00:00,106.61,108.46,104.26,108.25,41956738
2020-03-31 04:00:00+00:00,107.83,109.31,105.35,107.48,54351784
2020-04-01 04:00:00+00:00,102.28,103.86,99.3,100.36,55283352
2020-04-02 04:00:00+00:00,99.53,103.87,98.39,101.35,44552656
2020-04-03 04:00:00+00:00,100.28,101.62,96.54,98.44,44882735
2020-04-06 04:00:00+00:00,102.65,106.65,102.58,105.96,49836493
2020-04-07 04:00:00+00:00,109.98,111.64,105.75,106.28,58423046
2020-04-08 04:00:00+00:00,108.01,112.2,106.6,111.22,53934048
2020-04-09 04:00:00+00:00,114.72,117.25,114.16,116.44,70593925
2020-04-13 04:00:00+00:00,115.6,116.22,112.08,113.26,40869332
2020-04-14 04:00:00+00:00,116.58,117.51,114.14,115.55,35561220
2020-04-15 04:00:00+00:00,110.9,112.08,109.77,110.84,35528122
2020-04-16 04:00:00+00:00,111.12,111.43,107.79,109.95,50486424
2020-04-17 04:00:00+00:00,114.7,115.47,112.97,114.86,47595944
2020-04-20 04:00:00+00:00,112.53,115.64,112.01,113.48,38121136
2020-04-21 04:00:00+00:00,110.49,112.2,109.6,110.81,32013724
2020-04-22 04:00:00+00:00,113.19,113.85,111.76,112.16,25296642
2020-04-23 04:00:00+00:00,113.02,115.64,112.61,113.3,39860402
2020-04-24 04:00:00+00:00,114.29,116.04,113.0,115.22,27652920
2020-04-27 04:00:00+00:00,116.63,120.86,116.55,119.73,39673126
2020-04-28 04:00:00+00:00,123.38,123.7,119.77,121.34,47970112
2020-04-29 04:00:00+00:00,125.61,128.77,124.09,127.42,51388843
2020-04-30 04:00:00+00:00,124.11,125.09,122.46,122.6,44657618
2020-05-01 04:00:00+00:00,119.64,119.94,116.01,117.85,44423957
2020-05-04 04:00:00+00:00,116.3,118.47,115.03,118.26,28710660
2020-05-05 04:00:00+00:00,120.51,122.25,118.66,119.11,31724511
2020-05-06 04:00:00+00:00,119.96,120.63,117.62,118.13,30064787
2020-05-07 04:00:00+00:00,119.87,120.91,119.08,119.93,27979018
2020-05-08 04:00:00+00:00,122.48,124.91,121.56,124.58,32991290
2020-05-11 04:00:00+00:00,122.71,125.1,121.7,123.92,34476326
2020-05-12 04:00:00+00:00,124.45,124.48,119.35,119.39,45508229
2020-05-13 04:00:00+00:00,118.23,118.64,113.3,115.38,59431041
2020-05-14 04:00:00+00:00,112.89,115.99,110.26,115.97,56788552
2020-05-15 04:00:00+00:00,114.77,118.12,114.29,117.73,40918596
2020-05-18 04:00:00+00:00,123.69,125.51,123.11,124.87,47963207
2020-05-19 04:00:00+00:00,124.41,125.57,122.38,122.44,30677591
2020-05-20 04:00:00+00:00,124.85,127.01,124.57,126.11,36430089
2020-05-21 04:00:00+00:00,126.14,127.09,124.75,126.35,33005905
2020-05-22 04:00:00+00:00,126.72,127.08,125.17,126.88,24221348
2020-05-26 04:00:00+00:00,131.82,132.09,127.02,130.54,37791343
2020-05-27 04:00:00+00:00,133.21,135.03,129.22,134.66,43311848
