Date,open,high,low,close,volume
2020-01-02 05:00:00+00:00,27.99,28.16,27.9,28.12,29754410
2020-01-03 05:00:00+00:00,27.78,27.98,27.71,27.86,54468886
2020-01-06 05:00:00+00:00,27.6,27.86,27.6,27.86,30184978
2020-01-07 05:00:00+00:00,27.78,27.82,27.66,27.66,42703077
2020-01-08 05:00:00+00:00,27.69,27.99,27.69,27.84,49023318
2020-01-09 05:00:00+00:00,28.04,28.06,27.93,28.01,28989058
2020-01-10 05:00:00+00:00,28.03,28.04,27.77,27.8,39322868
2020-01-13 05:00:00+00:00,27.87,28.02,27.79,28.02,28237922
2020-01-14 05:00:00+00:00,27.99,28.16,27.9,27.94,38056674
2020-01-15 05:00:00+00:00,27.8,27.89,27.7,27.79,42371006
2020-01-16 05:00:00+00:00,27.92,28.03,27.86,28.03,35141380
2020-01-17 05:00:00+00:00,28.11,28.18,28.0,28.11,39707056
2020-01-21 05:00:00+00:00,27.98,28.1,27.88,27.88,48635605
2020-01-22 05:00:00+00:00,27.97,28.03,27.92,27.96,31003408
2020-01-23 05:00:00+00:00,27.81,27.95,27.62,27.89,49274686
2020-01-24 05:00:00+00:00,27.89,27.89,27.36,27.51,59717949
2020-01-27 05:00:00+00:00,26.99,27.23,26.95,27.08,54245073
2020-01-28 05:00:00+00:00,27.25,27.54,27.21,27.41,34963753
2020-01-29 05:00:00+00:00,27.51,27.61,27.33,27.37,45117765
2020-01-30 05:00:00+00:00,27.13,27.74,27.12,27.72,51861488
2020-01-31 05:00:00+00:00,27.49,27.53,27.04,27.13,59966154
2020-02-03 05:00:00+00:00,27.33,27.6,27.31,27.33,40671297
2020-02-04 05:00:00+00:00,27.7,27.86,27.59,27.6,80810512
2020-02-05 05:00:00+00:00,27.97,28.18,27.9,28.15,53138569
2020-02-06 05:00:00+00:00,28.3,28.33,28.05,28.11,38939932
2020-02-07 05:00:00+00:00,27.96,28.09,27.89,28.01,28413987
2020-02-10 05:00:00+00:00,27.92,28.09,27.91,28.09,18307573
2020-02-11 05:00:00+00:00,28.17,28.32,28.17,28.2,28346698
2020-02-12 05:00:00+00:00,28.34,28.43,28.18,28.2,27224052
2020-02-13 05:00:00+00:00,28.12,28.27,28.04,28.2,23006995
2020-02-14 05:00:00+00:00,28.18,28.26,28.1,28.24,22283176
2020-02-18 05:00:00+00:00,28.16,28.23,27.83,27.97,39796201
2020-02-19 05:00:00+00:00,28.09,28.28,28.06,28.19,26094642
2020-02-20 05:00:00+00:00,28.1,28.34,27.96,28.15,50616965
2020-02-21 05:00:00+00:00,28.01,28.08,27.72,27.89,51832588
2020-02-24 05:00:00+00:00,27.0,27.23,26.84,26.96,72155743
2020-02-25 05:00:00+00:00,26.98,27.03,25.93,26.06,116366955
2020-02-26 05:00:00+00:00,26.23,26.47,25.87,25.87,100868202
2020-02-27 05:00:00+00:00,25.31,25.72,24.74,24.76,154723956
2020-02-28 05:00:00+00:00,23.92,24.33,23.53,24.13,197996692
2020-03-02 05:00:00+00:00,24.13,25.32,23.88,25.32,131053712
2020-03-03 05:00:00+00:00,25.24,25.59,24.12,24.36,267860602
2020-03-04 05:00:00+00:00,24.7,25.19,24.28,25.12,129596681
2020-03-05 05:00:00+00:00,24.34,24.41,23.69,23.96,134351120
2020-03-06 05:00:00+00:00,22.88,23.41,22.68,23.16,164565568
2020-03-09 04:00:00+00:00,21.08,21.63,20.4,21.01,138694274
2020-03-10 04:00:00+00:00,21.63,21.9,20.69,21.88,149850585
2020-03-11 04:00:00+00:00,21.21,21.43,20.4,20.68,148955163
2020-03-12 04:00:00+00:00,19.04,20.12,18.39,19.12,165228524
2020-03-13 04:00:00+00:00,19.84,20.92,18.93,20.91,162035581
2020-03-16 04:00:00+00:00,17.53,19.33,17.15,17.65,112719731
2020-03-17 04:00:00+00:00,18.44,19.2,17.7,19.0,123626721
2020-03-18 04:00:00+00:00,17.8,18.16,16.56,17.23,146487753
2020-03-19 04:00:00+00:00,17.02,18.02,16.41,17.77,108619236
2020-03-20 04:00:00+00:00,17.96,18.05,16.91,17.13,159194570
2020-03-23 04:00:00+00:00,16.86,17.0,15.99,16.14,146249091
2020-03-24 04:00:00+00:00,17.1,18.25,16.98,18.15,159993496
2020-03-25 04:00:00+00:00,18.41,19.41,17.72,18.64,169761170
2020-03-26 04:00:00+00:00,18.89,19.95,18.85,19.83,135726295
2020-03-27 04:00:00+00:00,19.0,19.81,18.79,19.21,134366668
2020-03-30 04:00:00+00:00,19.23,19.68,18.83,19.57,68120849
2020-03-31 04:00:00+00:00,19.39,19.61,18.86,19.03,85205137
2020-04-01 04:00:00+00:00,18.03,18.23,17.71,17.87,80125575
2020-04-02 04:00:00+00:00,17.76,18.47,17.7,18.32,69092604
2020-04-03 04:00:00+00:00,18.15,18.41,17.69,17.95,73368417
2020-04-06 04:00:00+00:00,18.85,19.4,18.71,19.24,69835633
2020-04-07 04:00:00+00:00,20.29,20.31,19.43,19.43,72983935
2020-04-08 04:00:00+00:00,19.73,20.41,19.51,20.28,80788911
2020-04-09 04:00:00+00:00,20.81,21.62,20.78,21.37,148913357
2020-04-13 04:00:00+00:00,21.31,21.33,20.41,20.6,68216180
2020-04-14 04:00:00+00:00,21.09,21.15,20.3,20.69,97010951
2020-04-15 04:00:00+00:00,19.86,19.98,19.69,19.79,66212430
2020-04-16 04:00:00+00:00,19.75,19.78,19.25,19.44,70885168
2020-04-17 04:00:00+00:00,20.2,20.58,20.04,20.47,92187477
2020-04-20 04:00:00+00:00,20.07,20.44,19.88,20.11,60067671
2020-04-21 04:00:00+00:00,19.5,19.85,19.39,19.46,72755885
2020-04-22 04:00:00+00:00,19.86,19.92,19.63,19.67,48168486
2020-04-23 04:00:00+00:00,19.73,19.98,19.56,19.58,83078972
2020-04-24 04:00:00+00:00,19.8,19.95,19.5,19.87,34486407
2020-04-27 04:00:00+00:00,20.07,20.66,20.04,20.55,150682542
2020-04-28 04:00:00+00:00,21.17,21.32,20.72,20.77,46979167
2020-04-29 04:00:00+00:00,21.41,21.62,21.19,21.37,70920241
2020-04-30 04:00:00+00:00,20.94,21.17,20.73,20.83,58098245
2020-05-01 04:00:00+00:00,20.34,20.39,20.03,20.17,38323012
2020-05-04 04:00:00+00:00,19.9,20.01,19.6,19.98,56051342
2020-05-05 04:00:00+00:00,20.26,20.36,19.92,19.92,74812478
2020-05-06 04:00:00+00:00,20.1,20.16,19.47,19.49,69717006
2020-05-07 04:00:00+00:00,19.75,20.28,19.75,19.95,62796736
2020-05-08 04:00:00+00:00,20.33,20.4,20.12,20.38,43510579
2020-05-11 04:00:00+00:00,20.09,20.16,19.87,19.97,56379065
2020-05-12 04:00:00+00:00,20.07,20.14,19.44,19.46,66093172
2020-05-13 04:00:00+00:00,19.3,19.32,18.74,18.89,88314982
2020-05-14 04:00:00+00:00,18.56,19.39,18.36,19.37,105186299
2020-05-15 04:00:00+00:00,19.19,19.41,19.01,19.24,72475668
2020-05-18 04:00:00+00:00,19.96,20.39,19.82,20.23,81561231
2020-05-19 04:00:00+00:00,20.11,20.21,19.73,19.74,57441380
2020-05-20 04:00:00+00:00,20.07,20.29,20.05,20.17,51090334
2020-05-21 04:00:00+00:00,20.11,20.3,20.0,20.07,50849138
2020-05-22 04:00:00+00:00,20.1,20.13,19.84,20.04,39092614
2020-05-26 04:00:00+00:00,20.8,21.3,20.78,21.08,118821146
2020-05-27 04:00:00+00:00,22.02,22.03,21.52,21.99,128985876
2020-05-28 04:00:00+00:00,22.24,22.25,21.58,21.65,102392044
2020-05-29 04:00:00+00:00,21.39,21.59,21.18,21.4,90712138
2020-06-01 04:00:00+00:00,21.48,21.75,21.34,21.65,53622384
2020-06-02 04:00:00+00:00,21.84,21.98,21.66,21.82,53274695
2020-06-03 04:00:00+00:00,22.3,22.73,22.25,22.63,78987263
2020-06-04 04:00:00+00:00,22.6,23.13,22.41,23.13,105351453
2020-06-05 04:00:00+00:00,24.48,24.52,23.9,23.99,137275362
2020-06-08 04:00:00+00:00,24.38,24.49,24.11,24.43,81397221
2020-06-09 04:00:00+00:00,23.87,24.13,23.69,23.92,97293585
2020-06-10 04:00:00+00:00,23.79,23.91,23.01,23.03,114267591
2020-06-11 04:00:00+00:00,21.94,22.27,21.11,21.14,236263228
2020-06-12 04:00:00+00:00,21.99,21.99,21.23,21.78,130908571
2020-06-15 04:00:00+00:00,21.03,22.16,20.99,22.09,93462041
2020-06-16 04:00:00+00:00,22.96,22.96,21.89,22.43,112973609
2020-06-17 04:00:00+00:00,22.5,22.5,22.06,22.09,57398404
2020-06-18 04:00:00+00:00,21.88,22.28,21.81,22.07,61839735
2020-06-19 04:00:00+00:00,22.49,22.5,21.67,21.91,104614045
2020-06-22 04:00:00+00:00,21.79,21.97,21.65,21.81,48866231
2020-06-23 04:00:00+00:00,22.14,22.28,21.9,21.91,47782134
2020-06-24 04:00:00+00:00,21.63,21.64,21.08,21.14,91322149
2020-06-25 04:00:00+00:00,21.07,21.75,21.03,21.7,112279453
2020-06-26 04:00:00+00:00,21.33,21.4,20.72,20.77,125612057
2020-06-29 04:00:00+00:00,20.99,21.14,20.82,21.0,70733414
2020-06-30 04:00:00+00:00,20.88,21.44,20.87,21.3,64828741
2020-07-01 04:00:00+00:00,21.38,21.48,21.04,21.1,61269752
2020-07-02 04:00:00+00:00,21.57,21.65,21.08,21.13,51446220
2020-07-06 04:00:00+00:00,21.6,21.77,21.42,21.54,61143164
2020-07-07 04:00:00+00:00,21.36,21.37,21.04,21.1,44521126
2020-07-08 04:00:00+00:00,21.09,21.37,21.01,21.32,54453057
2020-07-09 04:00:00+00:00,21.31,21.35,20.69,20.87,75519635
2020-07-10 04:00:00+00:00,20.86,21.61,20.86,21.58,95355009
2020-07-13 04:00:00+00:00,21.86,22.0,21.55,21.68,106289210
2020-07-14 04:00:00+00:00,21.58,21.84,21.39,21.79,105483932
2020-07-15 04:00:00+00:00,22.31,22.32,21.98,22.22,92101046
2020-07-16 04:00:00+00:00,22.02,22.45,21.94,22.23,79897364
2020-07-17 04:00:00+00:00,22.26,22.28,22.02,22.03,44853037
2020-07-20 04:00:00+00:00,21.91,22.06,21.85,21.94,41155135
2020-07-21 04:00:00+00:00,22.08,22.47,22.05,22.36,47121805
2020-07-22 04:00:00+00:00,22.25,22.38,22.18,22.36,44957934
2020-07-23 04:00:00+00:00,22.32,22.51,22.25,22.38,50203053
2020-07-24 04:00:00+00:00,22.4,22.52,22.25,22.33,44118299
2020-07-27 04:00:00+00:00,22.23,22.25,21.95,22.14,44305776
2020-07-28 04:00:00+00:00,22.06,22.19,21.99,22.09,37134690
2020-07-29 04:00:00+00:00,22.05,22.53,22.02,22.5,37120521
2020-07-30 04:00:00+00:00,22.08,22.14,21.81,22.1,56074361
2020-07-31 04:00:00+00:00,22.09,22.13,21.81,22.11,50995777
2020-08-03 04:00:00+00:00,22.2,22.34,22.04,22.17,43913185
2020-08-04 04:00:00+00:00,22.08,22.12,21.96,22.08,31152281
2020-08-05 04:00:00+00:00,22.23,22.44,22.19,22.38,37785329
2020-08-06 04:00:00+00:00,22.31,22.47,22.22,22.37,33482253
2020-08-07 04:00:00+00:00,22.26,22.87,22.22,22.86,64088417
2020-08-10 04:00:00+00:00,22.98,23.1,22.88,23.02,50341106
2020-08-11 04:00:00+00:00,23.45,23.66,23.23,23.28,74512913
2020-08-12 04:00:00+00:00,23.7,23.71,23.05,23.22,59808903
2020-08-13 04:00:00+00:00,23.05,23.24,22.94,23.07,36321607
2020-08-14 04:00:00+00:00,22.96,23.28,22.93,23.17,29031125
2020-08-17 04:00:00+00:00,23.08,23.1,22.77,22.78,55209751
2020-08-18 04:00:00+00:00,22.8,22.85,22.61,22.63,35967905
2020-08-19 04:00:00+00:00,22.71,22.94,22.56,22.62,65684251
2020-08-20 04:00:00+00:00,22.36,22.54,22.35,22.41,51042028
2020-08-21 04:00:00+00:00,22.37,22.57,22.29,22.36,35828423
2020-08-24 04:00:00+00:00,22.49,22.9,22.44,22.9,54534920
2020-08-25 04:00:00+00:00,23.09,23.16,22.82,22.96,58544296
2020-08-26 04:00:00+00:00,22.91,22.96,22.77,22.85,31413309
2020-08-27 04:00:00+00:00,22.83,23.34,22.83,23.24,67202613
2020-08-28 04:00:00+00:00,23.4,23.41,23.14,23.33,49788836
2020-08-31 04:00:00+00:00,23.31,23.31,23.05,23.05,53082276
2020-09-01 04:00:00+00:00,22.94,23.2,22.86,23.12,44550688
2020-09-02 04:00:00+00:00,23.11,23.53,23.05,23.44,50047698
2020-09-03 04:00:00+00:00,23.59,23.93,22.94,23.09,101876720
2020-09-04 04:00:00+00:00,23.53,23.63,22.9,23.27,115151127
2020-09-08 04:00:00+00:00,23.04,23.09,22.59,22.67,86246240
2020-09-09 04:00:00+00:00,22.88,23.06,22.73,22.9,54306781
2020-09-10 04:00:00+00:00,22.97,23.13,22.53,22.58,56541680
2020-09-11 04:00:00+00:00,22.61,22.85,22.54,22.75,72606212
2020-09-14 04:00:00+00:00,22.94,23.25,22.87,23.05,51969129
2020-09-15 04:00:00+00:00,23.09,23.11,22.71,22.73,49392259
2020-09-16 04:00:00+00:00,22.74,23.25,22.73,22.99,62645046
2020-09-17 04:00:00+00:00,22.68,22.89,22.61,22.77,48676947
2020-09-18 04:00:00+00:00,22.75,22.93,22.66,22.71,63427348
2020-09-21 04:00:00+00:00,22.23,22.36,21.8,22.14,73399884
2020-09-22 04:00:00+00:00,22.08,22.3,21.77,21.95,85267146
2020-09-23 04:00:00+00:00,22.0,22.15,21.46,21.46,57875623
2020-09-24 04:00:00+00:00,21.48,21.82,21.22,21.51,57242111
2020-09-25 04:00:00+00:00,21.35,21.81,21.31,21.74,55871911
2020-09-28 04:00:00+00:00,22.04,22.41,22.04,22.25,69288525
2020-09-29 04:00:00+00:00,22.19,22.22,21.85,21.99,62290591
2020-09-30 04:00:00+00:00,22.07,22.45,22.06,22.24,71506357
2020-10-01 04:00:00+00:00,22.36,22.51,22.13,22.31,66180044
2020-10-02 04:00:00+00:00,22.01,22.61,21.95,22.49,64582798
2020-10-05 04:00:00+00:00,22.69,22.93,22.63,22.85,59367646
2020-10-06 04:00:00+00:00,23.06,23.2,22.54,22.62,89375875
2020-10-07 04:00:00+00:00,22.83,23.11,22.83,22.98,54711178
2020-10-08 04:00:00+00:00,23.13,23.37,23.07,23.31,58174702
2020-10-09 04:00:00+00:00,23.44,23.47,23.16,23.34,52640974
2020-10-12 04:00:00+00:00,23.32,23.68,23.32,23.6,49492337
2020-10-13 04:00:00+00:00,23.53,23.6,23.08,23.14,65225630
2020-10-14 04:00:00+00:00,23.17,23.25,22.9,22.93,49818384
2020-10-15 04:00:00+00:00,22.71,23.11,22.68,23.1,42053340
2020-10-16 04:00:00+00:00,23.15,23.27,23.01,23.12,40515048
2020-10-19 04:00:00+00:00,23.2,23.21,22.73,22.75,49776181
2020-10-20 04:00:00+00:00,22.92,23.22,22.91,22.93,72608996
2020-10-21 04:00:00+00:00,22.91,23.06,22.83,22.83,44712825
2020-10-22 04:00:00+00:00,22.82,23.31,22.81,23.3,40224086
2020-10-23 04:00:00+00:00,23.43,23.5,23.18,23.36,45875439
2020-10-26 04:00:00+00:00,23.03,23.06,22.62,22.86,55619847
2020-10-27 04:00:00+00:00,22.82,22.82,22.4,22.42,46841084
2020-10-28 04:00:00+00:00,21.95,22.14,21.71,21.84,94977179
2020-10-29 04:00:00+00:00,21.79,22.17,21.51,22.01,61637250
2020-10-30 04:00:00+00:00,21.85,22.11,21.71,22.07,68062560
2020-11-02 05:00:00+00:00,22.43,22.59,22.17,22.49,66188833
2020-11-03 05:00:00+00:00,22.91,23.22,22.88,22.99,81582684
2020-11-04 05:00:00+00:00,22.58,23.13,22.38,22.72,98260718
2020-11-05 05:00:00+00:00,22.92,23.44,22.92,23.28,70583610
2020-11-06 05:00:00+00:00,23.39,23.42,23.02,23.09,61385003
2020-11-09 05:00:00+00:00,24.96,25.39,24.67,25.02,165758083
2020-11-10 05:00:00+00:00,25.02,25.21,24.79,25.12,90629426
2020-11-11 05:00:00+00:00,25.26,25.28,24.86,25.02,65776635
2020-11-12 05:00:00+00:00,24.71,24.76,24.38,24.6,64574536
2020-11-13 05:00:00+00:00,24.83,25.11,24.77,25.01,45727518
2020-11-16 05:00:00+00:00,25.64,25.66,25.31,25.56,68657514
2020-11-17 05:00:00+00:00,25.24,25.57,25.1,25.53,64866249
2020-11-18 05:00:00+00:00,25.65,25.85,25.28,25.29,83468477
2020-11-19 05:00:00+00:00,25.16,25.4,25.0,25.37,47543966
2020-11-20 05:00:00+00:00,25.24,25.34,25.09,25.15,40498451
2020-11-23 05:00:00+00:00,25.47,25.69,25.34,25.62,54996866
2020-11-24 05:00:00+00:00,26.06,26.54,25.99,26.52,62758775
2020-11-25 05:00:00+00:00,26.37,26.44,26.11,26.42,55739627
2020-11-27 05:00:00+00:00,26.42,26.45,26.24,26.34,27236048
2020-11-30 05:00:00+00:00,26.18,26.26,25.75,25.79,90408198
2020-12-01 05:00:00+00:00,26.28,26.43,26.17,26.21,55248446
2020-12-02 05:00:00+00:00,26.15,26.52,26.11,26.48,63311678
2020-12-03 05:00:00+00:00,26.5,26.64,26.33,26.49,50267920
2020-12-04 05:00:00+00:00,26.66,26.86,26.65,26.81,54011496
2020-12-07 05:00:00+00:00,26.65,26.7,26.47,26.63,35081312
2020-12-08 05:00:00+00:00,26.38,26.68,26.38,26.61,33018131
2020-12-09 05:00:00+00:00,26.78,26.78,26.45,26.52,49381998
2020-12-10 05:00:00+00:00,26.35,26.63,26.27,26.6,41815499
2020-12-11 05:00:00+00:00,26.29,26.39,26.12,26.33,61077201
2020-12-14 05:00:00+00:00,26.68,26.68,26.01,26.03,39139303
2020-12-15 05:00:00+00:00,26.23,26.54,26.08,26.47,40596271
2020-12-16 05:00:00+00:00,26.52,26.53,26.39,26.52,68722813
2020-12-17 05:00:00+00:00,26.56,26.64,26.44,26.59,39429712
2020-12-18 05:00:00+00:00,26.6,26.63,26.2,26.36,57073860
2020-12-21 05:00:00+00:00,26.67,26.84,26.25,26.71,78374200
2020-12-22 05:00:00+00:00,26.73,26.77,26.43,26.45,45080531
2020-12-23 05:00:00+00:00,26.61,27.04,26.6,26.87,53541716
2020-12-24 05:00:00+00:00,26.94,26.95,26.7,26.93,16632908
2020-12-28 05:00:00+00:00,27.13,27.27,26.96,27.06,36323631
2020-12-29 05:00:00+00:00,27.17,27.18,26.93,26.96,23979685
2020-12-30 05:00:00+00:00,27.06,27.16,26.99,27.08,17248857
2020-12-31 05:00:00+00:00,27.05,27.46,26.97,27.42,26976845
2021-01-04 05:00:00+00:00,27.52,27.53,26.81,27.05,48089934
2021-01-05 05:00:00+00:00,27.04,27.28,26.9,27.17,39396748
2021-01-06 05:00:00+00:00,27.69,28.59,27.69,28.37,105024881
2021-01-07 05:00:00+00:00,28.79,29.07,28.72,28.78,65343770
2021-01-08 05:00:00+00:00,28.92,28.93,28.38,28.73,57990848
2021-01-11 05:00:00+00:00,28.48,28.9,28.36,28.85,64512167
2021-01-12 05:00:00+00:00,29.02,29.29,28.93,29.15,61182344
2021-01-13 05:00:00+00:00,29.1,29.2,28.92,29.13,56246852
2021-01-14 05:00:00+00:00,29.21,29.41,29.1,29.26,50463795
2021-01-15 05:00:00+00:00,28.83,29.01,28.56,28.78,72113277
2021-01-19 05:00:00+00:00,28.93,29.0,28.67,28.85,117985955
2021-01-20 05:00:00+00:00,28.94,28.94,28.63,28.73,65432185
2021-01-21 05:00:00+00:00,28.7,28.77,28.42,28.42,44824276
2021-01-22 05:00:00+00:00,28.13,28.33,28.09,28.22,38426796
2021-01-25 05:00:00+00:00,27.94,28.05,27.66,28.01,69174067
2021-01-26 05:00:00+00:00,28.13,28.16,27.77,27.78,58431074
2021-01-27 05:00:00+00:00,27.44,27.44,26.91,26.98,86049981
2021-01-28 05:00:00+00:00,27.28,27.79,27.23,27.47,67005100
2021-01-29 05:00:00+00:00,27.4,27.47,26.81,26.92,83794762
2021-02-01 05:00:00+00:00,27.22,27.32,26.99,27.28,47069172
2021-02-02 05:00:00+00:00,27.6,28.08,27.58,27.94,59123493
2021-02-03 05:00:00+00:00,27.9,28.11,27.85,28.06,47935166
2021-02-04 05:00:00+00:00,28.23,28.73,28.18,28.72,63844123
2021-02-05 05:00:00+00:00,28.93,28.95,28.66,28.73,38816408
2021-02-08 05:00:00+00:00,28.82,29.1,28.82,29.08,49547772
2021-02-09 05:00:00+00:00,29.01,29.2,28.91,29.12,36770532
2021-02-10 05:00:00+00:00,29.26,29.3,28.97,29.11,39427535
2021-02-11 05:00:00+00:00,29.13,29.24,28.82,29.02,32966494
2021-02-12 05:00:00+00:00,28.99,29.34,28.96,29.32,38958678
2021-02-16 05:00:00+00:00,29.61,29.96,29.48,29.85,74473314
2021-02-17 05:00:00+00:00,29.73,30.0,29.62,29.97,61441161
2021-02-18 05:00:00+00:00,29.76,29.95,29.55,29.79,46509369
2021-02-19 05:00:00+00:00,29.99,30.25,29.95,30.14,60891006
2021-02-22 05:00:00+00:00,30.04,30.53,30.03,30.42,67050293
2021-02-23 05:00:00+00:00,30.64,30.65,30.29,30.61,95133380
2021-02-24 05:00:00+00:00,30.66,31.29,30.64,31.19,67608267
2021-02-25 05:00:00+00:00,31.46,31.47,30.55,30.64,93925988
2021-02-26 05:00:00+00:00,30.59,30.68,29.94,30.05,109774967
2021-03-01 05:00:00+00:00,30.56,31.18,30.56,30.99,68944295
2021-03-02 05:00:00+00:00,30.96,31.13,30.85,30.88,50832600
2021-03-03 05:00:00+00:00,31.0,31.58,30.96,31.12,75906545
2021-03-04 05:00:00+00:00,31.04,31.33,30.32,30.77,105022855
2021-03-05 05:00:00+00:00,31.29,31.43,30.49,31.35,112820122
2021-03-08 05:00:00+00:00,31.59,32.16,31.46,31.75,91486881
2021-03-09 05:00:00+00:00,31.5,31.93,31.18,31.46,130206635
2021-03-10 05:00:00+00:00,31.61,32.23,31.56,32.11,74140354
2021-03-11 05:00:00+00:00,31.94,32.26,31.75,32.01,53363024
2021-03-12 05:00:00+00:00,32.39,32.51,32.24,32.34,68862172
2021-03-15 04:00:00+00:00,32.46,32.47,31.86,32.15,69182768
2021-03-16 04:00:00+00:00,31.99,32.02,31.57,31.82,83993061
2021-03-17 04:00:00+00:00,32.05,32.22,31.7,32.03,68510687
2021-03-18 04:00:00+00:00,32.36,32.82,32.09,32.2,101304413
2021-03-19 04:00:00+00:00,31.95,31.98,31.49,31.83,101425563
2021-03-22 04:00:00+00:00,31.6,31.66,31.31,31.42,80644488
2021-03-23 04:00:00+00:00,31.23,31.45,30.87,30.98,71297118
2021-03-24 04:00:00+00:00,31.2,31.58,31.09,31.09,67744649
2021-03-25 04:00:00+00:00,31.07,31.66,30.83,31.62,61469447
