Date,close,high,low,trades,open,volume,vwap,returns,roll_std,ma_fast,ma_slow,signal,pos_size,position,position_next
2023-01-03 05:00:00,171.06,172.09,170.02,56103,171.32,7992927,171.094857,,,,,0,,,
2023-01-04 05:00:00,172.67,173.09,171.845,51674,172.86,7574633,172.554111,0.009411902256518001,,,,0,,,
2023-01-05 05:00:00,170.52,171.0,169.79,41768,170.824,4692610,170.521291,-0.012451497075345874,,,,0,,,
2023-01-06 05:00:00,173.71,173.96,171.23,58815,171.76,7887480,173.237104,0.018707482993197244,,,,0,,,
2023-01-09 05:00:00,174.1,175.035,173.881,39167,174.51,5134503,174.324088,0.0022451211789764614,,,,0,,,
2023-01-10 05:00:00,174.74,174.98,174.06,34627,174.61,4398411,174.588867,0.003676048248133279,,,,0,,,
2023-01-11 05:00:00,174.62,174.79,173.72,29344,174.76,3374201,174.403485,-0.0006867345770860123,,,,0,,,
2023-01-12 05:00:00,176.64,176.71,174.88,51764,176.01,6936919,176.146417,0.011567976176841022,,,,0,,,
2023-01-13 05:00:00,178.76,178.825,176.8934,55435,176.96,7453969,178.199639,0.012001811594202882,,,,0,,,
2023-01-17 05:00:00,177.59,178.24,177.09,48405,178.21,6610834,177.608767,-0.006545088386663567,,,,0,,,
2023-01-18 05:00:00,177.08,179.18,176.9,43125,178.92,5384664,177.776987,-0.0028717833211329147,,,,0,,,
2023-01-19 05:00:00,179.89,180.03,178.09,57860,178.37,6678687,179.072444,0.01586853399593391,,,,0,,,
2023-01-20 05:00:00,179.29,179.66,178.645,39631,179.06,5748000,179.257221,-0.0033353716159875146,,,,0,,,
2023-01-23 05:00:00,179.63,179.69,177.78,38718,178.35,5265507,178.79562,0.0018963690110993525,,,,0,,,
2023-01-24 05:00:00,180.28,180.32,178.35,35676,179.56,4604628,179.787276,0.0036185492401046293,,,,0,,,
2023-01-25 05:00:00,181.11,181.22,179.2925,42153,179.35,6925348,180.259586,0.0046039494120257984,,,,0,,,
2023-01-26 05:00:00,179.47,180.265,178.46,44451,180.146,5860129,179.418042,-0.009055270277731897,,,,0,,,
2023-01-27 05:00:00,179.22,179.72,178.262,36274,179.27,5446381,179.206654,-0.001392990471945188,,,,0,,,
2023-01-30 05:00:00,178.76,179.43,178.65,34032,179.286,4210726,178.969447,-0.0025666778261355105,,,,0,,,
2023-01-31 05:00:00,179.41,179.699,178.54,32687,178.82,5976888,179.242581,0.0036361602148131666,,176.9275,,0,,,
2023-02-01 05:00:00,181.67,181.73,178.63,57264,179.75,7996005,180.321924,0.012596845214870811,,177.458,,0,,,
2023-02-02 05:00:00,177.9,181.11,177.74,63050,181.08,8842396,178.608507,-0.020751912808939177,,177.71949999999998,,0,,,
2023-02-03 05:00:00,173.46,175.43,173.12,91781,174.92,13604774,174.000524,-0.024957841483979726,,177.8665,,0,,,
2023-02-06 05:00:00,173.82,174.455,173.28,46568,174.11,8956963,173.78925,0.0020754064337598077,,177.872,,0,,,
2023-02-07 05:00:00,173.98,175.27,173.47,52482,173.72,6794153,174.258899,0.0009204924634680367,,177.866,,0,,,
2023-02-08 05:00:00,174.41,174.99,173.83,30204,174.942,4075638,174.412642,0.0024715484538453403,,177.84949999999998,,0,,,
2023-02-09 05:00:00,173.03,175.52,172.87,40270,175.49,5361340,173.710849,-0.007912390344590348,,177.77,,0,,,
2023-02-10 05:00:00,173.36,173.68,172.63,25699,173.63,2969111,173.212212,0.001907183725365691,,177.606,,0,,,
2023-02-13 05:00:00,172.48,172.9014,172.07,30920,172.7,3970786,172.423176,-0.005076142131979822,,177.29199999999997,,0,,,
2023-02-14 05:00:00,172.61,173.51,171.41,38516,171.97,5403099,172.356981,0.000753710575139177,,177.043,,0,,,
2023-02-15 05:00:00,170.89,170.99,170.16,43635,170.6,5435337,170.643681,-0.009964660216673638,,176.7335,,0,,,
2023-02-16 05:00:00,170.75,171.6,169.96,34966,170.34,4540398,170.901146,-0.0008192404470711567,,176.2765,,0,,,
2023-02-17 05:00:00,171.26,171.47,169.52,35786,169.87,4809021,170.872129,0.002986822840409964,,175.875,,0,,,
2023-02-21 05:00:00,170.62,171.5,170.34,33360,171.2,4035933,170.758438,-0.003737008057923541,,175.4245,,0,,,
2023-02-22 05:00:00,169.66,170.96,169.56,32100,170.81,4105675,170.218666,-0.00562653850662298,,174.8935,,0,,,
2023-02-23 05:00:00,169.57,170.125,169.08,39681,169.84,5073479,169.48809,-0.0005304727101261841,,174.3165,,0,,,
2023-02-24 05:00:00,168.35,168.84,168.19,46913,168.42,6494007,168.449846,-0.0071946688683139914,,173.7605,,0,,,
2023-02-27 05:00:00,169.01,169.23,168.55,40334,168.88,4509151,168.948523,0.0039204039204039365,,173.25,,0,,,
2023-02-28 05:00:00,169.78,170.25,168.59,49680,168.781,6761585,169.763209,0.0045559434352997474,,172.801,,0,,,
2023-03-01 05:00:00,170.76,171.49,170.47,47371,170.95,6590468,170.968648,0.0057721757568618415,,172.36849999999998,,0,,,
2023-03-02 05:00:00,170.66,170.975,170.36,34720,170.52,3952266,170.692727,-0.0005856172405714899,,171.818,,0,,,
2023-03-03 05:00:00,172.49,172.595,170.98,50997,171.45,6893414,171.919745,0.010723075120121939,,171.54749999999999,,0,,,
2023-03-06 05:00:00,171.62,172.37,171.54,30109,172.32,4264124,171.906072,-0.005043770653371249,,171.4555,,0,,,
2023-03-07 05:00:00,168.62,170.47,168.52,70836,170.42,8713268,169.126606,-0.017480480130520948,,171.19549999999998,,0,,,
2023-03-08 05:00:00,168.54,169.59,168.52,38670,168.61,5718595,168.870819,-0.0004744395682600988,,170.9235,,0,,,
2023-03-09 05:00:00,170.2,170.65,169.71,52127,169.751,5582980,170.171575,0.009849293936157633,,170.713,,0,,,
2023-03-10 05:00:00,173.87,173.88,171.92,108398,171.93,13795560,173.136935,0.021562867215041193,,170.755,,0,,,
2023-03-13 04:00:00,177.86,178.02,176.3,159414,176.66,20549319,177.396588,0.022948179674469493,,170.98,,0,,,
2023-03-14 04:00:00,176.83,177.59,176.21,84719,177.35,10019032,177.117553,-0.005791071629371425,,171.19750000000002,,0,,,
