Date,close,high,low,trades,open,volume,vwap,returns,roll_std,ma_fast,ma_slow,signal,pos_size,position,position_next
2023-01-03 05:00:00,90.47,90.91,90.3,31428,90.83,7514118,90.53,,,,,0,,,
2023-01-04 05:00:00,91.17,91.31,90.91,31124,91.23,8566078,91.09,0.007737371504366042,,,,0,,,
2023-01-05 05:00:00,91.04,91.12,90.51,17733,90.63,3488278,90.87,-0.0014259076450586772,,,,0,,,
2023-01-06 05:00:00,92.21,92.26,90.99,41738,91.07,7458371,91.91,0.012851493848857531,,,,0,,,
2023-01-09 05:00:00,92.44,92.61,92.04,22670,92.1,5332786,92.42,0.002494306474352115,,,,0,,,
2023-01-10 05:00:00,91.86,92.16,91.69,21533,92.06,4338204,91.89,-0.006274340112505383,,,,0,,,
2023-01-11 05:00:00,92.45,92.47,92.08,27028,92.13,7290854,92.21,0.006422817330720809,,,,0,,,
2023-01-12 05:00:00,93.28,93.28,92.3,30085,92.75,6000901,92.94,0.008977825851811838,,,,0,,,
2023-01-13 05:00:00,92.78,93.26,92.66,23552,93.03,5875119,92.89,-0.005360205831903997,,,,0,,,
2023-01-17 05:00:00,92.49,92.81,92.45,20323,92.47,3976400,92.59,-0.0031256736365596893,,,,0,,,
2023-01-18 05:00:00,93.75,93.78,93.31,29099,93.61,8271867,93.6,0.013623094388582668,,,,0,,,
2023-01-19 05:00:00,93.57,93.71,93.38,19539,93.56,4534601,93.57,-0.0019200000000000328,,,,0,,,
2023-01-20 05:00:00,92.95,93.21,92.85,25316,93.09,9065274,92.99,-0.006626055359623684,,,,0,,,
2023-01-23 05:00:00,92.65,92.92,92.61,20801,92.64,4682465,92.7,-0.0032275416890801267,,,,0,,,
2023-01-24 05:00:00,93.18,93.2,92.46,16851,92.77,3814548,93.02,0.005720453318942331,,,,0,,,
2023-01-25 05:00:00,93.29,93.47,92.99,15427,93.25,3053284,93.2,0.001180510839235982,,,,0,,,
2023-01-26 05:00:00,92.95,93.28,92.82,14326,93.11,3322545,93.01,-0.0036445492550113423,,,,0,,,
2023-01-27 05:00:00,92.81,92.81,92.57,13190,92.6,6002275,92.73,-0.0015061861215707184,,,,0,,,
2023-01-30 05:00:00,92.52,92.74,92.47,13271,92.55,2767571,92.55,-0.0031246632905937988,,,,0,,,
2023-01-31 05:00:00,92.99,93.02,92.55,20271,92.94,5231991,92.8,0.005079982706441832,,92.54249999999999,,0,,,
2023-02-01 05:00:00,93.65,93.71,92.83,35118,93.18,20407737,93.1,0.00709753736960983,,92.7015,,0,,,
2023-02-02 05:00:00,93.62,94.12,93.59,25113,93.95,5841374,93.8,-0.00032034169781103294,,92.824,,0,,,
2023-02-03 05:00:00,92.61,92.99,92.49,29061,92.81,5624659,92.69,-0.010788293099765034,,92.9025,,0,,,
2023-02-06 05:00:00,91.81,92.09,91.77,27467,91.95,6093719,91.89,-0.008638375985314695,,92.8825,,0,,,
