Date,close,high,low,trades,open,volume,vwap,returns,roll_std,ma_fast,ma_slow,signal,pos_size,position,position_next
2023-01-03 05:00:00,94.19,95.01,93.61,147229,94.88,26795165,94.3,,,,,0,,,
2023-01-04 05:00:00,95.48,96.06,94.89,136140,95.82,23613596,95.43,0.013695721414162865,,,,0,,,
2023-01-05 05:00:00,95.88,95.89,94.49,88616,94.57,16403793,95.51,0.004189359028068607,,,,0,,,
2023-01-06 05:00:00,97.64,97.76,95.29,154411,95.34,29621690,97.17,0.018356278681685545,,,,0,,,
2023-01-09 05:00:00,98.16,98.34,96.8,117629,96.93,22842708,97.78,0.005325686194182611,,,,0,,,
2023-01-10 05:00:00,96.54,97.31,96.08,132660,97.04,22183346,96.59,-0.016503667481662543,,,,0,,,
2023-01-11 05:00:00,98.11,98.15,97.2,106975,97.45,20177238,97.69,0.016262689040811962,,,,0,,,
2023-01-12 05:00:00,100.04,100.09,97.07,175172,98.24,34872577,99.12,0.019671796962593024,,,,0,,,
2023-01-13 05:00:00,99.1,100.08,98.76,116998,99.43,19019937,99.29,-0.009396241503398794,,,,0,,,
2023-01-17 05:00:00,98.46,99.02,98.08,94426,98.1,15023719,98.56,-0.0064581231079717805,,,,0,,,
2023-01-18 05:00:00,100.85,100.98,99.44,175823,100.69,37352669,100.47,0.024273816778387136,,,,0,,,
2023-01-19 05:00:00,100.22,100.61,99.74,94749,100.35,18879198,100.21,-0.006246901338621713,,,,0,,,
2023-01-20 05:00:00,98.59,99.56,98.51,117133,99.3,25147061,98.81,-0.016264218718818557,,,,0,,,
2023-01-23 05:00:00,98.13,98.59,97.93,84740,98.01,13766792,98.18,-0.00466578760523384,,,,0,,,
2023-01-24 05:00:00,99.54,99.75,97.84,94903,98.52,18778817,99.26,0.014368694588810849,,,,0,,,
2023-01-25 05:00:00,99.78,100.17,99.0,79990,99.68,12396071,99.59,0.0024110910186858625,,,,0,,,
2023-01-26 05:00:00,99.32,99.94,98.86,86727,99.46,16584418,99.38,-0.004610142313088872,,,,0,,,
2023-01-27 05:00:00,99.06,99.3,98.51,69006,98.58,12987107,99.02,-0.002617801047120283,,,,0,,,
2023-01-30 05:00:00,98.7,99.48,98.58,65258,98.83,13549300,98.82,-0.00363416111447612,,,,0,,,
2023-01-31 05:00:00,99.49,99.59,98.28,90572,99.32,14010149,98.92,0.008004052684903673,,98.364,,0,,,
2023-02-01 05:00:00,100.68,101.07,99.05,155897,100.1,27123141,100.13,0.011961001105638802,,98.6885,,0,,,
2023-02-02 05:00:00,100.82,101.78,100.6,133669,101.37,20885627,101.03,0.0013905442987682815,,98.9555,,0,,,
2023-02-03 05:00:00,99.31,99.69,98.73,114639,99.37,22645557,99.29,-0.014977187066058217,,99.127,,0,,,
2023-02-06 05:00:00,98.57,98.94,98.36,83159,98.42,16558911,98.59,-0.007451414761856956,,99.1735,,0,,,
2023-02-07 05:00:00,97.78,98.87,97.73,107710,98.03,19170795,98.15,-0.008014608907375376,,99.15450000000001,,0,,,
2023-02-08 05:00:00,98.25,98.26,97.16,92242,97.76,14253279,97.78,0.004806708938433157,,99.24,,0,,,
2023-02-09 05:00:00,97.32,99.23,97.16,115688,99.09,23557048,97.92,-0.009465648854961928,,99.2005,,0,,,
2023-02-10 05:00:00,96.23,97.2,95.97,113578,97.17,17776109,96.36,-0.011200164406082957,,99.01,,0,,,
2023-02-13 05:00:00,97.04,97.18,96.4,84771,96.52,14005950,96.85,0.00841733347189022,,98.907,,0,,,
2023-02-14 05:00:00,96.81,97.57,95.99,100669,96.98,16270630,96.73,-0.0023701566364385807,,98.8245,,0,,,
2023-02-15 05:00:00,95.91,96.75,95.39,102644,96.38,16788871,95.89,-0.009296560272699206,,98.5775,,0,,,
2023-02-16 05:00:00,94.55,95.14,94.31,107747,95.0,21800328,94.72,-0.014179960379522516,,98.294,,0,,,
2023-02-17 05:00:00,95.29,95.29,93.97,112929,94.1,22176334,94.95,0.00782654680063466,,98.12899999999999,,0,,,
2023-02-21 05:00:00,93.43,94.19,93.33,128967,94.01,24804584,93.66,-0.01951936194773851,,97.89399999999999,,0,,,
2023-02-22 05:00:00,94.29,94.64,93.96,93377,93.99,16651178,94.31,0.009204752220913992,,97.63149999999999,,0,,,
2023-02-23 05:00:00,95.21,95.48,94.44,107462,94.5,16867993,95.02,0.00975713225156416,,97.40299999999999,,0,,,
2023-02-24 05:00:00,93.97,94.74,93.59,113696,94.41,23640213,94.06,-0.01302384203339979,,97.13550000000001,,0,,,
2023-02-27 05:00:00,94.23,94.65,93.92,82783,94.27,15152513,94.27,0.0027668404810046177,,96.894,,0,,,
2023-02-28 05:00:00,94.66,94.67,93.33,100730,93.6,15781840,94.11,0.004563302557571758,,96.69200000000001,,0,,,
2023-03-01 05:00:00,93.65,94.26,93.27,124594,94.07,20256654,93.68,-0.01066976547644194,,96.4,,0,,,
2023-03-02 05:00:00,92.82,92.97,92.26,137447,92.43,26352947,92.66,-0.008862786972771097,,96.00699999999999,,0,,,
2023-03-03 05:00:00,95.07,95.08,93.83,144600,94.17,35129033,94.66,0.02424046541693592,,95.71950000000001,,0,,,
2023-03-06 05:00:00,94.33,95.49,94.23,105569,95.37,17282296,94.75,-0.007783738298096088,,95.4705,,0,,,
2023-03-07 05:00:00,94.91,95.51,94.12,138556,94.67,24898992,94.92,0.006148627159970221,,95.2875,,0,,,
2023-03-08 05:00:00,95.0,96.07,94.63,134992,95.54,20769313,95.39,0.0009482667790539079,,95.1485,,0,,,
2023-03-09 05:00:00,95.23,95.65,94.54,123906,94.75,22885372,95.11,0.0024210526315788794,,94.99749999999999,,0,,,
2023-03-10 05:00:00,98.52,98.62,97.04,269573,97.06,48337202,98.14,0.03454793657460886,,95.0575,,0,,,
2023-03-13 04:00:00,98.74,101.79,98.01,369850,100.95,53006065,99.77,0.0022330491270807773,,95.18299999999999,,0,,,
2023-03-14 04:00:00,97.12,98.54,96.8,295055,98.1,39932167,97.55,-0.016406724731618305,,95.187,,0,,,
2023-03-15 04:00:00,98.99,100.5,98.29,339774,99.63,47725253,99.52,0.01925453047775938,,95.296,,0,,,
2023-03-16 04:00:00,98.22,100.8,98.01,343271,100.19,44837438,99.14,-0.007778563491261714,,95.4115,,0,,,
2023-03-17 04:00:00,99.69,100.52,99.33,258395,99.51,40839254,99.96,0.014966401954795261,,95.66850000000001,,0,,,
2023-03-20 04:00:00,98.82,99.8,98.64,177674,99.72,26214762,99.13,-0.008727053866987688,,95.845,,0,,,
2023-03-21 04:00:00,97.97,98.36,97.54,140002,98.04,20044033,97.89,-0.008601497672535818,,96.072,,0,,,
2023-03-22 04:00:00,99.27,99.32,97.45,171563,97.65,28761222,98.67,0.013269368173930873,,96.321,,0,,,
2023-03-23 04:00:00,99.27,99.41,97.8,176431,98.3,26928090,98.55,0.0,,96.524,,0,,,
2023-03-24 04:00:00,99.69,100.24,99.14,154736,99.92,24692626,99.65,0.004230885463886391,,96.81,,0,,,
2023-03-27 04:00:00,97.35,98.68,97.34,136209,98.01,24546304,97.79,-0.023472765573277155,,96.966,,0,,,
2023-03-28 04:00:00,97.53,97.67,97.05,120144,97.26,19371199,97.4,0.001848998459168083,,97.1095,,0,,,
2023-03-29 04:00:00,97.33,97.46,96.66,110292,96.76,17998632,97.19,-0.0020506510817184243,,97.2935,,0,,,
2023-03-30 04:00:00,97.78,98.01,97.29,88408,97.46,15416611,97.7,0.004623446008424903,0.19244704291062,97.5415,,0,0.779435199169211,0.0,
2023-03-31 04:00:00,99.25,99.42,98.04,125691,98.29,25462265,98.86,0.01503374923297196,0.19285220767677927,97.75049999999999,,0,0.77779767745051,0.0,0.0
2023-04-03 04:00:00,99.71,100.17,98.87,111151,99.04,19863406,99.66,0.0046347607052896755,0.19288860857574663,98.0195,,0,0.7776508956641919,0.0,0.0
2023-04-04 04:00:00,100.21,100.83,98.92,110240,98.94,18098523,100.31,0.005014542172299574,0.18958961899274301,98.2845,,0,0.791182555277771,0.0,0.0
2023-04-05 04:00:00,101.26,101.37,100.47,141333,100.81,25573185,101.14,0.010477996207963303,0.19044153904170324,98.5975,,0,0.7876432839555525,0.0,0.0
2023-04-06 04:00:00,101.52,101.84,101.39,92372,101.41,17955728,101.58,0.0025676476397391568,0.18711218051689815,98.91199999999999,,0,0.8016581217960599,0.0,0.0
