Date,close,high,low,trades,open,volume,vwap,returns,roll_std,ma_fast,ma_slow,signal,pos_size,position,position_next
2023-01-03 05:00:00,51.12,52.32,49.62,35966,51.24,2548714,50.94,,,,,0,,,
2023-01-04 05:00:00,52.92,53.64,50.92,24178,51.92,1571170,52.47,0.03521126760563398,,,,0,,,
2023-01-05 05:00:00,47.84,49.16,46.48,42646,48.72,4459948,47.75,-0.09599395313681025,,,,0,,,
2023-01-06 05:00:00,47.56,48.82,46.68,35036,47.44,3331331,47.79,-0.0058528428093646,,,,0,,,
2023-01-09 05:00:00,49.72,52.5,49.0,41651,49.28,3134829,50.7,0.04541631623212772,,,,0,,,
2023-01-10 05:00:00,45.72,47.42,45.16,46671,46.76,3808257,46.03,-0.08045052292839905,,,,0,,,
2023-01-11 05:00:00,46.88,47.16,43.56,57993,46.36,5276798,45.5,0.025371828521434825,,,,0,,,
2023-01-12 05:00:00,47.04,50.2,46.72,40081,49.84,2836426,48.58,0.0034129692832762792,,,,0,,,
2023-01-13 05:00:00,44.12,46.2,43.1,44229,45.16,3580398,44.67,-0.062074829931972775,,,,0,,,
2023-01-17 05:00:00,46.2,47.16,45.0,39399,46.48,4220099,46.09,0.04714415231187674,,,,0,,,
2023-01-18 05:00:00,42.48,44.32,42.32,49925,43.32,4764598,43.09,-0.08051948051948066,,,,0,,,
2023-01-19 05:00:00,42.04,43.4,41.88,33938,42.84,3229529,42.4,-0.010357815442561202,,,,0,,,
2023-01-20 05:00:00,41.04,43.48,40.72,41489,42.76,3792360,42.09,-0.02378686964795429,,,,0,,,
2023-01-23 05:00:00,44.04,44.24,40.84,51001,42.36,5096410,42.48,0.07309941520467844,,,,0,,,
2023-01-24 05:00:00,41.96,43.48,41.44,30222,43.08,2568887,42.37,-0.04722979109900083,,,,0,,,
2023-01-25 05:00:00,39.24,41.04,39.24,48850,40.62,5049279,40.08,-0.06482364156339371,,,,0,,,
2023-01-26 05:00:00,38.48,39.12,36.6,79701,37.24,9235949,37.77,-0.01936799184505622,,,,0,,,
2023-01-27 05:00:00,39.24,39.68,37.8,45376,38.84,4700474,38.9,0.01975051975051989,,,,0,,,
2023-01-30 05:00:00,36.48,37.84,36.36,52079,37.24,6713733,36.95,-0.07033639143730896,,,,0,,,
2023-01-31 05:00:00,37.28,37.56,35.92,46427,36.12,6844038,36.67,0.021929824561403688,,44.07,,0,,,
2023-02-01 05:00:00,34.0,36.0,33.64,84776,35.64,12167169,34.63,-0.08798283261802575,,43.214,,0,,,
2023-02-02 05:00:00,33.52,35.44,33.2,50994,34.48,7295563,34.26,-0.014117647058823457,,42.244,,0,,,
2023-02-03 05:00:00,32.76,33.36,32.0,47819,33.16,8343291,32.64,-0.022673031026253176,,41.489999999999995,,0,,,
2023-02-06 05:00:00,34.0,34.08,32.32,38346,33.04,5274422,33.19,0.03785103785103794,,40.812,,0,,,
2023-02-07 05:00:00,35.48,35.68,33.96,43899,34.04,6511694,34.9,0.043529411764705817,,40.1,,0,,,
2023-02-08 05:00:00,32.92,34.95,32.36,55016,34.6,7188726,33.32,-0.07215332581736178,,39.46,,0,,,
2023-02-09 05:00:00,33.4,34.52,32.68,37772,33.12,5525892,33.5,0.014580801944106936,,38.786,,0,,,
2023-02-10 05:00:00,35.16,35.23,33.32,36229,33.56,5557328,34.34,0.05269461077844295,,38.192,,0,,,
2023-02-13 05:00:00,33.32,34.48,32.56,46511,33.56,7581812,33.37,-0.0523321956769055,,37.652,,0,,,
2023-02-14 05:00:00,35.4,35.6,34.21,38641,34.36,5540528,34.96,0.06242496998799507,,37.112,,0,,,
2023-02-15 05:00:00,33.68,35.08,33.44,36621,34.36,5108274,34.13,-0.0485875706214689,,36.672,,0,,,
2023-02-16 05:00:00,33.04,34.16,32.45,47984,34.12,6205738,33.22,-0.019002375296912177,,36.222,,0,,,
2023-02-17 05:00:00,31.04,31.68,30.4,65874,31.44,9837307,31.06,-0.060532687651331685,,35.722,,0,,,
2023-02-21 05:00:00,28.84,29.84,28.56,61556,29.6,10296622,29.09,-0.07087628865979378,,34.962,,0,,,
2023-02-22 05:00:00,30.32,31.98,29.64,53710,29.92,9306150,30.76,0.05131761442441052,,34.38,,0,,,
2023-02-23 05:00:00,32.28,32.82,30.64,53643,31.64,8400098,31.87,0.06464379947229548,,34.032,,0,,,
2023-02-24 05:00:00,33.96,34.08,32.45,47850,33.28,7122860,33.35,0.052044609665427455,,33.806,,0,,,
2023-02-27 05:00:00,35.84,36.16,34.48,58995,35.6,7671476,35.45,0.05535924617196719,,33.636,,0,,,
2023-02-28 05:00:00,36.48,36.64,33.92,44069,35.64,5760408,35.38,0.01785714285714257,,33.636,,0,,,
2023-03-01 05:00:00,37.2,37.48,35.44,41926,35.56,5518762,36.52,0.019736842105263275,,33.632,,0,,,
2023-03-02 05:00:00,36.68,37.52,35.8,31250,37.44,4652483,36.57,-0.013978494623655968,,33.766000000000005,,0,,,
2023-03-03 05:00:00,39.52,39.96,37.0,54804,37.36,8594451,38.84,0.07742639040348975,,34.066,,0,,,
2023-03-06 05:00:00,34.6,35.08,33.48,63217,34.8,8683346,34.33,-0.12449392712550611,,34.158,,0,,,
2023-03-07 05:00:00,35.08,35.64,34.28,29924,34.76,4158832,34.96,0.01387283236994219,,34.212,,0,,,
2023-03-08 05:00:00,34.32,34.88,33.32,33922,34.8,4826294,33.91,-0.021664766248574607,,34.154,,0,,,
2023-03-09 05:00:00,32.96,34.88,32.62,35347,34.56,5079719,33.54,-0.03962703962703962,,34.156,,0,,,
