Date,close,high,low,trades,open,volume,vwap,returns,roll_std,ma_fast,ma_slow,signal,pos_size,position,position_next
2023-01-03 05:00:00,78.84,81.6,77.86,208793,81.19,26541416,79.52,,,,,0,,,
2023-01-04 05:00:00,78.83,79.29,77.37,178465,77.67,22852575,78.57,-0.00012683916793509997,,,,0,,,
2023-01-05 05:00:00,80.27,80.71,78.47,158289,78.7,19361852,79.94,0.018267157173664783,,,,0,,,
2023-01-06 05:00:00,81.79,82.79,81.1,168980,81.3,22204982,81.94,0.018936090693908225,,,,0,,,
2023-01-09 05:00:00,81.5,83.15,81.23,196910,83.02,23001610,82.15,-0.003545665729306813,,,,0,,,
2023-01-10 05:00:00,82.08,82.25,80.79,137885,82.03,15799501,81.6,0.007116564417177784,,,,0,,,
2023-01-11 05:00:00,82.33,83.0,81.44,137436,82.8,16451492,82.19,0.003045808966861685,,,,0,,,
2023-01-12 05:00:00,83.9,84.44,82.67,155910,82.83,18358035,83.82,0.01906959795943175,,,,0,,,
2023-01-13 05:00:00,84.02,84.22,82.95,120117,83.83,15901589,83.75,0.0014302741358758198,,,,0,,,
2023-01-17 05:00:00,84.2,85.08,83.85,133499,84.22,16966599,84.27,0.0021423470602237593,,,,0,,,
2023-01-18 05:00:00,82.66,85.53,82.57,148242,84.59,19037646,83.76,-0.018289786223278037,,,,0,,,
2023-01-19 05:00:00,83.69,84.02,82.0,125187,82.18,17146862,83.18,0.012460682313089722,,,,0,,,
2023-01-20 05:00:00,84.52,84.81,83.01,113154,83.86,14023610,84.21,0.009917552873700552,,,,0,,,
2023-01-23 05:00:00,84.63,85.55,84.36,119676,85.13,14652544,84.94,0.0013014671083766416,,,,0,,,
2023-01-24 05:00:00,84.3,84.5,82.63,130785,84.35,14886444,83.91,-0.0038993264799715988,,,,0,,,
2023-01-25 05:00:00,84.31,84.31,82.56,116863,83.89,13430617,83.56,0.00011862396204032066,,,,0,,,
2023-01-26 05:00:00,86.97,87.01,84.63,166995,85.68,18331505,86.01,0.031550231289289465,,,,0,,,
2023-01-27 05:00:00,85.22,86.94,85.08,140163,86.51,17393300,85.69,-0.020121881108428163,,,,0,,,
2023-01-30 05:00:00,83.27,84.72,83.15,117237,84.6,13762454,83.88,-0.022881952593287957,,,,0,,,
2023-01-31 05:00:00,84.0,84.13,82.13,136542,82.98,13924137,83.46,0.00876666266362447,,83.06649999999999,,0,,,
2023-02-01 05:00:00,82.35,83.97,81.27,197801,83.61,23483596,82.35,-0.019642857142857184,,83.242,,0,,,
2023-02-02 05:00:00,80.47,82.19,79.58,211662,82.03,24901506,80.65,-0.022829386763812964,,83.324,,0,,,
2023-02-03 05:00:00,80.29,82.12,80.21,176043,80.81,22725235,80.98,-0.0022368584565676253,,83.325,,0,,,
2023-02-06 05:00:00,79.93,80.98,78.94,121880,80.37,15857170,79.78,-0.004483746419230328,,83.232,,0,,,
2023-02-07 05:00:00,82.53,82.65,80.01,167325,80.43,20507016,81.51,0.03252846240460405,,83.2835,,0,,,
2023-02-08 05:00:00,81.79,82.88,81.32,123275,82.46,13483580,81.98,-0.0089664364473524,,83.269,,0,,,
2023-02-09 05:00:00,81.09,82.06,81.03,122142,81.8,16075156,81.55,-0.008558503484533575,,83.207,,0,,,
2023-02-10 05:00:00,84.26,84.43,82.36,157695,82.43,19987910,83.59,0.03909236650635095,,83.225,,0,,,
2023-02-13 05:00:00,84.05,84.37,82.97,113994,83.83,12372446,83.89,-0.002492285782103143,,83.2265,,0,,,
2023-02-14 05:00:00,84.08,84.69,83.15,114206,83.39,13511305,84.06,0.0003569303985722083,,83.2205,,0,,,
2023-02-15 05:00:00,82.65,83.31,81.59,138529,83.13,15972123,82.38,-0.017007611798287248,,83.22,,0,,,
2023-02-16 05:00:00,81.84,82.91,81.75,123335,82.2,12657087,82.32,-0.009800362976406518,,83.12750000000001,,0,,,
2023-02-17 05:00:00,78.92,80.62,78.58,178636,80.57,22319119,79.21,-0.03567937438905178,,82.8475,,0,,,
2023-02-21 05:00:00,78.53,79.44,78.38,132337,78.58,16811279,78.76,-0.004941713127217473,,82.54249999999999,,0,,,
2023-02-22 05:00:00,78.01,79.05,77.33,157398,78.31,20135213,78.14,-0.006621673245893245,,82.22800000000001,,0,,,
2023-02-23 05:00:00,79.18,79.64,78.18,132629,79.18,17511674,79.04,0.014998077169593671,,81.9715,,0,,,
2023-02-24 05:00:00,79.08,79.19,77.57,155057,78.02,18745831,78.49,-0.0012629451881789322,,81.57700000000001,,0,,,
2023-02-27 05:00:00,79.31,79.66,78.66,124194,79.24,15338191,79.31,0.0029084471421345626,,81.28150000000001,,0,,,
2023-02-28 05:00:00,78.17,80.15,78.11,164158,80.12,19003820,78.78,-0.014373975539024086,,81.02650000000001,,0,,,
2023-03-01 05:00:00,79.72,80.12,77.95,167216,78.24,18546968,79.48,0.01982857873864652,,80.8125,,0,,,
2023-03-02 05:00:00,80.42,80.72,79.32,141658,79.58,16402487,80.09,0.008780732563973936,,80.716,,0,,,
2023-03-03 05:00:00,81.51,81.91,79.4,195663,79.45,25323481,80.97,0.01355384232777923,,80.768,,0,,,
2023-03-06 05:00:00,81.55,81.68,80.73,159518,81.06,16949157,81.24,0.0004907373328424391,,80.83099999999999,,0,,,
2023-03-07 05:00:00,80.13,81.27,79.92,166893,81.06,18500179,80.56,-0.017412630288166753,,80.84100000000001,,0,,,
2023-03-08 05:00:00,79.3,80.79,78.54,175427,79.77,19699517,79.45,-0.010358167977037258,,80.67949999999999,,0,,,
2023-03-09 05:00:00,78.18,80.88,78.16,166473,79.76,18944056,79.42,-0.014123581336696,,80.499,,0,,,
2023-03-10 05:00:00,77.18,79.29,76.74,250619,78.18,28307937,77.88,-0.012790995139421835,,80.30350000000001,,0,,,
2023-03-13 04:00:00,75.61,76.96,73.9,378457,75.21,41663313,75.71,-0.020342057527857005,,79.87100000000001,,0,,,
2023-03-14 04:00:00,76.36,78.06,75.01,258000,75.61,30533190,76.57,0.00991932284089403,,79.4865,,0,,,
2023-03-15 04:00:00,72.26,74.12,71.21,442708,73.56,57673510,72.5,-0.053693033001571466,,78.8955,,0,,,
