Date,open,high,low,close,volume
2020-01-02 05:00:00+00:00,14.37,14.41,14.32,14.37,3151445
2020-01-03 05:00:00+00:00,14.6,14.62,14.5,14.54,3276076
2020-01-06 05:00:00+00:00,14.65,14.67,14.55,14.57,3335573
2020-01-07 05:00:00+00:00,14.54,14.59,14.5,14.56,1987193
2020-01-08 05:00:00+00:00,14.55,14.55,14.21,14.34,2454237
2020-01-09 05:00:00+00:00,14.26,14.3,14.19,14.28,1117266
2020-01-10 05:00:00+00:00,14.27,14.3,14.23,14.28,1896232
2020-01-13 05:00:00+00:00,14.23,14.23,14.13,14.17,1287996
2020-01-14 05:00:00+00:00,14.23,14.25,14.2,14.23,1215411
2020-01-15 05:00:00+00:00,14.2,14.2,14.09,14.16,680762
2020-01-16 05:00:00+00:00,14.17,14.19,14.11,14.14,1704626
2020-01-17 05:00:00+00:00,14.15,14.19,14.11,14.19,973208
2020-01-21 05:00:00+00:00,14.12,14.15,14.09,14.11,1005659
2020-01-22 05:00:00+00:00,14.04,14.04,13.89,13.92,686241
2020-01-23 05:00:00+00:00,13.77,13.82,13.7,13.8,1333342
2020-01-24 05:00:00+00:00,13.65,13.67,13.55,13.6,1675194
2020-01-27 05:00:00+00:00,13.35,13.42,13.29,13.34,2632804
2020-01-28 05:00:00+00:00,13.35,13.47,13.33,13.41,1177840
2020-01-29 05:00:00+00:00,13.42,13.42,13.32,13.34,831244
2020-01-30 05:00:00+00:00,13.2,13.24,13.1,13.23,1958836
2020-01-31 05:00:00+00:00,13.11,13.2,13.05,13.12,1911331
2020-02-03 05:00:00+00:00,13.01,13.07,12.87,12.88,3537636
2020-02-04 05:00:00+00:00,13.01,13.02,12.88,12.89,1618690
2020-02-05 05:00:00+00:00,13.08,13.16,13.05,13.09,2607285
2020-02-06 05:00:00+00:00,13.07,13.15,13.03,13.15,2512712
2020-02-07 05:00:00+00:00,13.06,13.12,13.04,13.07,1014453
2020-02-10 05:00:00+00:00,12.97,13.02,12.94,12.96,609686
2020-02-11 05:00:00+00:00,13.05,13.06,12.98,13.0,1197508
2020-02-12 05:00:00+00:00,13.18,13.2,13.13,13.18,1164984
2020-02-13 05:00:00+00:00,13.2,13.24,13.15,13.19,765305
2020-02-14 05:00:00+00:00,13.21,13.24,13.14,13.18,1649171
2020-02-18 05:00:00+00:00,13.18,13.3,13.18,13.28,953029
2020-02-19 05:00:00+00:00,13.33,13.42,13.28,13.41,621337
2020-02-20 05:00:00+00:00,13.42,13.46,13.33,13.35,972058
2020-02-21 05:00:00+00:00,13.28,13.31,13.24,13.3,784078
2020-02-24 05:00:00+00:00,13.03,13.07,12.96,13.05,778353
2020-02-25 05:00:00+00:00,13.02,13.03,12.8,12.8,1428734
2020-02-26 05:00:00+00:00,12.77,12.87,12.65,12.68,1069804
2020-02-27 05:00:00+00:00,12.43,12.55,12.36,12.46,1878093
2020-02-28 05:00:00+00:00,12.25,12.3,12.11,12.25,1455016
2020-03-02 05:00:00+00:00,12.35,12.53,12.3,12.52,3037080
2020-03-03 05:00:00+00:00,12.56,12.7,12.46,12.55,1582057
2020-03-04 05:00:00+00:00,12.64,12.67,12.5,12.56,1340211
2020-03-05 05:00:00+00:00,12.54,12.57,12.38,12.43,1893372
2020-03-06 05:00:00+00:00,12.22,12.25,11.96,12.02,3258274
2020-03-09 04:00:00+00:00,11.09,11.3,11.03,11.09,2867382
2020-03-10 04:00:00+00:00,11.4,11.48,11.28,11.44,4409959
2020-03-11 04:00:00+00:00,11.41,11.41,11.22,11.23,2544302
2020-03-12 04:00:00+00:00,10.86,11.03,10.36,10.78,4209832
2020-03-13 04:00:00+00:00,11.04,11.07,10.74,10.9,4519398
2020-03-16 04:00:00+00:00,10.22,10.41,10.08,10.24,3173072
2020-03-17 04:00:00+00:00,10.23,10.32,10.06,10.08,5803387
2020-03-18 04:00:00+00:00,9.834,9.915,9.366,9.744,3823038
2020-03-19 04:00:00+00:00,9.699,10.08,9.645,9.951,2319731
2020-03-20 04:00:00+00:00,10.19,10.19,9.771,9.843,2220570
2020-03-23 04:00:00+00:00,9.735,9.996,9.735,9.96,2091720
2020-03-24 04:00:00+00:00,10.17,10.26,10.1,10.18,1048383
2020-03-25 04:00:00+00:00,10.21,10.45,10.17,10.35,1497416
2020-03-26 04:00:00+00:00,10.32,10.42,10.19,10.31,1928190
2020-03-27 04:00:00+00:00,10.23,10.33,10.15,10.28,1484730
2020-03-30 04:00:00+00:00,10.19,10.26,10.06,10.2,1680091
2020-03-31 04:00:00+00:00,10.34,10.34,10.1,10.12,1227564
2020-04-01 04:00:00+00:00,9.996,10.0,9.816,9.834,1474508
2020-04-02 04:00:00+00:00,9.942,10.35,9.852,10.02,1629637
2020-04-03 04:00:00+00:00,10.24,10.3,10.1,10.28,975494
