Date,open,high,low,close,volume
2020-01-02 05:00:00+00:00,108.64,108.84,108.4,108.55,21619694
2020-01-03 05:00:00+00:00,108.69,108.95,108.58,108.92,11053887
2020-01-06 05:00:00+00:00,108.93,109.08,108.47,108.6,15943322
2020-01-07 05:00:00+00:00,108.49,108.5,108.22,108.27,8502356
2020-01-08 05:00:00+00:00,108.36,108.62,108.07,108.12,12924696
2020-01-09 05:00:00+00:00,108.1,108.68,108.06,108.64,14570953
2020-01-10 05:00:00+00:00,108.75,109.07,108.7,108.94,8561691
2020-01-13 05:00:00+00:00,108.79,108.82,108.63,108.68,4621638
2020-01-14 05:00:00+00:00,108.66,108.83,108.62,108.82,11441803
2020-01-15 05:00:00+00:00,109.03,109.09,108.89,109.05,9136023
2020-01-16 05:00:00+00:00,109.11,109.29,108.99,109.21,14325647
2020-01-17 05:00:00+00:00,109.09,109.27,108.86,109.19,16161927
2020-01-21 05:00:00+00:00,109.5,109.76,109.26,109.71,18817177
2020-01-22 05:00:00+00:00,109.91,109.94,109.76,109.77,10087904
2020-01-23 05:00:00+00:00,109.97,110.04,109.82,109.92,13795353
2020-01-24 05:00:00+00:00,110.18,110.23,110.01,110.1,11914814
2020-01-27 05:00:00+00:00,110.2,110.42,110.16,110.31,11142006
2020-01-28 05:00:00+00:00,110.42,110.52,110.15,110.26,13114846
2020-01-29 05:00:00+00:00,110.55,110.79,110.54,110.61,11581221
2020-01-30 05:00:00+00:00,110.65,110.85,110.44,110.68,15148082
2020-01-31 05:00:00+00:00,110.86,111.03,110.7,110.94,21170102
2020-02-03 05:00:00+00:00,110.82,111.01,110.68,110.88,13912957
2020-02-04 05:00:00+00:00,110.68,110.75,110.44,110.61,16972477
2020-02-05 05:00:00+00:00,110.45,110.59,110.4,110.54,9764044
2020-02-06 05:00:00+00:00,110.57,110.7,110.48,110.49,11255046
2020-02-07 05:00:00+00:00,110.94,111.08,110.82,110.91,12190101
2020-02-10 05:00:00+00:00,111.01,111.23,111.01,111.18,10731210
2020-02-11 05:00:00+00:00,111.08,111.24,111.0,111.01,11668354
2020-02-12 05:00:00+00:00,110.92,111.01,110.84,110.96,7261609
2020-02-13 05:00:00+00:00,110.96,111.1,110.87,110.89,5603767
2020-02-14 05:00:00+00:00,111.23,111.29,111.05,111.16,9267862
