Date,open,high,low,close,volume
2020-01-02 05:00:00+00:00,207.04,208.74,206.64,208.74,31783922
2020-01-03 05:00:00+00:00,205.97,208.07,205.96,206.83,27845316
2020-01-06 05:00:00+00:00,205.2,208.19,204.95,208.16,22140049
2020-01-07 05:00:00+00:00,208.24,208.72,207.48,208.13,23496517
2020-01-08 05:00:00+00:00,208.07,210.65,207.77,209.7,26872014
2020-01-09 05:00:00+00:00,211.4,211.88,210.24,211.47,24006173
2020-01-10 05:00:00+00:00,212.22,212.32,210.56,210.93,22206287
2020-01-13 05:00:00+00:00,211.78,213.39,211.46,213.37,24137747
2020-01-14 05:00:00+00:00,213.17,213.62,212.2,212.53,24836522
2020-01-15 05:00:00+00:00,212.62,213.61,211.92,212.61,25915073
2020-01-16 05:00:00+00:00,213.65,214.69,213.22,214.65,19412634
2020-01-17 05:00:00+00:00,215.58,215.89,214.5,215.71,24664564
2020-01-21 05:00:00+00:00,215.08,216.16,215.02,215.62,21964721
2020-01-22 05:00:00+00:00,216.68,217.42,215.92,216.19,20122022
2020-01-23 05:00:00+00:00,216.03,216.98,215.06,216.88,26902608
2020-01-24 05:00:00+00:00,217.88,218.13,214.06,215.06,37735721
2020-01-27 05:00:00+00:00,210.25,211.76,209.73,210.61,43040622
2020-01-28 05:00:00+00:00,212.06,214.34,211.54,213.85,27460780
2020-01-29 05:00:00+00:00,215.02,215.28,213.25,214.2,29621808
2020-01-30 05:00:00+00:00,212.81,215.06,212.15,214.96,40090115
2020-01-31 05:00:00+00:00,215.83,215.89,210.79,211.55,52513116
2020-02-03 05:00:00+00:00,212.58,215.23,212.44,214.75,26158840
2020-02-04 05:00:00+00:00,217.65,220.04,216.94,219.66,31597833
2020-02-05 05:00:00+00:00,222.32,222.35,219.06,220.39,39147264
2020-02-06 05:00:00+00:00,220.92,222.35,220.15,222.29,22815405
2020-02-07 05:00:00+00:00,221.29,222.53,220.7,221.33,26137120
2020-02-10 05:00:00+00:00,220.59,224.02,220.54,224.01,21880674
2020-02-11 05:00:00+00:00,225.21,225.99,223.46,224.05,31150916
2020-02-12 05:00:00+00:00,225.33,226.33,224.81,226.23,25015343
2020-02-13 05:00:00+00:00,224.64,226.87,224.38,225.94,23106978
2020-02-14 05:00:00+00:00,226.24,226.8,225.53,226.59,23911493
2020-02-18 05:00:00+00:00,225.46,227.1,225.24,226.67,24942864
2020-02-19 05:00:00+00:00,227.97,229.32,227.75,228.85,22854684
2020-02-20 05:00:00+00:00,228.34,228.82,223.92,226.72,43470513
2020-02-21 05:00:00+00:00,225.62,225.98,221.45,222.37,66778531
2020-02-24 05:00:00+00:00,214.23,216.55,212.7,213.79,86078467
2020-02-25 05:00:00+00:00,215.53,216.3,207.37,207.98,98994378
2020-02-26 05:00:00+00:00,209.23,212.72,207.52,209.05,81449738
2020-02-27 05:00:00+00:00,203.81,208.99,198.45,198.58,123365147
2020-02-28 05:00:00+00:00,192.09,200.06,191.37,198.74,149983420
2020-03-02 05:00:00+00:00,201.71,209.14,198.87,208.99,114535553
2020-03-03 05:00:00+00:00,209.66,212.07,200.49,202.29,132997926
2020-03-04 05:00:00+00:00,206.0,210.84,204.11,210.73,73976908
2020-03-05 05:00:00+00:00,205.39,208.93,202.89,204.33,79491052
2020-03-06 05:00:00+00:00,197.64,201.97,195.95,200.88,90540307
2020-03-09 04:00:00+00:00,186.84,194.26,185.52,186.93,118698227
2020-03-10 04:00:00+00:00,194.21,197.29,187.03,197.1,101303325
2020-03-11 04:00:00+00:00,192.51,193.86,186.11,188.52,90290283
2020-03-12 04:00:00+00:00,175.84,184.23,170.87,171.23,139521691
2020-03-13 04:00:00+00:00,180.65,187.8,172.02,185.74,135110286
2020-03-16 04:00:00+00:00,168.17,178.34,163.35,163.49,93348128
2020-03-17 04:00:00+00:00,169.45,178.06,163.95,175.89,122013887
2020-03-18 04:00:00+00:00,165.71,173.07,161.07,170.54,116356332
2020-03-19 04:00:00+00:00,169.66,177.19,165.74,171.56,120873663
2020-03-20 04:00:00+00:00,175.5,176.59,164.26,164.84,116312601
2020-03-23 04:00:00+00:00,165.4,168.59,159.61,164.96,126485243
2020-03-24 04:00:00+00:00,174.1,177.9,172.21,177.73,96039712
2020-03-25 04:00:00+00:00,178.47,183.39,174.17,176.42,89894348
2020-03-26 04:00:00+00:00,177.94,186.5,177.68,185.71,80861395
2020-03-27 04:00:00+00:00,180.9,184.37,178.7,179.32,59338087
2020-03-30 04:00:00+00:00,181.06,186.28,180.33,185.84,50136809
2020-03-31 04:00:00+00:00,185.35,188.95,183.09,184.26,63213899
2020-04-01 04:00:00+00:00,178.85,181.6,175.02,176.43,54306675
2020-04-02 04:00:00+00:00,175.73,183.97,175.13,180.01,56883800
2020-04-03 04:00:00+00:00,179.51,181.03,175.44,177.45,47918780
2020-04-06 04:00:00+00:00,184.24,191.27,183.08,190.14,65717234
2020-04-07 04:00:00+00:00,195.62,196.12,189.68,190.06,70613514
2020-04-08 04:00:00+00:00,191.69,194.68,189.84,194.1,46663552
2020-04-09 04:00:00+00:00,195.74,196.66,192.61,194.38,68760234
2020-04-13 04:00:00+00:00,193.47,196.86,192.34,196.48,43334087
2020-04-14 04:00:00+00:00,200.48,205.64,199.76,205.02,64928671
2020-04-15 04:00:00+00:00,201.75,205.0,200.44,202.67,47619742
2020-04-16 04:00:00+00:00,204.95,207.45,202.92,206.37,65067682
2020-04-17 04:00:00+00:00,208.99,209.52,205.24,208.34,63545242
2020-04-20 04:00:00+00:00,206.39,208.91,205.71,205.87,38965103
2020-04-21 04:00:00+00:00,203.83,204.35,197.06,198.28,73493045
2020-04-22 04:00:00+00:00,202.39,205.5,201.61,204.16,40774873
