VWAP Window,MFI Period,Regime Window,ATR Period,mfi_entry,bear_exit,bull_exit,Min Stop Dollars,Max Stop Dollars,Risk Per Trade,Max Hold Hours,regime_params,total_pnl,total_return,sharpe_ratio,win_rate,max_drawdown,total_trades,avg_trade_pnl,risk_adjusted_score,regime_contribution
50,9,20,2,30,55,75,0.25,1.5,0.005,12,"{'bear_high_vol': {'position_scale': 1.75, 'reward_risk': 2.5, 'stop_mult': 1.2, 'mfi_overbought': 55, 'trailing_stop': True}, 'bull_high_vol': {'position_scale': 1.0, 'reward_risk': 2.0, 'stop_mult': 1.2, 'mfi_overbought': 75, 'trailing_stop': True}, 'bear_med_vol': {'position_scale': 0.0, 'reward_risk': 2.0, 'stop_mult': 1.2}, 'bull_med_vol': {'position_scale': 0.0, 'reward_risk': 1.5, 'stop_mult': 1.2}, 'bull_low_vol': {'position_scale': 0.0, 'reward_risk': 1.5, 'stop_mult': 1.2}, 'bear_low_vol': {'position_scale': 0.0, 'reward_risk': 1.5, 'stop_mult': 1.2}}",38281.47749999987,0.44403255783501305,1.0389310141330632,0.5648148148148148,-0.08520930898815708,108,354.4581249999988,0.562009974128294,"{'bear_high_vol': {'trades': 57, 'win_rate': 0.543859649122807, 'avg_pnl': 620.0639754385945, 'total_pnl': 35343.64659999989, 'contribution': 0.9232571182760647}, 'bull_high_vol': {'trades': 51, 'win_rate': 0.5882352941176471, 'avg_pnl': 57.60452745097987, 'total_pnl': 2937.8308999999736, 'contribution': 0.07674288172393512}}"
50,9,20,2,30,55,75,0.25,1.5,0.005,24,"{'bear_high_vol': {'position_scale': 1.75, 'reward_risk': 2.5, 'stop_mult': 1.2, 'mfi_overbought': 55, 'trailing_stop': True}, 'bull_high_vol': {'position_scale': 1.0, 'reward_risk': 2.0, 'stop_mult': 1.2, 'mfi_overbought': 75, 'trailing_stop': True}, 'bear_med_vol': {'position_scale': 0.0, 'reward_risk': 2.0, 'stop_mult': 1.2}, 'bull_med_vol': {'position_scale': 0.0, 'reward_risk': 1.5, 'stop_mult': 1.2}, 'bull_low_vol': {'position_scale': 0.0, 'reward_risk': 1.5, 'stop_mult': 1.2}, 'bear_low_vol': {'position_scale': 0.0, 'reward_risk': 1.5, 'stop_mult': 1.2}}",38423.07199999983,0.4469979656095666,1.0653698569369219,0.5754716981132075,-0.06881755059395102,106,362.48181132075314,0.5701174571264922,"{'bear_high_vol': {'trades': 55, 'win_rate': 0.5454545454545454, 'avg_pnl': 593.5832109090883, 'total_pnl': 32647.076599999855, 'contribution': 0.8496737741323754}, 'bull_high_vol': {'trades': 51, 'win_rate': 0.6078431372549019, 'avg_pnl': 113.25481176470532, 'total_pnl': 5775.995399999972, 'contribution': 0.15032622586762445}}"
50,9,20,2,30,55,75,0.25,1.5,0.005,36,"{'bear_high_vol': {'position_scale': 1.75, 'reward_risk': 2.5, 'stop_mult': 1.2, 'mfi_overbought': 55, 'trailing_stop': True}, 'bull_high_vol': {'position_scale': 1.0, 'reward_risk': 2.0, 'stop_mult': 1.2, 'mfi_overbought': 75, 'trailing_stop': True}, 'bear_med_vol': {'position_scale': 0.0, 'reward_risk': 2.0, 'stop_mult': 1.2}, 'bull_med_vol': {'position_scale': 0.0, 'reward_risk': 1.5, 'stop_mult': 1.2}, 'bull_low_vol': {'position_scale': 0.0, 'reward_risk': 1.5, 'stop_mult': 1.2}, 'bear_low_vol': {'position_scale': 0.0, 'reward_risk': 1.5, 'stop_mult': 1.2}}",38815.507499999825,0.452628243169926,1.0748604829303805,0.5754716981132075,-0.06986170838544623,106,366.1840330188663,0.5714783675681931,"{'bear_high_vol': {'trades': 55, 'win_rate': 0.5454545454545454, 'avg_pnl': 598.1477563636333, 'total_pnl': 32898.126599999836, 'contribution': 0.8475511134306304}, 'bull_high_vol': {'trades': 51, 'win_rate': 0.6078431372549019, 'avg_pnl': 116.02707647058772, 'total_pnl': 5917.380899999974, 'contribution': 0.15244888656936922}}"
50,9,20,2,30,55,75,0.25,1.5,0.005,48,"{'bear_high_vol': {'position_scale': 1.75, 'reward_risk': 2.5, 'stop_mult': 1.2, 'mfi_overbought': 55, 'trailing_stop': True}, 'bull_high_vol': {'position_scale': 1.0, 'reward_risk': 2.0, 'stop_mult': 1.2, 'mfi_overbought': 75, 'trailing_stop': True}, 'bear_med_vol': {'position_scale': 0.0, 'reward_risk': 2.0, 'stop_mult': 1.2}, 'bull_med_vol': {'position_scale': 0.0, 'reward_risk': 1.5, 'stop_mult': 1.2}, 'bull_low_vol': {'position_scale': 0.0, 'reward_risk': 1.5, 'stop_mult': 1.2}, 'bear_low_vol': {'position_scale': 0.0, 'reward_risk': 1.5, 'stop_mult': 1.2}}",38256.70749999982,0.44454476791782027,1.0595872625110667,0.5660377358490566,-0.07278535815702362,106,360.9123349056587,0.5648848527082172,"{'bear_high_vol': {'trades': 55, 'win_rate': 0.5454545454545454, 'avg_pnl': 598.1477563636333, 'total_pnl': 32898.126599999836, 'contribution': 0.8599309441357438}, 'bull_high_vol': {'trades': 51, 'win_rate': 0.5882352941176471, 'avg_pnl': 105.07021372548974, 'total_pnl': 5358.580899999976, 'contribution': 0.140069055864256}}"
50,9,20,2,30,55,75,0.25,1.5,0.005,72,"{'bear_high_vol': {'position_scale': 1.75, 'reward_risk': 2.5, 'stop_mult': 1.2, 'mfi_overbought': 55, 'trailing_stop': True}, 'bull_high_vol': {'position_scale': 1.0, 'reward_risk': 2.0, 'stop_mult': 1.2, 'mfi_overbought': 75, 'trailing_stop': True}, 'bear_med_vol': {'position_scale': 0.0, 'reward_risk': 2.0, 'stop_mult': 1.2}, 'bull_med_vol': {'position_scale': 0.0, 'reward_risk': 1.5, 'stop_mult': 1.2}, 'bull_low_vol': {'position_scale': 0.0, 'reward_risk': 1.5, 'stop_mult': 1.2}, 'bear_low_vol': {'position_scale': 0.0, 'reward_risk': 1.5, 'stop_mult': 1.2}}",29052.85749999978,0.3230960494710564,0.9569250162476106,0.5825242718446602,-0.061158200711755886,103,282.06657766990077,0.536989498595512,"{'bear_high_vol': {'trades': 54, 'win_rate': 0.5555555555555556, 'avg_pnl': 467.3984555555517, 'total_pnl': 25239.51659999979, 'contribution': 0.8687447215820331}, 'bull_high_vol': {'trades': 49, 'win_rate': 0.6122448979591837, 'avg_pnl': 77.82328367346908, 'total_pnl': 3813.3408999999847, 'contribution': 0.13125527841796675}}"
50,9,20,2,30,55,75,0.25,1.5,0.01,12,"{'bear_high_vol': {'position_scale': 1.75, 'reward_risk': 2.5, 'stop_mult': 1.2, 'mfi_overbought': 55, 'trailing_stop': True}, 'bull_high_vol': {'position_scale': 1.0, 'reward_risk': 2.0, 'stop_mult': 1.2, 'mfi_overbought': 75, 'trailing_stop': True}, 'bear_med_vol': {'position_scale': 0.0, 'reward_risk': 2.0, 'stop_mult': 1.2}, 'bull_med_vol': {'position_scale': 0.0, 'reward_risk': 1.5, 'stop_mult': 1.2}, 'bull_low_vol': {'position_scale': 0.0, 'reward_risk': 1.5, 'stop_mult': 1.2}, 'bear_low_vol': {'position_scale': 0.0, 'reward_risk': 1.5, 'stop_mult': 1.2}}",76554.15809999974,1.0256540727832055,1.0388409264269558,0.5648148148148148,-0.1654274335478373,108,708.8347972222198,0.6990570716163576,"{'bear_high_vol': {'trades': 57, 'win_rate': 0.543859649122807, 'avg_pnl': 1240.1363789473644, 'total_pnl': 70687.77359999977, 'contribution': 0.9233694857915237}, 'bull_high_vol': {'trades': 51, 'win_rate': 0.5882352941176471, 'avg_pnl': 115.02714705882252, 'total_pnl': 5866.384499999948, 'contribution': 0.076630514208476}}"
50,9,20,2,30,55,75,0.25,1.5,0.01,24,"{'bear_high_vol': {'position_scale': 1.75, 'reward_risk': 2.5, 'stop_mult': 1.2, 'mfi_overbought': 55, 'trailing_stop': True}, 'bull_high_vol': {'position_scale': 1.0, 'reward_risk': 2.0, 'stop_mult': 1.2, 'mfi_overbought': 75, 'trailing_stop': True}, 'bear_med_vol': {'position_scale': 0.0, 'reward_risk': 2.0, 'stop_mult': 1.2}, 'bull_med_vol': {'position_scale': 0.0, 'reward_risk': 1.5, 'stop_mult': 1.2}, 'bull_low_vol': {'position_scale': 0.0, 'reward_risk': 1.5, 'stop_mult': 1.2}, 'bear_low_vol': {'position_scale': 0.0, 'reward_risk': 1.5, 'stop_mult': 1.2}}",76838.47379999964,1.036381339561156,1.0653045998982074,0.5754716981132075,-0.13525224147800044,106,724.8912622641476,0.7104921261496815,"{'bear_high_vol': {'trades': 55, 'win_rate': 0.5454545454545454, 'avg_pnl': 1187.2425199999948, 'total_pnl': 65298.33859999972, 'contribution': 0.8498130607065757}, 'bull_high_vol': {'trades': 51, 'win_rate': 0.6078431372549019, 'avg_pnl': 226.27716078431266, 'total_pnl': 11540.135199999946, 'contribution': 0.15018693929342464}}"
50,9,20,2,30,55,75,0.25,1.5,0.01,36,"{'bear_high_vol': {'position_scale': 1.75, 'reward_risk': 2.5, 'stop_mult': 1.2, 'mfi_overbought': 55, 'trailing_stop': True}, 'bull_high_vol': {'position_scale': 1.0, 'reward_risk': 2.0, 'stop_mult': 1.2, 'mfi_overbought': 75, 'trailing_stop': True}, 'bear_med_vol': {'position_scale': 0.0, 'reward_risk': 2.0, 'stop_mult': 1.2}, 'bull_med_vol': {'position_scale': 0.0, 'reward_risk': 1.5, 'stop_mult': 1.2}, 'bull_low_vol': {'position_scale': 0.0, 'reward_risk': 1.5, 'stop_mult': 1.2}, 'bear_low_vol': {'position_scale': 0.0, 'reward_risk': 1.5, 'stop_mult': 1.2}}",77624.07809999962,1.052104600478526,1.074806366683203,0.5754716981132075,-0.1372411919385756,106,732.3026235849021,0.7132367532575664,"{'bear_high_vol': {'trades': 55, 'win_rate': 0.5454545454545454, 'avg_pnl': 1196.3754290909033, 'total_pnl': 65800.64859999968, 'contribution': 0.8476834792837301}, 'bull_high_vol': {'trades': 51, 'win_rate': 0.6078431372549019, 'avg_pnl': 231.83195098039118, 'total_pnl': 11823.429499999951, 'contribution': 0.15231652071626997}}"
50,9,20,2,30,55,75,0.25,1.5,0.01,48,"{'bear_high_vol': {'position_scale': 1.75, 'reward_risk': 2.5, 'stop_mult': 1.2, 'mfi_overbought': 55, 'trailing_stop': True}, 'bull_high_vol': {'position_scale': 1.0, 'reward_risk': 2.0, 'stop_mult': 1.2, 'mfi_overbought': 75, 'trailing_stop': True}, 'bear_med_vol': {'position_scale': 0.0, 'reward_risk': 2.0, 'stop_mult': 1.2}, 'bull_med_vol': {'position_scale': 0.0, 'reward_risk': 1.5, 'stop_mult': 1.2}, 'bull_low_vol': {'position_scale': 0.0, 'reward_risk': 1.5, 'stop_mult': 1.2}, 'bear_low_vol': {'position_scale': 0.0, 'reward_risk': 1.5, 'stop_mult': 1.2}}",76506.47809999961,1.0293605939367403,1.0595325541243445,0.5660377358490566,-0.14265330036313723,106,721.7592273584869,0.7039103466669937,"{'bear_high_vol': {'trades': 55, 'win_rate': 0.5454545454545454, 'avg_pnl': 1196.3754290909033, 'total_pnl': 65800.64859999968, 'contribution': 0.8600663660663268}, 'bull_high_vol': {'trades': 51, 'win_rate': 0.5882352941176471, 'avg_pnl': 209.91822549019514, 'total_pnl': 10705.829499999953, 'contribution': 0.13993363393367347}}"
50,9,20,2,30,55,75,0.25,1.5,0.01,72,"{'bear_high_vol': {'position_scale': 1.75, 'reward_risk': 2.5, 'stop_mult': 1.2, 'mfi_overbought': 55, 'trailing_stop': True}, 'bull_high_vol': {'position_scale': 1.0, 'reward_risk': 2.0, 'stop_mult': 1.2, 'mfi_overbought': 75, 'trailing_stop': True}, 'bear_med_vol': {'position_scale': 0.0, 'reward_risk': 2.0, 'stop_mult': 1.2}, 'bull_med_vol': {'position_scale': 0.0, 'reward_risk': 1.5, 'stop_mult': 1.2}, 'bull_low_vol': {'position_scale': 0.0, 'reward_risk': 1.5, 'stop_mult': 1.2}, 'bear_low_vol': {'position_scale': 0.0, 'reward_risk': 1.5, 'stop_mult': 1.2}}",58095.128099999565,0.7152614673963176,0.9567923136805127,0.5825242718446602,-0.12103065897511794,103,564.0303699029084,0.6411840893428388,"{'bear_high_vol': {'trades': 54, 'win_rate': 0.5555555555555556, 'avg_pnl': 934.8297888888815, 'total_pnl': 50480.8085999996, 'contribution': 0.8689335965161591}, 'bull_high_vol': {'trades': 49, 'win_rate': 0.6122448979591837, 'avg_pnl': 155.39427551020347, 'total_pnl': 7614.3194999999705, 'contribution': 0.13106640348384097}}"
