,params,total_trades,sharpe,sortino,win_rate,profit_factor,max_drawdown,avg_trade,avg_dte,avg_hold_time,regime_metrics
0,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 30, 'mfi_overbought': 70, 'min_dte': 5, 'max_dte': 14, 'strike_distance': 0.25, 'profit_target': 1.0, 'stop_loss': -0.5}",48,4.9747023438807165,10.34000953832605,0.625,2.343482860216558,16380.457010218717,1161.7851415750426,10.354166666666666,1.2204861111111112,"{'bear_high_vol': {'trades': 47, 'win_rate': 0.6382978723404256, 'sharpe': 5.917252770669702, 'avg_pnl': 1331.4438504604543}, 'bull_high_vol': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -6812.174176039306}}"
1,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 30, 'mfi_overbought': 70, 'min_dte': 5, 'max_dte': 14, 'strike_distance': 0.5, 'profit_target': 1.0, 'stop_loss': -0.5}",48,4.9747023438807165,10.34000953832605,0.625,2.343482860216558,16380.457010218717,1161.7851415750426,10.354166666666666,1.2204861111111112,"{'bear_high_vol': {'trades': 47, 'win_rate': 0.6382978723404256, 'sharpe': 5.917252770669702, 'avg_pnl': 1331.4438504604543}, 'bull_high_vol': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -6812.174176039306}}"
20,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 30, 'mfi_overbought': 70, 'min_dte': 7, 'max_dte': 28, 'strike_distance': 0.25, 'profit_target': 1.0, 'stop_loss': -0.5}",48,4.9747023438807165,10.34000953832605,0.625,2.343482860216558,16380.457010218717,1161.7851415750426,10.354166666666666,1.2204861111111112,"{'bear_high_vol': {'trades': 47, 'win_rate': 0.6382978723404256, 'sharpe': 5.917252770669702, 'avg_pnl': 1331.4438504604543}, 'bull_high_vol': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -6812.174176039306}}"
21,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 30, 'mfi_overbought': 70, 'min_dte': 7, 'max_dte': 28, 'strike_distance': 0.5, 'profit_target': 1.0, 'stop_loss': -0.5}",48,4.9747023438807165,10.34000953832605,0.625,2.343482860216558,16380.457010218717,1161.7851415750426,10.354166666666666,1.2204861111111112,"{'bear_high_vol': {'trades': 47, 'win_rate': 0.6382978723404256, 'sharpe': 5.917252770669702, 'avg_pnl': 1331.4438504604543}, 'bull_high_vol': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -6812.174176039306}}"
22,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 30, 'mfi_overbought': 70, 'min_dte': 7, 'max_dte': 28, 'strike_distance': 0.75, 'profit_target': 1.0, 'stop_loss': -0.5}",48,4.9747023438807165,10.34000953832605,0.625,2.343482860216558,16380.457010218717,1161.7851415750426,10.354166666666666,1.2204861111111112,"{'bear_high_vol': {'trades': 47, 'win_rate': 0.6382978723404256, 'sharpe': 5.917252770669702, 'avg_pnl': 1331.4438504604543}, 'bull_high_vol': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -6812.174176039306}}"
23,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 30, 'mfi_overbought': 70, 'min_dte': 7, 'max_dte': 28, 'strike_distance': 1.0, 'profit_target': 1.0, 'stop_loss': -0.5}",48,4.9747023438807165,10.34000953832605,0.625,2.343482860216558,16380.457010218717,1161.7851415750426,10.354166666666666,1.2204861111111112,"{'bear_high_vol': {'trades': 47, 'win_rate': 0.6382978723404256, 'sharpe': 5.917252770669702, 'avg_pnl': 1331.4438504604543}, 'bull_high_vol': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -6812.174176039306}}"
24,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 30, 'mfi_overbought': 70, 'min_dte': 10, 'max_dte': 14, 'strike_distance': 0.25, 'profit_target': 1.0, 'stop_loss': -0.5}",48,4.9747023438807165,10.34000953832605,0.625,2.343482860216558,16380.457010218717,1161.7851415750426,10.354166666666666,1.2204861111111112,"{'bear_high_vol': {'trades': 47, 'win_rate': 0.6382978723404256, 'sharpe': 5.917252770669702, 'avg_pnl': 1331.4438504604543}, 'bull_high_vol': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -6812.174176039306}}"
25,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 30, 'mfi_overbought': 70, 'min_dte': 10, 'max_dte': 14, 'strike_distance': 0.5, 'profit_target': 1.0, 'stop_loss': -0.5}",48,4.9747023438807165,10.34000953832605,0.625,2.343482860216558,16380.457010218717,1161.7851415750426,10.354166666666666,1.2204861111111112,"{'bear_high_vol': {'trades': 47, 'win_rate': 0.6382978723404256, 'sharpe': 5.917252770669702, 'avg_pnl': 1331.4438504604543}, 'bull_high_vol': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -6812.174176039306}}"
26,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 30, 'mfi_overbought': 70, 'min_dte': 10, 'max_dte': 14, 'strike_distance': 0.75, 'profit_target': 1.0, 'stop_loss': -0.5}",48,4.9747023438807165,10.34000953832605,0.625,2.343482860216558,16380.457010218717,1161.7851415750426,10.354166666666666,1.2204861111111112,"{'bear_high_vol': {'trades': 47, 'win_rate': 0.6382978723404256, 'sharpe': 5.917252770669702, 'avg_pnl': 1331.4438504604543}, 'bull_high_vol': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -6812.174176039306}}"
27,"{'vwap_length': 50, 'mfi_length': 9, 'mfi_oversold': 30, 'mfi_overbought': 70, 'min_dte': 10, 'max_dte': 14, 'strike_distance': 1.0, 'profit_target': 1.0, 'stop_loss': -0.5}",48,4.9747023438807165,10.34000953832605,0.625,2.343482860216558,16380.457010218717,1161.7851415750426,10.354166666666666,1.2204861111111112,"{'bear_high_vol': {'trades': 47, 'win_rate': 0.6382978723404256, 'sharpe': 5.917252770669702, 'avg_pnl': 1331.4438504604543}, 'bull_high_vol': {'trades': 1, 'win_rate': 0.0, 'sharpe': 0, 'avg_pnl': -6812.174176039306}}"
