,timestamp,action,price,size,stop_loss,take_profit,regime,pnl,reason
0,2023-01-25 13:00:00,BUY,51.8,4828,50.634971720817695,54.13005655836459,bear_high_vol,,
1,2023-01-25 14:00:00,SELL,49.64,4828,,,bear_high_vol,-10428.479999999983,stop_or_target
2,2023-01-26 14:00:00,BUY,52.9,997,50.4,57.9,bull_high_vol,,
3,2023-01-26 19:00:00,SELL,53.458,997,,,bull_high_vol,556.3259999999998,technical
4,2023-03-10 14:00:00,BUY,53.46,908,50.96,58.46,bear_high_vol,,
5,2023-03-13 08:00:00,SELL,55.97,908,,,bear_high_vol,2279.079999999998,max_hold_time
6,2023-03-23 10:00:00,BUY,67.45,988,64.95,72.45,bear_high_vol,,
7,2023-03-23 12:00:00,SELL,64.22,988,,,bear_high_vol,-3191.240000000004,stop_or_target
8,2023-04-03 15:00:00,BUY,63.25,1831,60.75,68.25,bear_high_vol,,
9,2023-04-03 23:00:00,SELL,63.35,1831,,,bear_high_vol,183.1000000000026,technical
10,2023-04-05 14:00:00,BUY,59.6452,1693,57.1452,64.6452,bear_high_vol,,
11,2023-04-05 23:00:00,SELL,60.75,1693,,,bear_high_vol,1870.4263999999955,technical
12,2023-04-21 13:00:00,BUY,59.55,1829,57.05,64.55,bear_high_vol,,
13,2023-04-24 08:00:00,SELL,58.84,1829,,,bear_high_vol,-1298.5899999999885,max_hold_time
14,2023-04-24 14:00:00,BUY,54.97,1520,52.47,59.97,bear_high_vol,,
15,2023-04-25 12:00:00,SELL,55.35,1520,,,bear_high_vol,577.6000000000039,technical
16,2023-04-25 13:00:00,BUY,54.485,1797,51.985,59.485,bear_high_vol,,
17,2023-04-25 14:00:00,SELL,55.35,1797,,,bear_high_vol,1554.4050000000036,technical
18,2023-05-01 15:00:00,BUY,49.99,1929,47.49,54.99,bear_high_vol,,
19,2023-05-02 09:00:00,SELL,49.6,1929,,,bear_high_vol,-752.3100000000011,technical
20,2023-05-03 15:00:00,BUY,49.09,2393,46.73903904272686,53.79192191454629,bear_high_vol,,
21,2023-05-04 14:00:00,SELL,48.8299,2393,,,bear_high_vol,-622.4193000000032,technical
22,2023-05-19 14:00:00,BUY,58.63,2288,56.17166993199967,63.54666013600065,bear_high_vol,,
23,2023-05-22 08:00:00,SELL,56.93,2288,,,bear_high_vol,-3889.6000000000067,max_hold_time
24,2023-05-25 13:00:00,BUY,57.097,2164,54.597,62.097,bear_high_vol,,
25,2023-05-26 08:00:00,SELL,57.0,2164,,,bear_high_vol,-209.90800000000283,technical
26,2023-06-05 15:00:00,BUY,57.08,1051,54.58,62.08,bear_high_vol,,
27,2023-06-06 09:00:00,SELL,59.22,1051,,,bear_high_vol,2249.140000000001,technical
28,2023-06-06 12:00:00,BUY,48.21,609,45.71,53.21,bear_high_vol,,
29,2023-06-06 22:00:00,SELL,52.6,609,,,bear_high_vol,2673.51,technical
30,2023-06-12 10:00:00,BUY,51.9,4591,50.9,53.9,bear_high_vol,,
31,2023-06-12 12:00:00,SELL,52.25,4591,,,bear_high_vol,1606.8500000000065,technical
32,2023-06-12 13:00:00,BUY,51.62,2225,49.12,56.62,bear_high_vol,,
33,2023-06-13 12:00:00,SELL,51.74,2225,,,bear_high_vol,267.0000000000101,technical
34,2023-07-10 13:00:00,BUY,77.05,1175,74.55,82.05,bull_high_vol,,
35,2023-07-10 18:00:00,SELL,79.64,1175,,,bull_high_vol,3043.250000000004,technical
36,2023-07-20 14:00:00,BUY,104.83,836,102.33,109.83,bear_high_vol,,
37,2023-07-20 18:00:00,SELL,100.81,836,,,bear_high_vol,-3360.7199999999966,stop_or_target
38,2023-07-21 13:00:00,BUY,99.07,962,96.57,104.07,bear_high_vol,,
39,2023-07-21 15:00:00,SELL,101.81,962,,,bear_high_vol,2635.8800000000087,technical
40,2023-07-27 14:00:00,BUY,97.2376,1103,94.7376,102.2376,bear_high_vol,,
41,2023-07-27 17:00:00,SELL,94.2,1103,,,bear_high_vol,-3350.4727999999973,stop_or_target
42,2023-07-28 10:00:00,BUY,94.53,7069,93.53,96.53,bear_high_vol,,
43,2023-07-28 12:00:00,SELL,94.8,7069,,,bear_high_vol,1908.629999999972,technical
44,2023-08-01 12:00:00,BUY,95.45,1928,93.50465094399249,99.34069811201502,bull_high_vol,,
45,2023-08-01 13:00:00,SELL,91.48,1928,,,bull_high_vol,-7654.159999999998,stop_or_target
46,2023-08-01 14:00:00,BUY,90.65,1219,88.15,95.65,bear_high_vol,,
47,2023-08-01 22:00:00,SELL,92.95,1219,,,bear_high_vol,2803.6999999999966,technical
48,2023-08-11 12:00:00,BUY,82.4295,4218,81.09577553965572,85.09694892068859,bear_high_vol,,
49,2023-08-11 19:00:00,SELL,80.99,4218,,,bear_high_vol,-6071.811000000041,stop_or_target
50,2023-08-17 13:00:00,BUY,77.305,2670,75.19805631863939,81.51888736272124,bear_high_vol,,
51,2023-08-17 18:00:00,SELL,75.84,2670,,,bear_high_vol,-3911.5500000000093,stop_or_target
52,2023-08-22 13:00:00,BUY,74.3475,1024,71.8475,79.3475,bull_high_vol,,
53,2023-08-22 14:00:00,SELL,75.34,1024,,,bull_high_vol,1016.320000000007,technical
54,2023-08-22 15:00:00,BUY,74.35,1454,71.85,79.35,bull_high_vol,,
55,2023-08-22 16:00:00,SELL,76.0696,1454,,,bull_high_vol,2500.2983999999997,technical
