,timestamp,action,price,size,stop_loss,take_profit,regime,pnl,reason
0,2023-01-19 10:00:00,BUY,132.09,6828,131.09,134.09,bear_high_vol,,
1,2023-01-19 14:00:00,SELL,133.625,6828,,,bear_high_vol,10480.979999999976,technical
2,2023-02-08 14:00:00,BUY,187.31,703,184.81,192.31,bull_high_vol,,
3,2023-02-08 20:00:00,SELL,183.44,703,,,bull_high_vol,-2720.6100000000033,stop_or_target
4,2023-02-16 14:00:00,BUY,174.02,1230,171.52,179.02,bear_high_vol,,
5,2023-02-16 20:00:00,SELL,172.38,1230,,,bear_high_vol,-2017.2000000000182,stop_or_target
6,2023-02-17 11:00:00,BUY,170.31,6963,169.31,172.31,bear_high_vol,,
7,2023-02-17 14:00:00,SELL,171.36,6963,,,bear_high_vol,7311.150000000079,technical
8,2023-02-23 15:00:00,BUY,170.48,1713,167.98,175.48,bear_high_vol,,
9,2023-02-23 19:00:00,SELL,172.8,1713,,,bear_high_vol,3974.160000000037,technical
10,2023-02-24 13:00:00,BUY,168.45,1565,165.95,173.45,bear_high_vol,,
11,2023-02-24 20:00:00,SELL,170.42,1565,,,bear_high_vol,3083.0499999999984,technical
12,2023-03-10 10:00:00,BUY,181.96,3835,180.78651382032558,184.30697235934886,bear_high_vol,,
13,2023-03-10 13:00:00,SELL,183.09,3835,,,bear_high_vol,4333.549999999983,technical
14,2023-03-10 14:00:00,BUY,181.155,1135,178.655,186.155,bear_high_vol,,
15,2023-03-10 15:00:00,SELL,183.3,1135,,,bear_high_vol,2434.5750000000116,technical
16,2023-03-28 13:00:00,BUY,198.515,1411,196.015,203.515,bear_high_vol,,
17,2023-03-28 15:00:00,SELL,200.035,1411,,,bear_high_vol,2144.7200000000144,technical
18,2023-04-05 14:00:00,BUY,211.0665,1367,208.5665,216.0665,bear_high_vol,,
19,2023-04-06 08:00:00,SELL,210.97,1367,,,bear_high_vol,-131.9154999999888,technical
20,2023-04-06 13:00:00,BUY,209.6999,2400,207.35605242155498,214.38759515689011,bear_high_vol,,
21,2023-04-06 15:00:00,SELL,213.29,2400,,,bear_high_vol,8616.239999999947,technical
22,2023-04-10 13:00:00,BUY,211.48,825,208.98,216.48,bull_high_vol,,
23,2023-04-10 16:00:00,SELL,213.9966,825,,,bull_high_vol,2076.1950000000093,technical
24,2023-04-13 11:00:00,BUY,214.21,3766,213.01502180530275,216.5999563893945,bull_high_vol,,
25,2023-04-13 12:00:00,SELL,215.33,3766,,,bull_high_vol,4217.920000000017,technical
26,2023-04-21 10:00:00,BUY,209.9,3096,208.44670359520703,212.80659280958596,bear_high_vol,,
27,2023-04-21 15:00:00,SELL,212.6299,3096,,,bear_high_vol,8451.770399999958,technical
28,2023-04-24 13:00:00,BUY,213.14,1884,210.64,218.14,bear_high_vol,,
29,2023-04-25 13:00:00,SELL,209.31,1884,,,bear_high_vol,-7215.71999999997,stop_or_target
30,2023-05-04 13:00:00,BUY,235.33,1566,232.83,240.33,bear_high_vol,,
31,2023-05-04 18:00:00,SELL,234.94,1566,,,bear_high_vol,-610.7400000000232,stop_or_target
32,2023-05-05 12:00:00,BUY,234.24,2640,232.10915279968665,238.50169440062672,bear_high_vol,,
33,2023-05-05 13:00:00,SELL,230.52,2640,,,bear_high_vol,-9820.799999999997,stop_or_target
34,2023-05-05 15:00:00,BUY,230.98,2324,228.5600040999608,235.81999180007836,bear_high_vol,,
35,2023-05-08 08:00:00,SELL,232.15,2324,,,bear_high_vol,2719.080000000037,max_hold_time
36,2023-05-10 14:00:00,BUY,231.655,880,229.155,236.655,bear_high_vol,,
37,2023-05-10 15:00:00,SELL,233.15,880,,,bear_high_vol,1315.600000000004,technical
38,2023-06-07 12:00:00,BUY,270.65,1841,268.15,275.65,bear_high_vol,,
39,2023-06-07 13:00:00,SELL,272.61,1841,,,bear_high_vol,3608.360000000067,technical
40,2023-06-23 13:00:00,BUY,280.843,729,278.343,285.843,bull_high_vol,,
41,2023-06-23 14:00:00,SELL,282.325,729,,,bull_high_vol,1080.3779999999788,technical
42,2023-06-27 11:00:00,BUY,281.98,2454,279.48,286.98,bear_high_vol,,
43,2023-06-27 13:00:00,SELL,284.14,2454,,,bear_high_vol,5300.639999999922,technical
44,2023-07-21 11:00:00,BUY,302.42,3738,300.61445474190515,306.03109051618975,bear_high_vol,,
45,2023-07-21 13:00:00,SELL,301.26,3738,,,bear_high_vol,-4336.080000000094,stop_or_target
46,2023-07-21 14:00:00,BUY,298.33,826,295.83,303.33,bear_high_vol,,
47,2023-07-21 15:00:00,SELL,294.88,826,,,bear_high_vol,-2849.6999999999907,stop_or_target
48,2023-07-24 13:00:00,BUY,291.1,817,288.6,296.1,bear_high_vol,,
49,2023-07-24 18:00:00,SELL,290.51,817,,,bear_high_vol,-482.030000000026,stop_or_target
50,2023-07-26 14:00:00,BUY,292.89,365,290.39,297.89,bull_high_vol,,
51,2023-07-26 15:00:00,SELL,296.285,365,,,bull_high_vol,1239.175000000014,technical
52,2023-08-02 12:00:00,BUY,318.52,1885,316.02,323.52,bear_high_vol,,
53,2023-08-02 14:00:00,SELL,314.084,1885,,,bear_high_vol,-8361.85999999996,stop_or_target
54,2023-08-02 15:00:00,BUY,312.005,1181,309.505,317.005,bear_high_vol,,
55,2023-08-03 08:00:00,SELL,311.59,1181,,,bear_high_vol,-490.11500000002417,stop_or_target
56,2023-08-09 13:00:00,BUY,307.61,996,305.11,312.61,bear_high_vol,,
57,2023-08-09 15:00:00,SELL,304.3,996,,,bear_high_vol,-3296.760000000002,stop_or_target
