Date,WaterYear,DayOfYear,Month,Day,WaterYearType,TotalIn,Inflow,BaseFlow,KondolfFlow,Diversion,Level,Spill,NetInflow
1951-10-01,1952,1,10,1,1,146076,1557,516,694.2145,605,146076.0,0.0,-258.21450000000004
1951-10-02,1952,2,10,2,1,147738,1662,417,694.2145,569,146057.7855,0.0,-18.214500000000044
1951-10-03,1952,3,10,3,1,149243,1505,417,694.2145,557,145894.571,0.0,-163.21450000000004
1951-10-04,1952,4,10,4,1,150786,1543,417,694.2145,563,145763.3565,0.0,-131.21450000000004
1951-10-05,1952,5,10,5,1,152873,2087,417,694.2145,547,146192.142,0.0,428.78549999999996
1951-10-06,1952,6,10,6,1,154870,1997,417,694.2145,510,146567.9275,0.0,375.78549999999996
1951-10-07,1952,7,10,7,1,156887,2017,415,694.2145,512,146963.713,0.0,395.78549999999996
1951-10-08,1952,8,10,8,1,158337,1450,415,694.2145,496,146808.4985,0.0,-155.21450000000004
1951-10-09,1952,9,10,9,1,159811,1474,415,694.2145,494,146679.28399999999,0.0,-129.21450000000004
1951-10-10,1952,10,10,10,1,161479,1668,413,694.2145,478,146762.06949999998,0.0,82.78549999999996
1951-10-11,1952,11,10,11,1,163004,1525,413,694.2145,456,146723.85499999998,0.0,-38.214500000000044
1951-10-12,1952,12,10,12,1,164642,1638,409,694.2145,470,146788.64049999998,0.0,64.78549999999996
1951-10-13,1952,13,10,13,1,165673,1031,409,694.2145,490,146226.42599999998,0.0,-562.2145
1951-10-14,1952,14,10,14,1,166540,867,409,694.2145,488,145502.21149999998,0.0,-724.2145
1951-10-15,1952,15,10,15,1,167905,1365,381,694.2145,494,145297.99699999997,0.0,-204.21450000000004
1951-10-16,1952,16,10,16,1,169466,1561,353,694.2145,482,145329.78249999997,0.0,31.785499999999956
1951-10-17,1952,17,10,17,1,171106,1640,353,694.2145,466,145456.56799999997,0.0,126.78549999999996
1951-10-18,1952,18,10,18,1,172590,1484,353,694.2145,460,145433.35349999997,0.0,-23.214500000000044
1951-10-19,1952,19,10,19,1,174072,1482,351,694.2145,454,145416.13899999997,0.0,-17.214500000000044
1951-10-20,1952,20,10,20,1,175429,1357,351,694.2145,446,145281.92449999996,0.0,-134.21450000000004
1951-10-21,1952,21,10,21,1,176607,1178,351,694.2145,438,144976.70999999996,0.0,-305.21450000000004
1951-10-22,1952,22,10,22,1,178160,1553,351,694.2145,444,145040.49549999996,0.0,63.785499999999956
1951-10-23,1952,23,10,23,1,179731,1571,351,694.2145,460,145106.28099999996,0.0,65.78549999999996
1951-10-24,1952,24,10,24,1,181336,1605,351,694.2145,436,145230.06649999996,0.0,123.78549999999996
1951-10-25,1952,25,10,25,1,183058,1722,349,694.2145,401,145507.85199999996,0.0,277.78549999999996
1951-10-26,1952,26,10,26,1,184861,1803,349,694.2145,387,145880.63749999995,0.0,372.78549999999996
1951-10-27,1952,27,10,27,1,186640,1779,349,694.2145,361,146255.42299999995,0.0,374.78549999999996
1951-10-28,1952,28,10,28,1,187713,1073,349,694.2145,355,145930.20849999995,0.0,-325.21450000000004
1951-10-29,1952,29,10,29,1,189330,1617,345,694.2145,349,146158.99399999995,0.0,228.78549999999996
1951-10-30,1952,30,10,30,1,191202,1872,345,694.2145,353,146638.77949999995,0.0,479.78549999999996
1951-10-31,1952,31,10,31,1,193039,1837,345,694.2145,379,147057.56499999994,0.0,418.78549999999996
1951-11-01,1952,32,11,1,1,194497,1458,345,1388.429,405,146377.13599999994,0.0,-680.4290000000001
1951-11-02,1952,33,11,2,1,195887,1390,345,1388.429,407,145626.70699999994,0.0,-750.4290000000001
1951-11-03,1952,34,11,3,1,197293,1406,345,1388.429,407,144892.27799999993,0.0,-734.4290000000001
1951-11-04,1952,35,11,4,1,198326,1033,345,1388.429,411,143780.84899999993,0.0,-1111.429
1951-11-05,1952,36,11,5,1,199929,1603,345,1388.429,415,143235.41999999993,0.0,-545.4290000000001
1951-11-06,1952,37,11,6,1,201651,1722,343,1388.429,417,142808.99099999992,0.0,-426.4290000000001
1951-11-07,1952,38,11,7,1,203307,1656,343,1388.429,407,142326.56199999992,0.0,-482.4290000000001
1951-11-08,1952,39,11,8,1,204985,1678,343,1388.429,409,141864.1329999999,0.0,-462.4290000000001
1951-11-09,1952,40,11,9,1,206633,1648,343,1388.429,545,141235.7039999999,0.0,-628.4290000000001
1951-11-10,1952,41,11,10,1,207813,1180,343,1388.429,520,140164.2749999999,0.0,-1071.429
1951-11-11,1952,42,11,11,1,208977,1164,343,694.2145,520,139771.0604999999,0.0,-393.21450000000004
1951-11-12,1952,43,11,12,1,210211,1234,343,694.2145,520,139447.8459999999,0.0,-323.21450000000004
1951-11-13,1952,44,11,13,1,211925,1714,343,694.2145,508,139616.6314999999,0.0,168.78549999999996
1951-11-14,1952,45,11,14,1,213069,1144,343,694.2145,480,139243.4169999999,0.0,-373.21450000000004
1951-11-15,1952,46,11,15,1,214309,1240,343,694.2145,430,139016.2024999999,0.0,-227.21450000000004
1951-11-16,1952,47,11,16,1,215620,1311,343,694.2145,397,138892.9879999999,0.0,-123.21450000000004
1951-11-17,1952,48,11,17,1,216253,633,343,694.2145,393,138095.7734999999,0.0,-797.2145
1951-11-18,1952,49,11,18,1,216999,746,343,694.2145,387,137417.5589999999,0.0,-678.2145
1951-11-19,1952,50,11,19,1,218881,1882,343,694.2145,377,137885.3444999999,0.0,467.78549999999996
1951-11-20,1952,51,11,20,1,221045,2164,341,694.2145,335,138679.1299999999,0.0,793.7855
1951-11-21,1952,52,11,21,1,223251,2206,341,694.2145,161,139688.9154999999,0.0,1009.7855
1951-11-22,1952,53,11,22,1,224284,1033,341,694.2145,0,139686.70099999988,0.0,-2.2145000000000437
1951-11-23,1952,54,11,23,1,225694,1410,341,694.2145,0,140061.48649999988,0.0,374.78549999999996
1951-11-24,1952,55,11,24,1,227243,1549,341,694.2145,0,140575.27199999988,0.0,513.7855
1951-11-25,1952,56,11,25,1,228447,1204,341,694.2145,0,140744.05749999988,0.0,168.78549999999996
1951-11-26,1952,57,11,26,1,230069,1622,314,694.2145,0,141357.84299999988,0.0,613.7855
1951-11-27,1952,58,11,27,1,231684,1615,298,694.2145,0,141980.62849999988,0.0,622.7855
1951-11-28,1952,59,11,28,1,233796,2112,298,694.2145,0,143100.41399999987,0.0,1119.7855
1951-11-29,1952,60,11,29,1,235908,2112,298,694.2145,0,144220.19949999987,0.0,1119.7855
1951-11-30,1952,61,11,30,1,237858,1950,298,694.2145,0,145177.98499999987,0.0,957.7855
1951-12-01,1952,62,12,1,1,239764,1906,298,694.2145,0,146091.77049999987,0.0,913.7855
1951-12-02,1952,63,12,2,1,241940,2176,298,694.2145,0,147275.55599999987,0.0,1183.7855
1951-12-03,1952,64,12,3,1,244128,2188,298,694.2145,0,148471.34149999986,0.0,1195.7855
1951-12-04,1952,65,12,4,1,246514,2386,298,694.2145,0,149865.12699999986,0.0,1393.7855
1951-12-05,1952,66,12,5,1,249221,2707,298,694.2145,0,151579.91249999986,0.0,1714.7855
1951-12-06,1952,67,12,6,1,253795,4574,298,694.2145,0,155161.69799999986,0.0,3581.7855
1951-12-07,1952,68,12,7,1,256824,3029,270,694.2145,0,157226.48349999986,0.0,2064.7855
1951-12-08,1952,69,12,8,1,259127,2303,256,694.2145,0,158579.26899999985,0.0,1352.7855
1951-12-09,1952,70,12,9,1,261779,2652,256,694.2145,0,160281.05449999985,0.0,1701.7855
1951-12-10,1952,71,12,10,1,262118,339,256,694.2145,0,159669.83999999985,0.0,-611.2145
1951-12-11,1952,72,12,11,1,264413,2295,256,694.2145,0,161014.62549999985,0.0,1344.7855
1951-12-12,1952,73,12,12,1,267067,2654,258,694.2145,0,162716.41099999985,0.0,1701.7855
1951-12-13,1952,74,12,13,1,270203,3136,258,694.2145,0,164900.19649999985,0.0,2183.7855
1951-12-14,1952,75,12,14,1,273277,3074,258,694.2145,0,167021.98199999984,0.0,2121.7855
1951-12-15,1952,76,12,15,1,276294,3017,258,694.2145,0,169086.76749999984,0.0,2064.7855
1951-12-16,1952,77,12,16,1,278180,1886,258,694.2145,0,170020.55299999984,0.0,933.7855
1951-12-17,1952,78,12,17,1,280753,2573,258,694.2145,0,171641.33849999984,0.0,1620.7855
1951-12-18,1952,79,12,18,1,283250,2497,258,694.2145,0,173186.12399999984,0.0,1544.7855
1951-12-19,1952,80,12,19,1,286112,2862,258,694.2145,0,175095.90949999983,0.0,1909.7855
1951-12-20,1952,81,12,20,1,288655,2543,256,694.2145,0,176688.69499999983,0.0,1592.7855
1951-12-21,1952,82,12,21,1,291412,2757,222,694.2145,0,178529.48049999983,0.0,1840.7855
1951-12-22,1952,83,12,22,1,294050,2638,198,694.2145,0,180275.26599999983,0.0,1745.7855
1951-12-23,1952,84,12,23,1,296035,1985,198,694.2145,0,181368.05149999983,0.0,1092.7855
1951-12-24,1952,85,12,24,1,297775,1740,200,694.2145,0,182213.83699999982,0.0,845.7855
1951-12-25,1952,86,12,25,1,300284,2509,200,694.2145,0,183828.62249999982,0.0,1614.7855
1951-12-26,1952,87,12,26,1,301962,1678,200,694.2145,0,184612.40799999982,0.0,783.7855
