Level (AF),incremental In (AF) ,WY 2008,kondolf,Canal Diversions (AF),,,12892.555
"234,504.00","2,475", 516 ,694.2145,3042.64298,,,
"232,726.49","2,850", 417 ,694.2145,3183.46935,,,
"231,282.27","3,320", 417 ,694.2145,3645.61786,,,
"229,845.98","3,354", 417 ,694.2145,3847.9318,,,
"228,241.09","2,719", 417 ,694.2145,3818.17975,,,
"226,031.25","2,527", 417 ,694.2145,3760.65912,,,
"223,686.53","3,306", 415 ,694.2145,3451.2378,,,
"222,432.72","2,567", 415 ,694.2145,2909.75049,,,
"220,980.56","2,819", 415 ,694.2145,2745.12248,,,
"219,944.93","4,056", 413 ,694.2145,2820.49434,,,
"220,073.60","4,066", 413 ,694.2145,2897.84967,,,
"220,134.83","4,358", 409 ,694.2145,3266.77509,,,
"220,122.68","4,364", 409 ,694.2145,3000.99011,,,
"220,382.26","3,231", 409 ,694.2145,2376.19706,,,
"220,134.07","1,892", 381 ,694.2145,2001.32123,,,
"218,949.70","3,320", 353 ,694.2145,2037.02369,,,
"219,185.52","3,156", 353 ,694.2145,2239.33763,,,
"219,054.39","2,233", 353 ,694.2145,2203.63517,,,
"218,036.65","3,840", 351 ,694.2145,2122.3129,,,
"218,708.83","1,484", 351 ,694.2145,1995.37082,,,
"217,151.59","1,527", 351 ,694.2145,1620.49499,,,
"216,012.86","1,886", 351 ,694.2145,1422.14799,,,
"215,431.48","2,362", 351 ,694.2145,1424.13146,,,
"215,324.16","1,720", 351 ,694.2145,1654.21398,,,
"214,344.11","2,130", 349 ,694.2145,1874.37915,,,
"213,556.45","1,904", 349 ,694.2145,1914.04855,,,
"212,503.01","1,736", 349 ,694.2145,1910.08161,,,
"211,284.95","2,091", 349 ,694.2145,1628.42887,,,
"210,703.57","2,614", 345 ,694.2145,1430.08187,,,
"210,848.15","3,261", 345 ,694.2145,1368.5943,,,
"211,700.83","2,640", 345 ,694.2145,1263.47039,,,
"212,037.81","2,132", 345 ,1388.429,1358.67695,,,
"211,077.59","2,465", 345 ,1388.429,1418.18105,,,
"210,391.10","1,486", 345 ,1388.429,1261.48692,,,
"208,881.46","1,503", 345 ,1388.429,1007.60276,,,
"207,643.57","2,210", 345 ,1388.429,890.57803,,,
"207,228.81","2,235", 343 ,1388.429,894.54497,,,
"206,837.85","2,450", 343 ,1388.429,942.14825,,,
"206,613.50","2,801", 343 ,1388.429,954.04907,,,
