date,MIL
2010-01-01,207652
2010-01-02,208286
2010-01-03,208804
2010-01-04,209351
2010-01-05,209783
2010-01-06,209957
2010-01-07,210654
2010-01-08,211525
2010-01-09,212426
2010-01-10,213360
2010-01-11,213975
2010-01-12,214444
2010-01-13,214942
2010-01-14,215235
2010-01-15,215528
2010-01-16,215881
2010-01-17,216648
2010-01-18,218448
2010-01-19,221126
2010-01-20,224214
2010-01-21,227238
2010-01-22,231667
2010-01-23,232806
2010-01-24,233483
2010-01-25,234597
2010-01-26,236489
2010-01-27,238268
2010-01-28,240019
2010-01-29,240996
2010-01-30,241406
2010-01-31,241784
2010-02-01,242856
2010-02-02,243585
2010-02-03,244728
2010-02-04,245078
2010-02-05,245237
2010-02-06,245808
2010-02-07,247913
2010-02-08,249575
2010-02-09,251442
2010-02-10,253248
2010-02-11,255065
2010-02-12,256399
2010-02-13,257445
2010-02-14,258425
2010-02-15,259507
2010-02-16,259803
2010-02-17,259803
2010-02-18,260034
2010-02-19,260627
2010-02-20,261780
2010-02-21,262837
2010-02-22,263567
2010-02-23,264929
2010-02-24,268937
2010-02-25,275703
2010-02-26,281773
2010-02-27,296472
2010-02-28,305297
2010-03-01,312809
2010-03-02,321368
2010-03-03,328927
2010-03-04,336097
2010-03-05,342705
2010-03-06,349466
2010-03-07,354095
2010-03-08,360525
2010-03-09,364943
2010-03-10,369881
2010-03-11,373233
2010-03-12,380118
2010-03-13,383899
2010-03-14,386915
2010-03-15,392278
2010-03-16,394450
2010-03-17,398133
2010-03-18,401459
2010-03-19,404125
2010-03-20,406586
2010-03-21,408717
2010-03-22,409953
2010-03-23,412825
2010-03-24,416181
2010-03-25,419769
2010-03-26,421811
2010-03-27,423507
2010-03-28,424468
2010-03-29,423900
2010-03-30,422984
2010-03-31,420986
2010-04-01,419031
2010-04-02,418296
2010-04-03,418944
2010-04-04,417519
2010-04-05,417563
2010-04-06,414498
2010-04-07,414026
2010-04-08,412010
2010-04-09,409058
2010-04-10,407481
2010-04-11,405566
2010-04-12,403236
2010-04-13,401080
2010-04-14,399270
2010-04-15,396583
2010-04-16,394199
2010-04-17,391903
2010-04-18,389193
2010-04-19,386252
2010-04-20,384270
2010-04-21,384846
2010-04-22,384558
2010-04-23,382664
2010-04-24,378442
2010-04-25,373517
2010-04-26,368953
2010-04-27,365023
2010-04-28,361518
2010-04-29,355706
2010-04-30,349702
2010-05-01,343285
2010-05-02,337816
2010-05-03,332444
2010-05-04,327723
2010-05-05,321887
2010-05-06,316671
2010-05-07,311339
2010-05-08,306239
2010-05-09,301151
2010-05-10,295727
2010-05-11,290256
2010-05-12,285023
2010-05-13,280327
2010-05-14,274650
2010-05-15,269609
2010-05-16,263335
2010-05-17,258000
2010-05-18,253151
2010-05-19,247562
2010-05-20,240744
2010-05-21,234814
2010-05-22,230806
2010-05-23,228455
2010-05-24,223314
2010-05-25,218301
2010-05-26,212833
2010-05-27,207018
2010-05-28,201163
2010-05-29,196938
2010-05-30,193203
2010-05-31,192216
2010-06-01,193121
2010-06-02,195603
2010-06-03,201587
2010-06-04,209006
2010-06-05,222143
2010-06-06,238768
2010-06-07,258458
2010-06-08,277721
2010-06-09,300504
2010-06-10,321924
2010-06-11,339122
2010-06-12,349035
2010-06-13,356846
2010-06-14,363429
2010-06-15,370567
2010-06-16,377747
2010-06-17,381965
2010-06-18,385383
2010-06-19,389318
2010-06-20,393279
2010-06-21,398849
2010-06-22,405312
2010-06-23,412268
2010-06-24,419074
2010-06-25,426567
2010-06-26,435910
2010-06-27,446478
2010-06-28,457472
2010-06-29,467609
2010-06-30,475269
2010-07-01,482010
2010-07-02,486993
2010-07-03,491484
2010-07-04,494527
2010-07-05,495859
2010-07-06,496382
2010-07-07,495716
2010-07-08,493719
2010-07-09,492197
2010-07-10,490823
2010-07-11,488742
2010-07-12,486052
2010-07-13,482762
2010-07-14,479665
2010-07-15,477460
2010-07-16,475176
2010-07-17,472613
2010-07-18,470851
2010-07-19,469182
2010-07-20,466595
2010-07-21,463462
2010-07-22,460165
2010-07-23,457517
2010-07-24,454195
2010-07-25,450711
2010-07-26,445758
2010-07-27,440617
2010-07-28,435467
2010-07-29,430607
2010-07-30,427004
2010-07-31,423900
2010-08-01,421290
2010-08-02,417735
2010-08-03,414800
2010-08-04,410680
2010-08-05,406202
2010-08-06,402897
2010-08-07,400196
2010-08-08,397923
2010-08-09,394993
2010-08-10,390861
2010-08-11,386956
2010-08-12,382911
2010-08-13,379096
2010-08-14,375751
2010-08-15,372504
2010-08-16,368832
2010-08-17,365424
2010-08-18,362513
2010-08-19,358665
2010-08-20,355746
2010-08-21,353035
2010-08-22,350211
2010-08-23,346543
2010-08-24,342782
2010-08-25,337970
2010-08-26,334572
2010-08-27,330133
2010-08-28,326068
2010-08-29,322407
2010-08-30,318439
2010-08-31,314279
2010-09-01,311302
2010-09-02,307361
2010-09-03,303741
2010-09-04,300218
2010-09-05,297469
2010-09-06,293920
2010-09-07,290432
2010-09-08,286446
2010-09-09,282048
2010-09-10,278440
2010-09-11,277139
2010-09-12,275737
2010-09-13,274752
2010-09-14,272003
2010-09-15,269508
2010-09-16,266896
2010-09-17,265360
2010-09-18,264829
2010-09-19,263933
2010-09-20,262970
2010-09-21,261187
2010-09-22,259276
2010-09-23,257281
2010-09-24,255617
2010-09-25,254351
2010-09-26,252859
2010-09-27,251828
2010-09-28,249993
2010-09-29,248935
2010-09-30,247466
2010-10-01,246158
2010-10-02,245491
2010-10-03,243299
2010-10-04,241122
2010-10-05,238987
2010-10-06,236706
2010-10-07,234628
2010-10-08,233083
2010-10-09,232129
2010-10-10,230225
2010-10-11,228577
2010-10-12,227389
2010-10-13,225845
2010-10-14,224484
2010-10-15,221963
2010-10-16,219310
2010-10-17,217091
2010-10-18,214268
2010-10-19,211816
2010-10-20,209409
2010-10-21,208372
2010-10-22,207738
2010-10-23,207882
2010-10-24,208516
2010-10-25,208919
2010-10-26,209092
2010-10-27,209121
2010-10-28,209178
2010-10-29,208948
2010-10-30,209639
2010-10-31,210073
2010-11-01,210799
2010-11-02,211758
2010-11-03,213243
2010-11-04,214503
2010-11-05,215852
2010-11-06,216530
2010-11-07,218804
2010-11-08,220293
2010-11-09,222653
2010-11-10,225300
2010-11-11,228028
2010-11-12,231175
2010-11-13,234876
2010-11-14,238237
2010-11-15,240996
2010-11-16,241879
2010-11-17,245078
2010-11-18,246031
2010-11-19,248776
2010-11-20,251152
2010-11-21,254092
2010-11-22,257020
2010-11-23,263435
2010-11-24,267833
2010-11-25,272883
2010-11-26,277139
2010-11-27,280672
2010-11-28,284711
2010-11-29,288471
2010-11-30,291593
2010-12-01,294983
2010-12-02,298968
2010-12-03,300864
2010-12-04,302950
2010-12-05,304717
2010-12-06,306492
2010-12-07,308564
2010-12-08,311119
2010-12-09,313433
2010-12-10,315382
2010-12-11,318402
2010-12-12,319513
2010-12-13,320960
2010-12-14,322444
2010-12-15,324088
2010-12-16,326256
2010-12-17,331610
2010-12-18,342434
2010-12-19,364823
2010-12-20,379955
2010-12-21,388779
2010-12-22,396415
2010-12-23,403024
2010-12-24,408973
2010-12-25,414929
2010-12-26,421464
2010-12-27,425649
2010-12-28,426786
2010-12-29,435024
2010-12-30,437462
2010-12-31,438040
