date,AGP,GRM,HNT,KSP,PSR,TMR,VLC
2010-01-01,9.12,10.57,8.76,6.3,10.68,7.41,6.97
2010-01-02,9.09,10.57,8.64,6.3,10.56,7.53,7.43
2010-01-03,9.02,10.57,8.52,6.3,10.56,7.65,7.0
2010-01-04,8.99,10.57,8.28,6.42,10.44,7.89,7.13
2010-01-05,8.97,10.57,8.16,6.42,10.2,8.01,7.04
2010-01-06,8.97,10.57,8.16,6.42,10.2,8.13,6.8
2010-01-07,8.98,10.57,8.16,6.54,10.2,8.25,4.11
2010-01-08,8.54,10.45,8.16,6.54,10.2,8.25,6.41
2010-01-09,8.69,10.45,8.28,6.54,10.08,8.37,6.85
2010-01-10,9.01,10.33,8.28,6.54,10.44,8.37,6.71
2010-01-11,9.04,10.33,8.4,6.54,10.56,8.37,7.09
2010-01-12,9.0,10.33,8.52,6.54,10.68,8.37,4.14
2010-01-13,10.86,11.05,8.88,6.66,11.28,8.49,7.3
2010-01-14,11.26,,9.48,7.38,11.76,9.21,7.56
2010-01-15,11.29,11.41,9.48,7.5,11.76,9.21,7.64
2010-01-16,11.29,11.41,9.6,7.62,11.64,9.09,7.65
2010-01-17,11.3,11.41,9.6,7.62,11.52,8.85,7.8
2010-01-18,11.53,11.65,9.6,7.62,11.76,8.97,7.93
2010-01-19,14.25,13.69,12.0,9.54,14.64,11.73,8.95
2010-01-20,15.31,14.65,12.84,10.26,15.84,12.57,9.2
2010-01-21,17.69,16.69,15.36,12.3,0.0,15.21,10.04
2010-01-22,19.93,18.85,18.0,14.58,20.04,17.97,10.47
2010-01-23,20.25,19.45,18.96,15.42,,18.69,10.6
2010-01-24,20.22,19.57,19.08,15.54,,18.81,10.57
2010-01-25,20.34,19.69,19.08,15.78,23.52,18.81,10.53
2010-01-26,21.04,20.41,19.2,16.02,23.76,18.93,10.74
2010-01-27,20.95,20.53,19.2,16.14,23.76,19.05,10.77
2010-01-28,21.0,20.53,19.2,16.26,23.88,19.05,10.43
2010-01-29,20.96,20.77,19.2,16.26,23.88,19.05,10.58
2010-01-30,21.02,20.89,19.2,16.26,23.88,19.05,10.68
2010-01-31,21.1,21.13,19.2,16.26,24.12,19.17,10.77
2010-02-01,21.07,21.13,19.2,16.26,24.12,19.17,10.66
2010-02-02,21.03,21.13,19.2,16.38,24.12,19.17,10.71
2010-02-03,20.99,21.01,19.2,16.38,24.0,19.29,10.76
2010-02-04,20.96,21.01,19.2,16.38,24.0,19.29,10.57
2010-02-05,21.35,21.25,19.2,16.38,24.12,19.29,10.63
2010-02-06,22.45,22.69,19.8,17.34,25.92,20.37,10.87
2010-02-07,22.67,23.41,20.76,17.82,27.12,21.33,11.1
2010-02-08,22.84,,20.88,18.06,27.36,21.57,11.16
2010-02-09,22.8,23.65,20.88,18.18,27.6,21.69,11.14
2010-02-10,23.51,24.01,21.0,18.3,27.84,21.93,11.16
2010-02-11,23.44,24.01,21.0,18.42,28.08,22.05,11.06
2010-02-12,23.4,24.25,21.0,18.54,28.08,22.05,11.14
2010-02-13,23.32,24.25,21.12,18.66,28.32,22.17,11.14
2010-02-14,23.27,24.37,21.12,18.78,28.32,22.17,11.14
2010-02-15,23.26,24.37,21.12,18.78,28.44,22.17,11.12
2010-02-16,23.35,24.25,21.12,19.14,28.56,22.05,11.1
2010-02-17,23.34,24.13,21.0,19.5,28.68,22.05,11.12
2010-02-18,23.37,24.01,21.0,19.62,28.8,21.93,11.15
2010-02-19,23.3,23.89,21.0,19.62,28.44,21.93,11.12
2010-02-20,23.21,23.89,20.88,19.62,28.08,21.93,11.07
2010-02-21,23.16,24.01,21.36,19.62,28.68,22.65,11.17
2010-02-22,23.69,24.73,22.08,19.98,29.52,23.25,11.42
2010-02-23,23.63,24.97,22.2,20.1,29.76,23.49,11.33
2010-02-24,24.42,26.05,23.28,20.7,30.48,24.33,11.53
2010-02-25,25.13,27.37,24.96,22.62,30.24,25.65,12.01
2010-02-26,25.07,27.73,24.96,22.74,31.44,25.77,11.96
2010-02-27,27.79,29.41,26.64,23.82,33.96,27.93,12.38
2010-02-28,28.3,30.01,27.0,24.3,35.76,28.65,12.47
