date,AGW,BDM,FLR,FRT,GRM,GTM,HNT,KSP,MIL,NFR,NTP,PSR,TMR
2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
2010-01-02,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0
2010-01-03,0.0,0.04,0.0,0.0,0.04,0.04,0.0,0.16,0.0,0.0,0.04,0.08,0.0
2010-01-04,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
2010-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
2010-01-08,0.0,0.0,0.01,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-10,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-12,0.02,0.04,0.21,0.04,0.24,0.0,0.0,0.08,0.47,0.0,0.08,0.0,0.0
2010-01-13,1.23,0.72,0.45,0.44,0.64,1.28,0.64,1.44,0.02,1.28,1.04,1.12,0.96
2010-01-14,0.0,0.04,0.08,0.0,0.2,0.04,0.0,0.04,0.0,0.0,0.04,0.12,0.12
2010-01-15,0.0,0.08,0.0,0.0,0.0,0.0,0.12,0.08,0.0,0.0,0.0,0.0,0.0
2010-01-16,0.0,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-17,0.3,0.16,0.03,0.72,0.12,0.2,0.0,0.12,0.73,0.0,0.36,0.0,0.0
2010-01-18,1.41,1.2,0.15,0.28,1.04,1.28,1.68,2.52,0.38,0.0,2.4,1.88,2.56
2010-01-19,0.72,0.72,0.36,0.36,0.72,0.44,0.8,1.32,0.38,1.75,0.52,0.72,0.96
2010-01-20,1.37,1.08,0.12,0.48,0.92,1.12,1.64,2.76,0.56,0.64,0.28,1.36,1.88
2010-01-21,1.02,1.6,0.0,0.52,1.24,0.92,1.76,2.88,0.62,1.44,0.04,0.88,1.88
2010-01-22,0.89,1.8,0.0,0.4,0.52,1.16,1.72,1.36,0.37,2.16,,1.56,1.64
2010-01-23,0.02,0.08,0.02,0.0,0.16,0.48,0.4,0.2,0.0,0.0,,,0.52
2010-01-24,0.0,0.12,0.15,0.0,0.12,0.0,0.08,0.28,0.01,0.0,0.0,,0.12
2010-01-25,0.02,0.04,0.42,0.0,0.52,0.0,0.12,0.48,0.0,0.52,0.28,0.12,0.16
2010-01-26,0.0,0.04,0.14,0.0,0.04,0.04,0.08,0.2,0.0,0.06,,0.16,0.04
2010-01-27,0.0,0.0,0.17,0.0,0.04,0.0,0.04,0.04,0.0,0.0,,0.0,0.04
2010-01-28,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.08,0.0
2010-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.02,0.0,,0.0,0.0
2010-01-30,0.23,0.0,0.04,0.0,0.28,0.12,0.12,0.12,0.0,0.1,,0.12,0.16
2010-01-31,0.0,0.04,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,,0.16,0.0
2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,,0.0,0.0
2010-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2010-02-03,0.0,0.0,0.0,0.0,0.04,0.0,0.08,0.0,0.0,0.0,,0.0,0.08
2010-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.1,0.0,,0.0,0.0
2010-02-05,0.66,0.92,0.1,0.32,1.28,,0.52,1.68,0.29,0.26,,1.28,0.92
2010-02-06,0.94,1.04,0.18,0.4,0.64,0.84,1.0,0.84,0.39,0.0,,1.2,1.04
2010-02-07,0.05,0.24,0.29,0.0,0.12,0.2,0.28,0.24,0.0,0.0,,0.36,0.48
2010-02-08,0.01,0.0,0.2,0.0,0.04,0.08,0.0,0.0,0.01,1.78,,0.0,0.0
2010-02-09,0.23,0.56,0.0,0.24,0.08,0.24,0.08,0.48,0.25,0.15,,0.32,0.16
2010-02-10,0.01,0.04,0.0,0.0,0.04,0.0,0.0,0.04,0.0,0.22,,0.08,0.0
2010-02-11,0.0,0.04,0.0,0.0,0.0,0.04,0.12,0.08,0.0,0.0,,0.08,0.04
2010-02-12,0.0,0.0,0.0,0.0,0.04,0.0,0.2,0.0,0.0,0.0,,0.04,0.04
2010-02-13,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.0,0.0,,0.12,0.0
2010-02-14,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.08,0.0,0.0,,0.04,0.08
2010-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.0,,0.0,0.0
2010-02-16,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.08,0.0,0.0,,0.0,0.0
2010-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,,0.0,0.08
2010-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2010-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,,0.0,0.0
2010-02-20,0.12,0.12,0.0,0.24,0.0,0.0,0.16,0.0,0.24,0.0,,0.4,0.84
2010-02-21,0.27,0.52,0.05,0.16,0.52,0.56,0.64,0.24,0.18,0.0,,1.08,0.6
2010-02-22,0.0,0.12,0.32,0.0,0.12,0.08,0.44,0.4,0.0,0.66,,0.32,0.16
2010-02-23,0.22,0.04,0.0,0.12,0.36,0.08,0.04,0.48,0.72,0.0,,0.16,0.24
2010-02-24,1.17,1.48,0.02,1.08,1.64,1.72,2.36,3.32,0.59,1.33,,2.04,1.84
2010-02-25,0.01,0.12,0.46,0.0,0.04,0.0,0.24,0.16,0.0,0.32,,0.12,0.08
2010-02-26,1.44,0.96,0.23,1.08,0.92,1.2,1.0,2.16,1.16,0.0,,1.56,1.68
2010-02-27,0.98,1.28,0.04,0.24,0.56,1.0,1.0,1.04,0.21,2.76,,1.4,0.92
2010-02-28,0.0,0.04,0.62,0.0,0.0,0.04,0.08,0.04,0.0,0.0,,0.08,0.28
2010-03-01,0.0,0.0,0.01,0.0,0.04,0.0,0.0,0.08,0.0,0.0,,0.04,0.0
2010-03-02,0.15,0.2,0.06,0.04,0.16,0.08,0.04,0.36,0.06,0.0,,0.2,0.28
2010-03-03,1.53,1.08,0.04,0.8,0.56,0.88,0.96,1.24,0.75,0.26,,1.28,1.36
2010-03-04,0.0,0.08,0.26,0.0,0.08,0.16,0.16,0.24,0.0,1.25,,0.2,0.04
2010-03-05,0.0,0.04,0.0,0.0,0.04,0.04,0.04,0.0,0.0,0.0,,0.08,0.04
2010-03-06,0.0,0.04,0.0,0.0,0.0,0.08,0.24,0.24,0.02,0.0,,0.0,0.32
2010-03-07,0.06,0.0,0.0,0.0,0.0,0.04,0.04,0.08,0.0,0.0,,0.04,0.0
2010-03-08,0.0,0.0,0.0,0.0,0.16,0.2,0.48,0.36,0.0,0.05,,0.52,0.36
2010-03-09,0.0,0.0,0.06,0.0,0.12,0.04,0.0,0.16,0.01,0.0,,0.12,0.0
2010-03-10,0.0,0.04,0.03,0.0,0.08,0.12,0.2,0.08,0.02,0.2,,0.12,0.32
2010-03-11,0.0,0.04,0.0,0.0,0.04,0.04,0.24,0.04,0.0,0.0,,0.12,0.0
2010-03-12,0.84,0.72,0.0,0.28,0.56,0.92,0.88,1.52,0.37,0.0,,1.36,0.92
2010-03-13,0.1,0.28,0.47,0.04,0.12,0.2,0.44,0.52,0.0,1.3,,0.28,0.32
2010-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,,0.04,0.0
2010-03-15,0.0,0.04,0.0,0.0,0.04,0.04,0.0,0.08,0.0,0.0,,0.04,0.08
2010-03-16,0.0,0.0,0.0,0.0,0.04,0.0,0.12,0.0,0.0,0.0,,0.08,0.0
2010-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,,0.0,0.04
2010-03-18,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2010-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.04,0.0,0.0,,0.04,0.04
2010-03-20,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,,0.0,0.0
2010-03-21,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
