date,AGP,GRM,HNT,KSP,PSR,TMR,VLC
2010-01-01,9.62,10.57,8.76,6.0,10.68,8.11,7.27
2010-01-02,9.59,10.57,8.64,6.0,10.56,8.23,7.73
2010-01-03,9.52,10.57,8.52,6.0,10.56,8.35,7.3
2010-01-04,9.49,10.57,8.28,6.12,10.44,8.59,7.43
2010-01-05,9.47,10.57,8.16,6.12,10.2,8.71,7.34
2010-01-06,9.47,10.57,8.16,6.12,10.2,8.83,7.1
2010-01-07,9.48,10.57,8.16,6.24,10.2,8.95,7.1
2010-01-08,9.04,10.45,8.16,6.24,10.2,8.95,6.8
2010-01-09,9.19,10.45,8.28,6.24,10.08,9.07,7.15
2010-01-10,9.51,10.33,8.28,6.24,10.44,9.07,7.0
2010-01-11,9.54,10.33,8.4,6.24,10.56,9.07,7.39
2010-01-12,9.5,10.33,8.52,6.24,10.68,9.07,7.5
2010-01-13,11.36,11.05,8.88,6.36,11.28,9.19,7.6
2010-01-14,11.76,11.2,9.48,7.08,11.76,9.91,7.86
2010-01-15,11.79,11.41,9.48,7.2,11.76,9.91,7.94
2010-01-16,11.79,11.41,9.6,7.32,11.64,9.79,7.95
2010-01-17,11.8,11.41,9.6,7.32,11.52,9.55,8.1
2010-01-18,12.03,11.65,9.6,7.32,11.76,9.67,8.23
2010-01-19,14.75,13.69,12.0,9.24,14.64,12.43,9.25
2010-01-20,15.81,14.65,12.84,9.96,15.84,13.27,9.5
2010-01-21,18.19,16.69,15.36,12.0,17.0,15.91,10.34
2010-01-22,20.43,18.85,18.0,14.28,20.04,18.67,10.77
2010-01-23,20.75,19.45,18.96,15.12,21.0,19.39,10.9
2010-01-24,20.72,19.57,19.08,15.24,22.5,19.51,10.87
2010-01-25,20.84,19.69,19.08,15.48,23.52,19.51,10.83
2010-01-26,21.54,20.41,19.2,15.72,23.76,19.63,11.04
2010-01-27,21.45,20.53,19.2,15.84,23.76,19.75,11.07
2010-01-28,21.5,20.53,19.2,15.96,23.88,19.75,10.73
2010-01-29,21.46,20.77,19.2,15.96,23.88,19.75,10.88
2010-01-30,21.52,20.89,19.2,15.96,23.88,19.75,10.98
2010-01-31,21.6,21.13,19.2,15.96,24.12,19.87,11.07
2010-02-01,21.57,21.13,19.2,15.96,24.12,19.87,10.96
2010-02-02,21.53,21.13,19.2,16.08,24.12,19.87,11.01
2010-02-03,21.49,21.01,19.2,16.08,24.0,19.99,11.06
2010-02-04,21.46,21.01,19.2,16.08,24.0,19.99,10.87
2010-02-05,21.85,21.25,19.2,16.08,24.12,19.99,10.93
2010-02-06,22.95,22.69,19.8,17.04,25.92,21.07,11.17
2010-02-07,23.17,23.41,20.76,17.52,27.12,22.03,11.4
2010-02-08,23.34,23.41,20.88,17.76,27.36,22.27,11.46
2010-02-09,23.3,23.65,20.88,17.88,27.6,22.39,11.44
2010-02-10,24.01,24.01,21.0,18.0,27.84,22.63,11.46
2010-02-11,23.94,24.01,21.0,18.12,28.08,22.75,11.36
2010-02-12,23.9,24.25,21.0,18.24,28.08,22.75,11.44
2010-02-13,23.82,24.25,21.12,18.36,28.32,22.87,11.44
2010-02-14,23.77,24.37,21.12,18.48,28.32,22.87,11.44
2010-02-15,23.76,24.37,21.12,18.48,28.44,22.87,11.42
2010-02-16,23.85,24.25,21.12,18.84,28.56,22.75,11.4
2010-02-17,23.84,24.13,21.0,19.2,28.68,22.75,11.42
2010-02-18,23.87,24.01,21.0,19.32,28.8,22.63,11.45
2010-02-19,23.8,23.89,21.0,19.32,28.44,22.63,11.42
2010-02-20,23.71,23.89,20.88,19.32,28.08,22.63,11.37
2010-02-21,23.66,24.01,21.36,19.32,28.68,23.35,11.47
2010-02-22,24.19,24.73,22.08,19.68,29.52,23.95,11.72
2010-02-23,24.13,24.97,22.2,19.8,29.76,24.19,11.63
2010-02-24,24.92,26.05,23.28,20.4,30.48,25.03,11.83
2010-02-25,25.63,27.37,24.96,22.32,30.24,26.35,12.31
2010-02-26,25.57,27.73,24.96,22.44,31.44,26.47,12.26
2010-02-27,28.29,29.41,26.64,23.52,33.96,28.63,12.68
2010-02-28,28.8,30.01,27.0,24.0,35.76,29.35,12.77
2010-03-01,28.73,30.13,27.24,24.12,35.96,29.59,12.77
2010-03-02,28.64,30.25,27.24,24.12,36.48,29.71,12.78
2010-03-03,29.0,30.61,27.48,24.12,36.84,29.95,12.85
2010-03-04,29.69,31.45,28.44,24.6,38.04,31.15,13.14
2010-03-05,29.62,31.57,28.68,24.96,38.52,31.39,13.09
2010-03-06,29.55,31.69,28.68,24.96,38.64,31.51,13.01
2010-03-07,29.55,31.69,29.04,25.08,38.76,31.63,13.06
2010-03-08,29.5,31.93,29.04,25.2,38.88,31.87,13.03
2010-03-09,29.85,32.17,29.52,25.32,39.24,31.99,13.27
2010-03-10,29.84,32.17,29.64,25.56,39.6,32.23,13.17
2010-03-11,29.82,32.41,29.76,25.68,39.72,32.47,13.16
2010-03-12,29.87,32.41,29.76,25.8,39.84,32.59,13.18
2010-03-13,30.87,33.37,30.96,26.64,40.68,33.43,13.37
2010-03-14,30.82,33.85,31.2,27.24,41.04,33.79,13.38
2010-03-15,30.79,33.37,31.2,27.48,41.4,33.91,13.37
2010-03-16,30.91,30.49,31.2,27.6,41.16,34.03,13.39
2010-03-17,30.76,30.97,31.2,27.6,40.8,34.03,13.36
2010-03-18,30.43,31.93,31.2,27.6,40.2,33.91,13.35
2010-03-19,30.28,32.41,30.96,27.6,40.08,33.67,13.29
2010-03-20,30.1,32.29,30.84,27.6,39.48,33.31,13.33
2010-03-21,29.9,32.17,30.6,27.6,39.12,32.95,13.31
2010-03-22,29.71,31.93,30.36,27.6,40.08,32.59,13.33
2010-03-23,29.58,31.81,30.24,27.6,39.36,32.35,13.26
2010-03-24,29.48,31.93,30.12,27.6,38.28,32.11,13.29
2010-03-25,29.3,31.45,29.76,27.6,38.04,31.87,13.25
2010-03-26,29.18,31.21,29.52,27.6,38.64,31.63,13.29
2010-03-27,29.15,31.33,29.4,27.6,38.76,31.75,13.22
2010-03-28,29.13,31.45,29.16,27.6,36.84,31.63,13.26
2010-03-29,28.77,31.93,28.92,27.6,36.24,31.27,13.19
2010-03-30,28.61,31.33,28.32,27.48,35.64,30.91,13.16
2010-03-31,29.64,30.85,28.2,27.36,37.2,30.79,13.29
2010-04-01,30.16,31.93,28.92,27.36,38.4,31.39,13.7
2010-04-02,30.16,33.25,29.04,27.36,38.64,31.63,13.49
2010-04-03,30.33,34.21,29.16,27.36,38.88,31.87,13.51
2010-04-04,30.46,34.81,29.28,27.36,39.12,32.11,13.52
