DATE TIME,CNV
2020-01-01,3357.3
2020-01-02,3357.33
2020-01-03,3357.39
2020-01-04,3357.42
2020-01-05,3357.45
2020-01-06,3357.5
2020-01-07,3357.52
2020-01-08,3357.58
2020-01-09,3357.61
2020-01-10,3357.62
2020-01-11,3357.68
2020-01-12,3357.7
2020-01-13,3357.75
2020-01-14,3357.76
2020-01-15,3357.8
2020-01-16,3357.91
2020-01-17,3357.95
2020-01-18,3357.99
2020-01-19,3358.0
2020-01-20,3358.07
2020-01-21,3358.08
2020-01-22,3358.13
2020-01-23,3358.17
2020-01-24,3358.2
2020-01-25,3358.26
2020-01-26,3358.34
2020-01-27,3358.39
2020-01-28,3358.43
2020-01-29,3358.45
2020-01-30,3358.51
2020-01-31,3358.54
2020-02-01,3358.58
2020-02-02,3358.62
2020-02-03,3358.62
2020-02-04,3358.67
2020-02-05,3358.7
2020-02-06,3358.74
2020-02-07,3358.76
2020-02-08,3358.81
2020-02-09,3358.78
2020-02-10,3358.85
2020-02-11,3358.85
2020-02-12,3358.89
2020-02-13,3358.92
2020-02-14,3358.94
2020-02-15,3358.97
2020-02-16,3359.0
2020-02-17,3359.04
2020-02-18,3359.06
2020-02-19,3359.11
2020-02-20,3359.15
2020-02-21,3359.18
2020-02-22,3359.26
2020-02-23,3359.31
2020-02-24,3359.36
2020-02-25,3359.39
2020-02-26,3359.43
2020-02-27,3359.46
2020-02-28,3359.5
2020-02-29,3359.53
2020-03-01,3359.62
2020-03-02,3359.61
2020-03-03,3359.64
2020-03-04,3359.68
2020-03-05,3359.7
2020-03-06,3359.73
2020-03-07,3359.75
2020-03-08,3359.8
2020-03-09,3359.82
2020-03-10,3359.87
2020-03-11,3359.92
2020-03-12,3359.95
2020-03-13,3359.98
2020-03-14,3360.07
2020-03-15,3360.25
2020-03-16,3360.6
2020-03-17,3360.71
2020-03-18,3360.79
2020-03-19,
2020-03-20,3360.91
2020-03-21,3361.0
2020-03-22,3361.07
2020-03-23,3361.23
2020-03-24,3361.38
2020-03-25,3361.61
2020-03-26,3361.73
2020-03-27,3361.8
2020-03-28,3361.9
2020-03-29,3362.01
2020-03-30,3362.08
2020-03-31,3362.18
2020-04-01,3362.32
2020-04-02,3362.46
2020-04-03,3362.59
2020-04-04,3362.74
2020-04-05,3363.23
2020-04-06,3363.78
2020-04-07,3364.0
2020-04-08,3364.22
2020-04-09,3364.48
2020-04-10,3364.66
2020-04-11,3364.85
2020-04-12,3365.04
2020-04-13,3365.23
2020-04-14,3365.41
2020-04-15,3365.62
2020-04-16,3365.83
2020-04-17,3366.07
2020-04-18,3366.32
2020-04-19,3366.54
2020-04-20,3366.76
2020-04-21,3366.96
2020-04-22,3367.16
2020-04-23,3367.37
2020-04-24,3367.61
2020-04-25,3367.89
2020-04-26,3368.19
2020-04-27,3368.45
2020-04-28,3368.74
2020-04-29,3369.04
2020-04-30,3369.33
2020-05-01,3369.59
2020-05-02,3369.83
2020-05-03,3370.05
2020-05-04,3370.25
2020-05-05,3370.45
2020-05-06,3370.66
2020-05-07,3370.86
2020-05-08,3371.05
2020-05-09,3371.25
2020-05-10,3371.42
2020-05-11,3371.58
2020-05-12,3371.71
2020-05-13,3371.84
2020-05-14,3371.94
2020-05-15,3372.06
2020-05-16,3372.17
2020-05-17,3372.3
2020-05-18,3372.85
2020-05-19,3373.1
2020-05-20,3373.29
2020-05-21,3373.47
2020-05-22,3373.61
2020-05-23,3373.74
2020-05-24,3373.87
2020-05-25,3373.98
2020-05-26,3374.09
2020-05-27,3374.19
2020-05-28,3374.29
2020-05-29,3374.37
2020-05-30,3374.44
2020-05-31,3374.52
2020-06-01,3374.6
2020-06-02,3374.68
2020-06-03,3374.74
2020-06-04,3374.79
2020-06-05,3374.82
2020-06-06,3374.85
2020-06-07,3374.88
2020-06-08,3374.9
2020-06-09,3374.95
2020-06-10,3374.97
2020-06-11,3375.0
2020-06-12,3375.04
2020-06-13,3375.06
2020-06-14,3375.1
2020-06-15,3375.12
2020-06-16,3375.14
2020-06-17,3375.16
2020-06-18,3375.18
2020-06-19,3375.19
2020-06-20,3375.21
2020-06-21,3375.23
2020-06-22,3375.24
2020-06-23,3375.26
2020-06-24,3375.27
2020-06-25,3375.3
2020-06-26,3375.28
2020-06-27,3375.28
2020-06-28,3375.29
2020-06-29,3375.27
2020-06-30,3375.27
2020-07-01,3375.27
2020-07-02,3375.27
2020-07-03,3375.26
2020-07-04,3375.26
2020-07-05,3375.25
2020-07-06,3375.25
2020-07-07,3375.23
2020-07-08,3375.23
2020-07-09,3375.22
2020-07-10,3375.22
2020-07-11,3375.2
2020-07-12,3375.2
2020-07-13,3375.18
2020-07-14,3375.17
2020-07-15,3375.16
2020-07-16,3375.15
2020-07-17,3375.15
2020-07-18,3375.13
2020-07-19,3375.11
2020-07-20,3375.11
2020-07-21,3375.09
2020-07-22,3375.07
2020-07-23,3375.06
2020-07-24,3375.04
2020-07-25,3375.03
2020-07-26,3375.01
2020-07-27,3374.98
2020-07-28,3374.96
2020-07-29,3374.95
2020-07-30,
2020-07-31,3374.9
2020-08-01,3374.87
2020-08-02,3374.85
2020-08-03,3374.84
2020-08-04,3374.81
2020-08-05,3374.79
2020-08-06,3374.77
2020-08-07,3374.75
2020-08-08,3374.74
2020-08-09,3374.72
2020-08-10,3374.7
2020-08-11,3374.68
2020-08-12,3374.66
2020-08-13,3374.63
2020-08-14,3374.62
2020-08-15,3374.59
2020-08-16,3374.59
2020-08-17,3374.57
2020-08-18,3374.56
2020-08-19,3374.54
2020-08-20,3374.49
2020-08-21,3374.46
2020-08-22,3374.42
2020-08-23,3374.41
2020-08-24,3374.4
2020-08-25,3374.38
2020-08-26,3374.36
2020-08-27,3374.34
2020-08-28,3374.32
2020-08-29,3374.3
2020-08-30,3374.28
2020-08-31,3374.25
2020-09-01,3374.24
2020-09-02,3374.23
2020-09-03,3374.22
2020-09-04,3374.14
2020-09-05,3373.87
2020-09-06,3373.6
2020-09-07,3373.46
2020-09-08,3373.44
2020-09-09,3373.42
2020-09-10,3373.37
2020-09-11,3373.34
2020-09-12,3373.31
2020-09-13,3373.3
2020-09-14,3373.27
2020-09-15,3373.25
2020-09-16,3373.23
2020-09-17,3373.2
2020-09-18,3373.18
2020-09-19,3373.17
2020-09-20,3373.17
2020-09-21,3373.13
2020-09-22,3373.06
2020-09-23,3372.98
2020-09-24,3372.93
2020-09-25,3372.84
2020-09-26,3372.78
2020-09-27,3372.72
2020-09-28,3372.65
2020-09-29,3372.58
2020-09-30,3372.51
2020-10-01,3372.44
2020-10-02,3372.32
2020-10-03,3372.06
2020-10-04,3371.79
2020-10-05,3371.5
2020-10-06,
2020-10-07,3370.94
2020-10-08,3370.66
2020-10-09,3370.38
2020-10-10,3370.1
2020-10-11,3369.83
2020-10-12,3369.55
2020-10-13,3369.29
2020-10-14,3368.99
2020-10-15,3368.7
2020-10-16,3368.42
2020-10-17,3368.13
2020-10-18,3367.84
2020-10-19,3367.57
2020-10-20,3367.3
2020-10-21,3367.02
2020-10-22,3366.72
2020-10-23,3366.6
2020-10-24,3366.59
2020-10-25,3366.54
2020-10-26,3366.51
2020-10-27,3366.43
2020-10-28,3366.14
2020-10-29,3365.85
2020-10-30,3365.55
2020-10-31,3365.24
2020-11-01,3364.93
2020-11-02,3364.63
2020-11-03,3364.32
2020-11-04,3364.05
2020-11-05,3363.95
2020-11-06,3363.91
2020-11-07,3363.8
2020-11-08,3363.74
2020-11-09,3363.56
2020-11-10,3363.49
2020-11-11,3363.5
2020-11-12,3363.48
2020-11-13,3363.35
2020-11-14,3363.12
2020-11-15,3362.86
2020-11-16,3362.62
2020-11-17,3362.38
2020-11-18,3362.24
2020-11-19,3362.03
2020-11-20,3361.8
2020-11-21,3361.58
2020-11-22,3361.36
2020-11-23,3361.11
2020-11-24,3360.81
2020-11-25,3360.57
2020-11-26,3360.33
2020-11-27,3360.09
2020-11-28,3359.85
2020-11-29,3359.6
2020-11-30,3359.37
2020-12-01,3359.13
2020-12-02,3358.87
2020-12-03,3358.63
2020-12-04,3358.39
2020-12-05,3358.13
2020-12-06,3357.89
2020-12-07,3357.62
2020-12-08,3357.37
2020-12-09,3357.12
2020-12-10,3356.87
2020-12-11,3356.6
2020-12-12,3356.4
2020-12-13,3356.2
2020-12-14,3356.01
2020-12-15,3355.76
2020-12-16,3355.49
2020-12-17,3355.32
2020-12-18,3355.06
2020-12-19,3354.79
2020-12-20,3354.54
2020-12-21,3354.26
2020-12-22,3354.0
2020-12-23,3353.72
2020-12-24,3353.45
2020-12-25,3353.18
2020-12-26,3352.91
2020-12-27,3352.65
2020-12-28,3352.64
2020-12-29,3352.66
2020-12-30,3352.69
2020-12-31,3352.72
2021-01-01,3352.74
2021-01-02,3352.76
2021-01-03,3352.79
2021-01-04,3352.81
2021-01-05,3352.83
2021-01-06,3352.87
2021-01-07,3352.88
2021-01-08,3352.9
2021-01-09,3352.9
2021-01-10,3352.95
2021-01-11,3352.94
2021-01-12,3352.95
2021-01-13,3352.98
2021-01-14,3352.98
2021-01-15,3353.0
2021-01-16,3353.02
2021-01-17,3353.04
2021-01-18,3353.03
2021-01-19,3353.04
2021-01-20,3353.04
2021-01-21,3353.05
2021-01-22,3353.05
2021-01-23,3353.08
2021-01-24,3353.13
2021-01-25,3353.18
2021-01-26,3353.17
2021-01-27,3353.5
2021-01-28,3354.06
2021-01-29,3354.22
2021-01-30,3354.27
2021-01-31,3354.3
2021-02-01,3354.4
2021-02-02,3354.49
2021-02-03,3354.55
2021-02-04,3354.6
2021-02-05,3354.66
2021-02-06,3354.71
2021-02-07,3354.76
2021-02-08,3354.8
2021-02-09,3354.86
2021-02-10,3354.93
2021-02-11,3355.0
2021-02-12,3355.21
2021-02-13,3355.37
2021-02-14,3355.44
2021-02-15,3355.54
2021-02-16,3355.62
2021-02-17,3355.68
2021-02-18,3355.72
2021-02-19,3355.75
2021-02-20,3355.8
2021-02-21,3355.84
2021-02-22,3355.89
2021-02-23,3355.94
2021-02-24,3356.01
2021-02-25,3356.06
2021-02-26,3356.11
2021-02-27,3356.15
2021-02-28,3356.18
2021-03-01,3356.22
2021-03-02,3356.25
2021-03-03,3356.29
2021-03-04,3356.31
2021-03-05,3356.35
2021-03-06,3356.38
2021-03-07,3356.41
2021-03-08,3356.46
2021-03-09,3356.49
2021-03-10,3356.67
2021-03-11,3356.73
2021-03-12,3356.76
2021-03-13,3356.83
2021-03-14,3356.87
2021-03-15,3357.07
2021-03-16,3357.13
2021-03-17,3357.18
2021-03-18,3357.23
2021-03-19,3357.54
2021-03-20,3357.81
2021-03-21,3357.94
2021-03-22,3358.05
2021-03-23,3358.15
2021-03-24,3358.27
2021-03-25,3358.36
2021-03-26,3358.45
2021-03-27,3358.54
2021-03-28,3358.66
2021-03-29,3358.78
2021-03-30,3358.91
2021-03-31,3359.05
2021-04-01,3359.2
2021-04-02,3359.37
2021-04-03,3359.53
2021-04-04,3359.69
2021-04-05,3359.88
2021-04-06,3360.03
2021-04-07,3360.19
2021-04-08,3360.36
2021-04-09,3360.52
2021-04-10,3360.68
2021-04-11,3360.84
2021-04-12,3361.02
2021-04-13,3361.18
2021-04-14,3361.33
2021-04-15,3361.46
2021-04-16,3361.56
2021-04-17,3361.68
2021-04-18,3361.77
2021-04-19,3361.88
2021-04-20,3361.99
2021-04-21,3362.09
2021-04-22,3362.2
2021-04-23,3362.29
2021-04-24,3362.4
2021-04-25,3362.52
2021-04-26,3362.63
2021-04-27,3362.73
2021-04-28,3362.81
2021-04-29,3362.89
2021-04-30,3362.97
2021-05-01,3363.06
2021-05-02,3363.15
2021-05-03,3363.23
2021-05-04,3363.32
2021-05-05,3363.4
2021-05-06,3363.48
2021-05-07,3363.55
2021-05-08,3363.61
2021-05-09,3363.67
2021-05-10,3363.73
2021-05-11,3363.78
2021-05-12,3363.92
2021-05-13,3363.96
2021-05-14,3364.0
2021-05-15,3364.03
2021-05-16,3364.07
2021-05-17,3364.12
2021-05-18,3364.15
2021-05-19,3364.18
2021-05-20,3364.2
2021-05-21,3364.22
2021-05-22,3364.26
2021-05-23,3364.3
2021-05-24,3364.33
2021-05-25,3364.37
2021-05-26,3364.39
2021-05-27,3364.41
2021-05-28,3364.42
2021-05-29,3364.45
2021-05-30,3364.47
2021-05-31,3364.49
2021-06-01,3364.5
2021-06-02,3364.52
2021-06-03,3364.53
2021-06-04,3364.54
2021-06-05,3364.54
2021-06-06,3364.54
2021-06-07,3364.55
2021-06-08,3364.54
2021-06-09,3364.53
2021-06-10,3364.53
2021-06-11,3364.54
2021-06-12,3364.54
2021-06-13,3364.55
2021-06-14,3364.55
2021-06-15,3364.55
2021-06-16,3364.55
2021-06-17,3364.54
2021-06-18,3364.53
2021-06-19,3364.52
2021-06-20,3364.51
2021-06-21,3364.49
2021-06-22,3364.46
2021-06-23,3364.45
2021-06-24,3364.45
2021-06-25,3364.44
2021-06-26,3364.42
2021-06-27,3364.42
2021-06-28,3364.41
2021-06-29,3364.38
2021-06-30,3364.36
2021-07-01,3364.35
2021-07-02,3364.33
2021-07-03,3364.31
2021-07-04,3364.26
2021-07-05,3364.23
2021-07-06,3364.19
2021-07-07,3363.96
2021-07-08,3363.93
2021-07-09,3363.89
2021-07-10,3363.86
2021-07-11,3363.83
2021-07-12,3363.81
2021-07-13,3363.77
2021-07-14,3363.73
2021-07-15,3363.71
2021-07-16,3363.67
2021-07-17,3363.64
2021-07-18,3363.61
2021-07-19,3363.61
2021-07-20,3363.55
2021-07-21,3363.51
2021-07-22,3363.49
2021-07-23,3363.44
2021-07-24,3363.41
2021-07-25,3363.38
2021-07-26,3363.35
2021-07-27,3363.31
2021-07-28,3363.28
2021-07-29,3363.25
2021-07-30,3363.2
2021-07-31,3363.17
2021-08-01,3363.14
2021-08-02,3363.11
2021-08-03,3363.06
2021-08-04,3363.03
2021-08-05,3362.99
2021-08-06,3362.95
2021-08-07,3362.9
2021-08-08,3362.89
2021-08-09,3362.86
2021-08-10,3362.83
2021-08-11,3362.79
2021-08-12,3362.76
2021-08-13,3362.73
2021-08-14,3362.7
2021-08-15,3362.67
2021-08-16,3362.65
2021-08-17,3362.61
2021-08-18,3362.57
2021-08-19,3362.53
2021-08-20,3362.52
2021-08-21,3362.5
2021-08-22,3362.47
2021-08-23,3362.45
2021-08-24,3362.41
2021-08-25,3362.38
2021-08-26,3362.35
2021-08-27,3362.32
2021-08-28,3362.3
2021-08-29,3362.27
2021-08-30,3362.24
2021-08-31,3362.19
2021-09-01,3362.17
2021-09-02,3362.12
2021-09-03,3362.1
2021-09-04,3362.07
2021-09-05,3362.05
2021-09-06,3362.03
2021-09-07,3362.0
2021-09-08,3361.97
2021-09-09,3361.91
2021-09-10,3361.91
2021-09-11,3361.88
2021-09-12,3361.86
2021-09-13,3361.82
2021-09-14,3361.78
2021-09-15,3361.76
2021-09-16,3361.72
2021-09-17,3361.69
2021-09-18,3361.66
2021-09-19,3361.63
2021-09-20,3361.6
2021-09-21,3361.57
2021-09-22,3361.55
2021-09-23,3361.51
2021-09-24,3361.48
2021-09-25,3361.46
2021-09-26,3361.43
2021-09-27,3361.4
2021-09-28,3361.37
2021-09-29,3361.35
2021-09-30,3361.32
2021-10-01,3361.3
2021-10-02,3361.27
2021-10-03,3361.24
2021-10-04,3361.23
2021-10-05,3361.2
2021-10-06,3361.19
