DATE TIME,KKR
2020-02-09,982.17
2020-02-10,982.05
2020-02-11,981.54
2020-02-12,982.28
2020-02-13,982.87
2020-02-14,982.4
2020-02-15,981.75
2020-02-16,982.63
2020-02-17,981.42
2020-02-18,981.22
2020-02-19,981.72
2020-02-20,982.08
2020-02-21,980.96
2020-02-22,981.32
2020-02-23,983.03
2020-02-24,982.89
2020-02-25,983.38
2020-02-26,983.85
2020-02-27,982.56
2020-02-28,980.6
2020-02-29,981.36
2020-03-01,981.63
2020-03-02,980.69
2020-03-03,981.26
2020-03-04,981.22
2020-03-05,980.67
2020-03-06,981.2
2020-03-07,981.71
2020-03-08,982.21
2020-03-09,982.7
2020-03-10,983.18
2020-03-11,981.61
2020-03-12,982.35
2020-03-13,980.56
2020-03-14,980.53
2020-03-15,981.36
2020-03-16,981.06
2020-03-17,982.05
2020-03-18,982.12
2020-03-19,
2020-03-20,982.07
2020-03-21,981.4
2020-03-22,981.53
2020-03-23,981.68
2020-03-24,980.94
2020-03-25,981.39
2020-03-26,980.1
2020-03-27,980.76
2020-03-28,980.92
2020-03-29,981.18
2020-03-30,981.27
2020-03-31,981.24
2020-04-01,980.44
2020-04-02,981.24
2020-04-03,981.15
2020-04-04,980.58
2020-04-05,981.2
2020-04-06,981.35
2020-04-07,980.73
2020-04-08,981.21
2020-04-09,981.49
2020-04-10,981.07
2020-04-11,981.1
2020-04-12,981.28
2020-04-13,981.17
2020-04-14,981.16
2020-04-15,981.52
2020-04-16,981.99
2020-04-17,981.57
2020-04-18,983.45
2020-04-19,983.02
2020-04-20,982.45
2020-04-21,981.85
2020-04-22,981.89
2020-04-23,981.5
2020-04-24,981.05
2020-04-25,980.75
2020-04-26,981.5
2020-04-27,981.25
2020-04-28,982.76
2020-04-29,984.06
2020-04-30,982.46
2020-05-01,981.85
2020-05-02,981.57
2020-05-03,982.07
2020-05-04,981.7
2020-05-05,982.23
2020-05-06,981.88
2020-05-07,981.38
2020-05-08,981.01
2020-05-09,982.0
