DATE TIME,MIL
2015-01-05,487.32
2015-01-06,487.35
2015-01-07,487.4
2015-01-08,487.46
2015-01-09,487.51
2015-01-10,487.57
2015-01-11,487.63
2015-01-12,487.69
2015-01-13,487.79
2015-01-14,487.81
2015-01-15,487.87
2015-01-16,488.16
2015-01-17,488.09
2015-01-18,488.2
2015-01-19,488.17
2015-01-20,488.39
2015-01-21,488.54
2015-01-22,488.5
2015-01-23,488.6
2015-01-24,488.68
2015-01-25,488.92
2015-01-26,489.13
2015-01-27,489.34
2015-01-28,489.44
2015-01-29,489.48
2015-01-30,489.6
2015-01-31,489.63
2015-02-01,489.65
2015-02-02,489.72
2015-02-03,489.73
2015-02-04,489.78
2015-02-05,489.84
2015-02-06,489.96
2015-02-07,490.04
2015-02-08,490.07
2015-02-09,490.19
2015-02-10,490.33
2015-02-11,490.42
2015-02-12,490.48
2015-02-13,490.51
2015-02-14,490.59
2015-02-15,490.6
2015-02-16,490.79
2015-02-17,490.89
2015-02-18,491.03
2015-02-19,491.37
2015-02-20,491.62
2015-02-21,491.67
2015-02-22,491.83
2015-02-23,492.0
2015-02-24,492.14
2015-02-25,492.39
2015-02-26,492.57
2015-02-27,492.78
2015-02-28,492.94
2015-03-01,493.27
2015-03-02,493.5
2015-03-03,493.66
2015-03-04,493.91
2015-03-05,494.04
2015-03-06,494.24
2015-03-07,494.41
2015-03-08,494.48
2015-03-09,494.57
2015-03-10,494.65
2015-03-11,494.8
2015-03-12,494.94
2015-03-13,495.03
2015-03-14,495.11
2015-03-15,495.23
2015-03-16,495.29
2015-03-17,495.39
2015-03-18,495.53
2015-03-19,495.67
2015-03-20,495.69
2015-03-21,495.71
2015-03-22,495.87
2015-03-23,496.04
2015-03-24,496.1
2015-03-25,496.04
2015-03-26,496.03
2015-03-27,496.0
2015-03-28,496.05
2015-03-29,496.15
2015-03-30,496.24
2015-03-31,496.16
2015-04-01,495.99
2015-04-02,495.89
2015-04-03,495.78
2015-04-04,495.67
2015-04-05,495.57
2015-04-06,495.46
2015-04-07,495.4
2015-04-08,495.32
2015-04-09,495.23
2015-04-10,495.13
2015-04-11,495.03
2015-04-12,494.94
2015-04-13,494.82
2015-04-14,494.7
2015-04-15,494.58
2015-04-16,494.45
2015-04-17,494.23
2015-04-18,493.95
2015-04-19,493.71
2015-04-20,493.48
2015-04-21,493.24
2015-04-22,493.01
2015-04-23,492.75
2015-04-24,492.53
2015-04-25,492.38
2015-04-26,492.18
2015-04-27,492.05
2015-04-28,491.92
2015-04-29,491.93
2015-04-30,491.84
2015-05-01,491.71
2015-05-02,491.59
2015-05-03,491.46
2015-05-04,491.24
2015-05-05,491.0
2015-05-06,490.75
2015-05-07,490.51
2015-05-08,490.26
2015-05-09,490.04
2015-05-10,489.91
