DATE TIME,SBF
2015-01-05,206.0
2015-01-06,204.0
2015-01-07,240.0
2015-01-08,271.0
2015-01-09,263.0
2015-01-10,249.0
2015-01-11,281.0
2015-01-12,262.0
2015-01-13,349.0
2015-01-14,120.0
2015-01-15,221.0
2015-01-16,288.0
2015-01-17,214.0
2015-01-18,209.0
2015-01-19,117.0
2015-01-20,371.0
2015-01-21,241.0
2015-01-22,122.0
2015-01-23,231.0
2015-01-24,135.0
2015-01-25,312.0
2015-01-26,320.0
2015-01-27,319.0
2015-01-28,248.0
2015-01-29,245.0
2015-01-30,281.0
2015-01-31,212.0
2015-02-01,216.0
2015-02-02,203.0
2015-02-03,206.0
2015-02-04,223.0
2015-02-05,309.0
2015-02-06,277.0
2015-02-07,1182.0
2015-02-08,1610.0
2015-02-09,3662.0
2015-02-10,1318.0
2015-02-11,949.0
2015-02-12,823.0
2015-02-13,890.0
2015-02-14,819.0
2015-02-15,753.0
2015-02-16,732.0
2015-02-17,698.0
2015-02-18,645.0
2015-02-19,793.0
2015-02-20,673.0
2015-02-21,592.0
2015-02-22,793.0
2015-02-23,596.0
2015-02-24,465.0
2015-02-25,465.0
2015-02-26,425.0
2015-02-27,473.0
2015-02-28,558.0
2015-03-01,427.0
2015-03-02,437.0
2015-03-03,394.0
2015-03-04,380.0
2015-03-05,399.0
2015-03-06,391.0
2015-03-07,390.0
2015-03-08,378.0
2015-03-09,482.0
2015-03-10,365.0
2015-03-11,430.0
2015-03-12,474.0
2015-03-13,405.0
2015-03-14,524.0
2015-03-15,632.0
2015-03-16,765.0
2015-03-17,635.0
2015-03-18,663.0
2015-03-19,533.0
2015-03-20,506.0
2015-03-21,564.0
2015-03-22,525.0
2015-03-23,712.0
2015-03-24,554.0
2015-03-25,514.0
2015-03-26,544.0
2015-03-27,707.0
2015-03-28,790.0
2015-03-29,789.0
2015-03-30,870.0
2015-03-31,852.0
2015-04-01,798.0
2015-04-02,577.0
2015-04-03,424.0
2015-04-04,478.0
2015-04-05,414.0
2015-04-06,418.0
2015-04-07,744.0
2015-04-08,451.0
2015-04-09,507.0
2015-04-10,538.0
2015-04-11,522.0
2015-04-12,627.0
2015-04-13,538.0
2015-04-14,587.0
2015-04-15,477.0
2015-04-16,454.0
2015-04-17,428.0
2015-04-18,477.0
2015-04-19,499.0
2015-04-20,481.0
2015-04-21,493.0
2015-04-22,475.0
2015-04-23,623.0
2015-04-24,641.0
2015-04-25,1073.0
2015-04-26,846.0
2015-04-27,1133.0
2015-04-28,1261.0
2015-04-29,1309.0
2015-04-30,1397.0
2015-05-01,1277.0
2015-05-02,1371.0
2015-05-03,1422.0
2015-05-04,1322.0
2015-05-05,1117.0
2015-05-06,934.0
2015-05-07,972.0
2015-05-08,1076.0
2015-05-09,1113.0
2015-05-10,1147.0
2015-05-11,1179.0
2015-05-12,972.0
2015-05-13,929.0
2015-05-14,808.0
2015-05-15,969.0
2015-05-16,841.0
2015-05-17,787.0
2015-05-18,1117.0
2015-05-19,794.0
2015-05-20,635.0
2015-05-21,1217.0
2015-05-22,1245.0
2015-05-23,1499.0
2015-05-24,1607.0
2015-05-25,1760.0
2015-05-26,1687.0
2015-05-27,1640.0
2015-05-28,1705.0
2015-05-29,1657.0
2015-05-30,1652.0
2015-05-31,1833.0
2015-06-01,2036.0
2015-06-02,1508.0
2015-06-03,1388.0
2015-06-04,1244.0
2015-06-05,1376.0
2015-06-06,1226.0
2015-06-07,1183.0
2015-06-08,850.0
2015-06-09,1089.0
2015-06-10,850.0
2015-06-11,981.0
2015-06-12,1801.0
2015-06-13,1749.0
2015-06-14,1791.0
2015-06-15,1056.0
2015-06-16,1026.0
2015-06-17,787.0
2015-06-18,703.0
2015-06-19,749.0
2015-06-20,361.0
2015-06-21,491.0
2015-06-22,507.0
2015-06-23,514.0
2015-06-24,392.0
2015-06-25,309.0
2015-06-26,365.0
2015-06-27,365.0
2015-06-28,414.0
2015-06-29,528.0
2015-06-30,527.0
2015-07-01,654.0
2015-07-02,516.0
2015-07-03,540.0
2015-07-04,515.0
2015-07-05,436.0
2015-07-06,286.0
2015-07-07,328.0
2015-07-08,262.0
2015-07-09,409.0
2015-07-10,452.0
2015-07-11,452.0
2015-07-12,364.0
2015-07-13,240.0
2015-07-14,239.0
2015-07-15,149.0
2015-07-16,148.0
2015-07-17,197.0
2015-07-18,200.0
2015-07-19,1041.0
2015-07-20,173.0
2015-07-21,443.0
2015-07-22,910.0
2015-07-23,376.0
2015-07-24,366.0
2015-07-25,309.0
2015-07-26,198.0
2015-07-27,72.0
2015-07-28,72.0
2015-07-29,72.0
2015-07-30,135.0
2015-07-31,185.0
2015-08-01,248.0
2015-08-02,248.0
2015-08-03,232.0
2015-08-04,179.0
2015-08-05,179.0
2015-08-06,135.0
2015-08-07,206.0
2015-08-08,135.0
2015-08-09,128.0
2015-08-10,127.0
2015-08-11,139.0
2015-08-12,139.0
2015-08-13,139.0
2015-08-14,120.0
2015-08-15,166.0
2015-08-16,166.0
2015-08-17,192.0
2015-08-18,166.0
2015-08-19,166.0
2015-08-20,166.0
2015-08-21,77.0
2015-08-22,76.0
2015-08-23,77.0
2015-08-24,40.0
2015-08-25,40.0
2015-08-26,56.0
2015-08-27,54.0
2015-08-28,54.0
2015-08-29,48.0
2015-08-30,44.0
2015-08-31,66.0
2015-09-01,61.0
2015-09-02,30.0
2015-09-03,30.0
2015-09-04,30.0
2015-09-05,30.0
2015-09-06,30.0
2015-09-07,29.0
2015-09-08,22.0
2015-09-09,22.0
2015-09-10,22.0
2015-09-11,22.0
2015-09-12,70.0
2015-09-13,70.0
2015-09-14,70.0
2015-09-15,70.0
2015-09-16,69.0
2015-09-17,69.0
2015-09-18,69.0
2015-09-19,69.0
2015-09-20,57.0
2015-09-21,43.0
2015-09-22,43.0
2015-09-23,57.0
2015-09-24,63.0
2015-09-25,63.0
2015-09-26,56.0
