Date,WaterYear,DayOfYear,Month,Day,Value,Units,StationID,SensorType
2010-01-01,2010,1,1,1,1.34,INCHES,SHA,45
2010-01-02,2010,2,1,2,0.71,INCHES,SHA,45
2010-01-03,2010,3,1,3,0.0,INCHES,SHA,45
2010-01-04,2010,4,1,4,0.0,INCHES,SHA,45
2010-01-05,2010,5,1,5,0.0,INCHES,SHA,45
2010-01-06,2010,6,1,6,0.0,INCHES,SHA,45
2010-01-07,2010,7,1,7,0.0,INCHES,SHA,45
2010-01-08,2010,8,1,8,0.0,INCHES,SHA,45
2010-01-09,2010,9,1,9,0.16,INCHES,SHA,45
2010-01-10,2010,10,1,10,0.05,INCHES,SHA,45
2010-01-11,2010,11,1,11,0.0,INCHES,SHA,45
2010-01-12,2010,12,1,12,0.95,INCHES,SHA,45
2010-01-13,2010,13,1,13,2.57,INCHES,SHA,45
2010-01-14,2010,14,1,14,0.0,INCHES,SHA,45
2010-01-15,2010,15,1,15,0.0,INCHES,SHA,45
2010-01-16,2010,16,1,16,0.0,INCHES,SHA,45
2010-01-17,2010,17,1,17,0.5,INCHES,SHA,45
2010-01-18,2010,18,1,18,3.05,INCHES,SHA,45
2010-01-19,2010,19,1,19,2.22,INCHES,SHA,45
2010-01-20,2010,20,1,20,2.1,INCHES,SHA,45
2010-01-21,2010,21,1,21,3.19,INCHES,SHA,45
2010-01-22,2010,22,1,22,0.4,INCHES,SHA,45
2010-01-23,2010,23,1,23,1.03,INCHES,SHA,45
2010-01-24,2010,24,1,24,0.06,INCHES,SHA,45
2010-01-25,2010,25,1,25,1.6,INCHES,SHA,45
2010-01-26,2010,26,1,26,1.31,INCHES,SHA,45
2010-01-27,2010,27,1,27,0.0,INCHES,SHA,45
2010-01-28,2010,28,1,28,0.0,INCHES,SHA,45
2010-01-29,2010,29,1,29,0.0,INCHES,SHA,45
2010-01-30,2010,30,1,30,0.21,INCHES,SHA,45
2010-01-31,2010,31,1,31,0.1,INCHES,SHA,45
2010-02-01,2010,32,2,1,0.02,INCHES,SHA,45
