Date,WaterYear,DayOfYear,Month,Day,Value,Units,StationID,SensorType
2010-01-01,2010,1,1,1,1798607.0,AF,SHA,15
2010-01-02,2010,2,1,2,1816097.0,AF,SHA,15
2010-01-03,2010,3,1,3,1827382.0,AF,SHA,15
2010-01-04,2010,4,1,4,1834028.0,AF,SHA,15
2010-01-05,2010,5,1,5,1841164.0,AF,SHA,15
2010-01-06,2010,6,1,6,1846532.0,AF,SHA,15
2010-01-07,2010,7,1,7,1851756.0,AF,SHA,15
2010-01-08,2010,8,1,8,1857796.0,AF,SHA,15
2010-01-09,2010,9,1,9,1862706.0,AF,SHA,15
2010-01-10,2010,10,1,10,1866648.0,AF,SHA,15
2010-01-11,2010,11,1,11,1870426.0,AF,SHA,15
2010-01-12,2010,12,1,12,1887899.0,AF,SHA,15
2010-01-13,2010,13,1,13,1923020.0,AF,SHA,15
2010-01-14,2010,14,1,14,1943359.0,AF,SHA,15
2010-01-15,2010,15,1,15,1959103.0,AF,SHA,15
2010-01-16,2010,16,1,16,1977659.0,AF,SHA,15
2010-01-17,2010,17,1,17,1999279.0,AF,SHA,15
2010-01-18,2010,18,1,18,2056255.0,AF,SHA,15
2010-01-19,2010,19,1,19,2143599.0,AF,SHA,15
2010-01-20,2010,20,1,20,2224069.0,AF,SHA,15
2010-01-21,2010,21,1,21,2295493.0,AF,SHA,15
2010-01-22,2010,22,1,22,2339705.0,AF,SHA,15
2010-01-23,2010,23,1,23,2376007.0,AF,SHA,15
2010-01-24,2010,24,1,24,2413097.0,AF,SHA,15
2010-01-25,2010,25,1,25,2453087.0,AF,SHA,15
2010-01-26,2010,26,1,26,2487564.0,AF,SHA,15
2010-01-27,2010,27,1,27,2515733.0,AF,SHA,15
2010-01-28,2010,28,1,28,2536870.0,AF,SHA,15
2010-01-29,2010,29,1,29,2555773.0,AF,SHA,15
2010-01-30,2010,30,1,30,2576425.0,AF,SHA,15
2010-01-31,2010,31,1,31,2596882.0,AF,SHA,15
2010-02-01,2010,32,2,1,2618690.0,AF,SHA,15
