DATE TIME,GRM
2015-01-05,15.0
2015-01-06,14.0
2015-01-07,14.0
2015-01-08,14.0
2015-01-09,13.0
2015-01-10,13.0
2015-01-11,13.0
2015-01-12,12.0
2015-01-13,12.0
2015-01-14,12.0
2015-01-15,12.0
2015-01-16,12.0
2015-01-17,12.0
2015-01-18,11.0
2015-01-19,11.0
2015-01-20,12.0
2015-01-21,11.0
2015-01-22,11.0
2015-01-23,11.0
2015-01-24,11.0
2015-01-25,10.0
2015-01-26,10.0
2015-01-27,9.0
2015-01-28,11.0
2015-01-29,11.0
2015-01-30,10.0
2015-01-31,10.0
2015-02-01,10.0
2015-02-02,10.0
2015-02-03,10.0
2015-02-04,10.0
2015-02-05,8.0
2015-02-06,9.0
2015-02-07,14.0
2015-02-08,12.0
2015-02-09,
2015-02-10,12.0
2015-02-11,11.0
2015-02-12,11.0
2015-02-13,11.0
2015-02-14,11.0
2015-02-15,10.0
2015-02-16,8.0
2015-02-17,8.0
2015-02-18,7.0
2015-02-19,6.0
2015-02-20,6.0
2015-02-21,5.0
2015-02-22,4.0
2015-02-23,4.0
2015-02-24,4.0
2015-02-25,4.0
2015-02-26,3.0
2015-02-27,2.0
2015-02-28,
2015-03-01,4.0
2015-03-02,4.0
2015-03-03,4.0
2015-03-04,5.0
2015-03-05,4.0
2015-03-06,3.0
2015-03-07,1.0
2015-03-08,2.0
2015-03-09,1.0
2015-03-10,1.0
2015-03-11,1.0
2015-03-12,2.0
2015-03-13,2.0
2015-03-14,1.0
2015-03-15,1.0
2015-03-16,2.0
2015-03-17,2.0
2015-03-18,1.0
2015-03-19,1.0
2015-03-20,1.0
2015-03-21,2.0
2015-03-22,1.0
2015-03-23,2.0
2015-03-24,2.0
2015-03-25,2.0
2015-03-26,1.0
2015-03-27,1.0
2015-03-28,1.0
2015-03-29,2.0
2015-03-30,1.0
2015-03-31,2.0
2015-04-01,1.0
2015-04-02,2.0
2015-04-03,1.0
2015-04-04,1.0
2015-04-05,1.0
2015-04-06,2.0
2015-04-07,2.0
2015-04-08,13.0
2015-04-09,7.0
2015-04-10,5.0
2015-04-11,2.0
2015-04-12,1.0
2015-04-13,1.0
2015-04-14,1.0
2015-04-15,1.0
2015-04-16,1.0
2015-04-17,1.0
2015-04-18,1.0
2015-04-19,1.0
2015-04-20,1.0
2015-04-21,1.0
2015-04-22,1.0
2015-04-23,1.0
2015-04-24,1.0
2015-04-25,
2015-04-26,7.0
2015-04-27,2.0
2015-04-28,1.0
2015-04-29,1.0
2015-04-30,1.0
2015-05-01,1.0
2015-05-02,1.0
2015-05-03,1.0
2015-05-04,1.0
2015-05-05,1.0
2015-05-06,2.0
2015-05-07,1.0
2015-05-08,
2015-05-09,0.0
2015-05-10,2.0
2015-05-11,2.0
2015-05-12,1.0
2015-05-13,1.0
2015-05-14,1.0
2015-05-15,1.0
2015-05-16,1.0
2015-05-17,0.0
2015-05-18,1.0
2015-05-19,1.0
2015-05-20,0.0
2015-05-21,-0.0
2015-05-22,0.0
2015-05-23,0.0
2015-05-24,0.0
2015-05-25,-1.0
2015-05-26,1.0
2015-05-27,1.0
2015-05-28,0.0
2015-05-29,1.0
2015-05-30,1.0
2015-05-31,1.0
2015-06-01,0.0
2015-06-02,1.0
2015-06-03,1.0
2015-06-04,1.0
2015-06-05,0.0
2015-06-06,0.0
2015-06-07,0.0
2015-06-08,0.0
2015-06-09,0.0
2015-06-10,0.0
2015-06-11,0.0
2015-06-12,0.0
2015-06-13,0.0
2015-06-14,1.0
2015-06-15,0.0
2015-06-16,1.0
2015-06-17,0.0
2015-06-18,1.0
2015-06-19,4.0
2015-06-20,1.0
2015-06-21,1.0
2015-06-22,1.0
2015-06-23,2.0
2015-06-24,1.0
2015-06-25,2.0
2015-06-26,1.0
2015-06-27,0.0
2015-06-28,-0.0
2015-06-29,0.0
2015-06-30,0.0
2015-07-01,1.0
2015-07-02,-0.0
2015-07-03,1.0
2015-07-04,0.0
2015-07-05,0.0
2015-07-06,0.0
2015-07-07,0.0
2015-07-08,1.0
2015-07-09,1.0
2015-07-10,0.0
2015-07-11,0.0
2015-07-12,0.0
2015-07-13,1.0
2015-07-14,1.0
2015-07-15,1.0
2015-07-16,1.0
2015-07-17,1.0
2015-07-18,2.0
2015-07-19,1.0
2015-07-20,0.0
2015-07-21,0.0
2015-07-22,0.0
2015-07-23,1.0
2015-07-24,0.0
2015-07-25,1.0
2015-07-26,0.0
2015-07-27,1.0
2015-07-28,1.0
2015-07-29,6.0
2015-07-30,0.0
2015-07-31,-0.0
2015-08-01,-0.0
2015-08-02,0.0
2015-08-03,0.0
2015-08-04,1.0
2015-08-05,1.0
2015-08-06,4.0
2015-08-07,0.0
2015-08-08,1.0
2015-08-09,0.0
2015-08-10,1.0
2015-08-11,1.0
2015-08-12,5.0
2015-08-13,0.0
2015-08-14,0.0
2015-08-15,1.0
2015-08-16,0.0
2015-08-17,1.0
2015-08-18,0.0
2015-08-19,0.0
2015-08-20,5.0
2015-08-21,0.0
2015-08-22,0.0
2015-08-23,2.0
2015-08-24,0.0
2015-08-25,6.0
2015-08-26,0.0
2015-08-27,0.0
2015-08-28,1.0
2015-08-29,0.0
2015-08-30,0.0
2015-08-31,1.0
2015-09-01,1.0
2015-09-02,1.0
2015-09-03,1.0
2015-09-04,0.0
2015-09-05,1.0
2015-09-06,1.0
2015-09-07,1.0
2015-09-08,0.0
2015-09-09,0.0
2015-09-10,0.0
2015-09-11,0.0
2015-09-12,0.0
2015-09-13,0.0
2015-09-14,1.0
2015-09-15,0.0
2015-09-16,0.0
2015-09-17,1.0
2015-09-18,1.0
2015-09-19,1.0
2015-09-20,0.0
2015-09-21,1.0
2015-09-22,1.0
2015-09-23,1.0
2015-09-24,0.0
2015-09-25,1.0
2015-09-26,1.0
2015-09-27,0.0
2015-09-28,1.0
2015-09-29,1.0
2015-09-30,1.0
2015-10-01,1.0
2015-10-02,1.0
2015-10-03,1.0
2015-10-04,1.0
2015-10-05,1.0
2015-10-06,1.0
2015-10-07,0.0
2015-10-08,0.0
2015-10-09,0.0
2015-10-10,1.0
2015-10-11,0.0
2015-10-12,1.0
2015-10-13,1.0
2015-10-14,0.0
2015-10-15,1.0
2015-10-16,1.0
2015-10-17,0.0
2015-10-18,1.0
2015-10-19,1.0
2015-10-20,1.0
2015-10-21,1.0
2015-10-22,1.0
2015-10-23,1.0
2015-10-24,1.0
2015-10-25,0.0
2015-10-26,0.0
2015-10-27,1.0
2015-10-28,1.0
2015-10-29,1.0
2015-10-30,1.0
2015-10-31,1.0
2015-11-01,0.0
2015-11-02,1.0
2015-11-03,11.0
2015-11-04,8.0
2015-11-05,5.0
2015-11-06,6.0
2015-11-07,6.0
2015-11-08,5.0
2015-11-09,
2015-11-10,
2015-11-11,15.0
2015-11-12,14.0
2015-11-13,13.0
2015-11-14,12.0
2015-11-15,11.0
2015-11-16,22.0
2015-11-17,19.0
2015-11-18,16.0
2015-11-19,15.0
2015-11-20,14.0
2015-11-21,13.0
2015-11-22,12.0
2015-11-23,12.0
2015-11-24,11.0
2015-11-25,
2015-11-26,18.0
2015-11-27,16.0
2015-11-28,16.0
2015-11-29,16.0
2015-11-30,16.0
2015-12-01,15.0
2015-12-02,15.0
2015-12-03,14.0
2015-12-04,14.0
2015-12-05,14.0
2015-12-06,14.0
2015-12-07,14.0
2015-12-08,13.0
2015-12-09,13.0
2015-12-10,13.0
2015-12-11,20.0
2015-12-12,21.0
2015-12-13,19.0
2015-12-14,
2015-12-15,23.0
2015-12-16,22.0
2015-12-17,22.0
2015-12-18,22.0
2015-12-19,21.0
2015-12-20,28.0
2015-12-21,27.0
2015-12-22,
2015-12-23,42.0
2015-12-24,41.0
2015-12-25,50.0
2015-12-26,47.0
2015-12-27,44.0
2015-12-28,42.0
2015-12-29,43.0
2015-12-30,
2015-12-31,40.0
2016-01-01,37.0
2016-01-02,39.0
2016-01-03,41.0
2016-01-04,40.0
2016-01-05,40.0
2016-01-06,51.0
2016-01-07,
2016-01-08,64.0
2016-01-09,60.0
2016-01-10,58.0
2016-01-11,56.0
2016-01-12,54.0
2016-01-13,54.0
2016-01-14,54.0
2016-01-15,61.0
2016-01-16,
2016-01-17,58.0
2016-01-18,58.0
2016-01-19,61.0
2016-01-20,68.0
2016-01-21,66.0
2016-01-22,64.0
2016-01-23,
2016-01-24,76.0
2016-01-25,74.0
2016-01-26,73.0
2016-01-27,71.0
2016-01-28,70.0
2016-01-29,68.0
2016-01-30,
2016-01-31,75.0
2016-02-01,83.0
2016-02-02,79.0
