DATE TIME,GRM
2015-01-05,2.76
2015-01-06,2.76
2015-01-07,2.76
2015-01-08,2.76
2015-01-09,2.76
2015-01-10,2.76
2015-01-11,2.76
2015-01-12,2.76
2015-01-13,2.64
2015-01-14,2.64
2015-01-15,2.4
2015-01-16,2.52
2015-01-17,2.64
2015-01-18,2.76
2015-01-19,2.76
2015-01-20,2.76
2015-01-21,2.52
2015-01-22,2.5
2015-01-23,2.4
2015-01-24,2.3
2015-01-25,2.2
2015-01-26,2.1
2015-01-27,2.52
2015-01-28,2.4
2015-01-29,2.52
2015-01-30,2.52
2015-01-31,2.52
2015-02-01,2.4
2015-02-02,2.4
2015-02-03,2.64
2015-02-04,2.64
2015-02-05,2.64
2015-02-06,2.52
2015-02-07,2.52
2015-02-08,2.64
2015-02-09,2.64
2015-02-10,2.64
2015-02-11,2.76
2015-02-12,2.76
2015-02-13,2.88
2015-02-14,2.76
2015-02-15,2.64
2015-02-16,2.52
2015-02-17,2.52
2015-02-18,2.4
2015-02-19,2.28
2015-02-20,1.92
2015-02-21,1.56
2015-02-22,1.2
2015-02-23,0.72
2015-02-24,0.72
2015-02-25,1.32
2015-02-26,1.08
2015-02-27,0.96
2015-02-28,0.84
2015-03-01,0.84
2015-03-02,0.84
2015-03-03,1.44
2015-03-04,1.32
2015-03-05,1.56
2015-03-06,1.68
2015-03-07,1.8
2015-03-08,1.56
2015-03-09,1.44
2015-03-10,1.32
2015-03-11,1.32
2015-03-12,1.32
2015-03-13,1.32
2015-03-14,1.32
2015-03-15,1.32
2015-03-16,1.08
2015-03-17,1.0
2015-03-18,1.08
2015-03-19,0.96
2015-03-20,0.96
2015-03-21,0.96
2015-03-22,0.84
2015-03-23,0.84
2015-03-24,0.96
2015-03-25,0.96
2015-03-26,0.96
2015-03-27,0.96
2015-03-28,0.96
2015-03-29,0.96
2015-03-30,0.96
2015-03-31,0.96
2015-04-01,0.84
2015-04-02,0.72
2015-04-03,0.72
2015-04-04,0.72
2015-04-05,0.72
2015-04-06,0.6
2015-04-07,0.72
2015-04-08,0.84
2015-04-09,0.96
2015-04-10,1.08
2015-04-11,0.96
2015-04-12,0.96
2015-04-13,0.96
2015-04-14,0.96
2015-04-15,0.84
2015-04-16,0.84
2015-04-17,0.84
2015-04-18,0.84
2015-04-19,0.72
2015-04-20,0.48
