DATE TIME,AGP
2015-01-05,6.06
2015-01-06,6.02
2015-01-07,5.9
2015-01-08,5.78
2015-01-09,5.64
2015-01-10,5.52
2015-01-11,5.62
2015-01-12,5.6
2015-01-13,5.57
2015-01-14,5.64
2015-01-15,5.92
2015-01-16,6.35
2015-01-17,6.37
2015-01-18,6.02
2015-01-19,5.88
2015-01-20,5.69
2015-01-21,5.46
2015-01-22,6.04
2015-01-23,7.0
2015-01-24,7.04
2015-01-25,6.95
2015-01-26,6.21
2015-01-27,5.79
2015-01-28,5.95
2015-01-29,5.88
2015-01-30,5.54
2015-01-31,5.58
2015-02-01,5.84
2015-02-02,6.36
2015-02-03,6.54
2015-02-04,6.53
2015-02-05,6.24
2015-02-06,5.8
2015-02-07,6.61
2015-02-08,7.2
2015-02-09,8.91
2015-02-10,9.01
2015-02-11,8.88
2015-02-12,8.64
2015-02-13,8.36
2015-02-14,8.49
2015-02-15,8.59
2015-02-16,8.73
2015-02-17,8.71
2015-02-18,8.55
2015-02-19,8.28
2015-02-20,8.02
2015-02-21,7.73
2015-02-22,7.4
2015-02-23,7.34
2015-02-24,6.86
2015-02-25,6.62
2015-02-26,6.69
2015-02-27,6.61
2015-02-28,6.53
2015-03-01,7.27
2015-03-02,7.6
2015-03-03,7.83
2015-03-04,8.23
2015-03-05,8.73
2015-03-06,9.25
2015-03-07,9.17
2015-03-08,8.39
2015-03-09,7.53
2015-03-10,6.99
2015-03-11,6.58
2015-03-12,6.64
2015-03-13,6.48
2015-03-14,6.25
2015-03-15,5.91
2015-03-16,5.39
2015-03-17,4.93
2015-03-18,4.97
2015-03-19,4.89
2015-03-20,4.26
2015-03-21,4.08
2015-03-22,3.67
2015-03-23,3.48
2015-03-24,3.29
2015-03-25,3.15
2015-03-26,2.85
2015-03-27,2.67
2015-03-28,2.4
2015-03-29,1.94
2015-03-30,1.9
2015-03-31,1.58
2015-04-01,2.2
2015-04-02,2.49
2015-04-03,2.21
2015-04-04,1.64
2015-04-05,1.43
2015-04-06,0.63
2015-04-07,1.95
2015-04-08,3.26
2015-04-09,3.07
2015-04-10,2.78
2015-04-11,2.41
2015-04-12,2.08
2015-04-13,1.74
2015-04-14,1.07
2015-04-15,1.92
2015-04-16,1.7
2015-04-17,1.21
2015-04-18,0.8
2015-04-19,0.37
2015-04-20,0.47
2015-04-21,0.34
2015-04-22,0.19
2015-04-23,0.23
2015-04-24,0.18
2015-04-25,0.34
2015-04-26,0.81
2015-04-27,1.1
2015-04-28,0.52
2015-04-29,0.16
2015-04-30,0.07
2015-05-01,0.05
2015-05-02,0.07
2015-05-03,0.1
2015-05-04,0.03
2015-05-05,0.42
2015-05-06,0.31
2015-05-07,0.54
2015-05-08,1.19
2015-05-09,1.79
2015-05-10,1.53
2015-05-11,1.01
2015-05-12,0.52
2015-05-13,0.61
2015-05-14,0.28
2015-05-15,0.29
2015-05-16,0.25
2015-05-17,0.09
2015-05-18,0.2
2015-05-19,0.08
2015-05-20,0.05
2015-05-21,0.05
2015-05-22,0.18
2015-05-23,0.2
2015-05-24,0.33
2015-05-25,0.2
2015-05-26,0.2
2015-05-27,0.15
2015-05-28,0.15
2015-05-29,0.11
2015-05-30,0.1
2015-05-31,0.07
2015-06-01,0.11
2015-06-02,0.1
2015-06-03,0.0
2015-06-04,-0.07
2015-06-05,-0.13
2015-06-06,-0.13
2015-06-07,-0.02
2015-06-08,-0.08
2015-06-09,-0.05
2015-06-10,0.01
2015-06-11,0.25
2015-06-12,0.15
2015-06-13,0.12
2015-06-14,0.09
2015-06-15,0.06
2015-06-16,0.01
2015-06-17,-0.01
2015-06-18,-0.02
2015-06-19,-0.01
2015-06-20,-0.08
2015-06-21,-0.08
2015-06-22,-0.12
2015-06-23,-0.13
2015-06-24,-0.12
2015-06-25,-0.13
2015-06-26,-0.13
2015-06-27,-0.14
2015-06-28,-0.14
2015-06-29,-0.1
2015-06-30,-0.02
2015-07-01,-0.01
2015-07-02,0.06
2015-07-03,0.08
2015-07-04,0.09
2015-07-05,0.01
2015-07-06,-0.01
2015-07-07,-0.01
2015-07-08,-0.07
2015-07-09,-0.13
2015-07-10,0.07
2015-07-11,-0.04
2015-07-12,-0.08
2015-07-13,-0.04
2015-07-14,-0.07
2015-07-15,-0.06
2015-07-16,-0.07
2015-07-17,-0.09
2015-07-18,-0.12
2015-07-19,-0.06
2015-07-20,0.0
2015-07-21,-0.23
2015-07-22,-0.29
2015-07-23,-0.08
2015-07-24,-0.27
2015-07-25,-0.28
2015-07-26,-0.29
2015-07-27,-0.31
2015-07-28,-0.36
2015-07-29,-0.38
2015-07-30,-0.38
2015-07-31,-0.33
2015-08-01,-0.43
2015-08-02,-0.19
2015-08-03,-0.23
2015-08-04,-0.28
2015-08-05,-0.32
2015-08-06,-0.29
2015-08-07,-0.35
2015-08-08,-0.32
2015-08-09,-0.33
2015-08-10,-0.38
2015-08-11,-0.32
2015-08-12,-0.31
2015-08-13,-0.29
2015-08-14,-0.21
2015-08-15,-0.25
2015-08-16,-0.23
2015-08-17,-0.21
2015-08-18,-0.2
2015-08-19,-0.18
2015-08-20,-0.23
2015-08-21,-0.23
2015-08-22,-0.22
2015-08-23,-0.23
2015-08-24,-0.23
2015-08-25,-0.26
2015-08-26,-0.29
2015-08-27,-0.3
2015-08-28,-0.29
2015-08-29,-0.21
2015-08-30,-0.32
2015-08-31,-0.3
2015-09-01,-0.34
2015-09-02,-0.31
2015-09-03,-0.27
2015-09-04,-0.34
2015-09-05,-0.32
2015-09-06,-0.47
2015-09-07,-0.5
2015-09-08,-0.46
2015-09-09,-0.39
2015-09-10,-0.42
2015-09-11,-0.47
2015-09-12,-0.48
2015-09-13,-0.54
2015-09-14,-0.45
2015-09-15,-0.16
2015-09-16,0.0
2015-09-17,-0.01
2015-09-18,-0.22
2015-09-19,-0.25
2015-09-20,-0.3
2015-09-21,-0.22
2015-09-22,-0.31
2015-09-23,-0.4
2015-09-24,-0.32
2015-09-25,-0.39
2015-09-26,-0.33
2015-09-27,-0.36
2015-09-28,-0.43
2015-09-29,-0.48
2015-09-30,-0.52
2015-10-01,-0.45
2015-10-02,-0.33
2015-10-03,-0.43
2015-10-04,-0.46
2015-10-05,0.06
2015-10-06,-0.21
2015-10-07,-0.34
2015-10-08,-0.1
2015-10-09,-0.19
2015-10-10,-0.29
2015-10-11,-0.31
2015-10-12,-0.42
2015-10-13,-0.32
2015-10-14,-0.32
2015-10-15,-0.31
2015-10-16,0.05
2015-10-17,0.06
2015-10-18,-0.06
2015-10-19,0.24
2015-10-20,-0.27
2015-10-21,-0.17
2015-10-22,0.5
2015-10-23,0.08
2015-10-24,-0.25
2015-10-25,-0.39
2015-10-26,-0.32
2015-10-27,-0.41
2015-10-28,-0.46
2015-10-29,-0.32
2015-10-30,0.48
2015-10-31,-0.08
2015-11-01,-0.31
2015-11-02,-0.36
2015-11-03,1.24
2015-11-04,1.28
2015-11-05,1.3
2015-11-06,1.26
2015-11-07,1.22
2015-11-08,1.15
2015-11-09,1.53
2015-11-10,2.09
2015-11-11,2.08
2015-11-12,2.05
2015-11-13,2.05
2015-11-14,1.97
2015-11-15,1.85
2015-11-16,
2015-11-17,2.28
2015-11-18,2.28
2015-11-19,2.14
2015-11-20,1.92
2015-11-21,1.74
2015-11-22,1.63
2015-11-23,1.48
2015-11-24,1.89
2015-11-25,2.36
2015-11-26,2.42
2015-11-27,2.42
2015-11-28,2.42
2015-11-29,2.56
2015-11-30,2.87
2015-12-01,2.96
2015-12-02,2.9
2015-12-03,2.66
2015-12-04,2.37
2015-12-05,2.88
2015-12-06,3.38
2015-12-07,3.05
2015-12-08,2.79
2015-12-09,2.4
2015-12-10,2.29
2015-12-11,3.52
2015-12-12,3.82
2015-12-13,3.83
2015-12-14,4.77
2015-12-15,4.77
2015-12-16,4.93
2015-12-17,5.13
2015-12-18,5.14
2015-12-19,5.04
2015-12-20,5.48
2015-12-21,5.51
2015-12-22,5.0
2015-12-23,5.1
2015-12-24,5.05
2015-12-25,6.16
2015-12-26,6.39
2015-12-27,6.42
2015-12-28,6.43
2015-12-29,6.8
2015-12-30,6.82
2015-12-31,6.81
2016-01-01,6.8
2016-01-02,6.81
2016-01-03,6.99
2016-01-04,6.98
2016-01-05,7.02
2016-01-06,7.91
2016-01-07,8.99
2016-01-08,9.0
2016-01-09,9.0
2016-01-10,8.99
2016-01-11,8.99
2016-01-12,8.99
2016-01-13,8.9
2016-01-14,8.93
2016-01-15,9.66
2016-01-16,9.76
2016-01-17,9.87
2016-01-18,9.68
2016-01-19,9.89
2016-01-20,10.83
2016-01-21,10.84
2016-01-22,10.75
2016-01-23,11.87
2016-01-24,12.33
2016-01-25,12.32
2016-01-26,12.32
2016-01-27,12.29
2016-01-28,12.26
2016-01-29,12.2
2016-01-30,13.07
2016-01-31,14.22
2016-02-01,15.3
2016-02-02,15.35
2016-02-03,15.35
2016-02-04,15.37
2016-02-05,15.38
2016-02-06,15.37
2016-02-07,15.35
2016-02-08,15.32
2016-02-09,15.25
2016-02-10,14.98
2016-02-11,14.96
2016-02-12,14.96
2016-02-13,14.86
2016-02-14,14.8
2016-02-15,14.6
2016-02-16,14.53
2016-02-17,14.15
2016-02-18,15.88
2016-02-19,16.14
2016-02-20,16.12
2016-02-21,16.11
2016-02-22,16.06
2016-02-23,16.03
2016-02-24,16.0
2016-02-25,15.78
2016-02-26,15.47
2016-02-27,15.34
2016-02-28,15.29
2016-02-29,15.3
2016-03-01,15.3
2016-03-02,15.21
2016-03-03,15.22
2016-03-04,15.15
2016-03-05,15.63
2016-03-06,18.82
2016-03-07,19.28
2016-03-08,19.99
2016-03-09,20.02
2016-03-10,20.01
2016-03-11,19.89
2016-03-12,20.86
2016-03-13,20.87
2016-03-14,21.02
2016-03-15,21.04
2016-03-16,21.03
2016-03-17,20.54
2016-03-18,20.36
2016-03-19,20.34
2016-03-20,20.42
2016-03-21,20.36
2016-03-22,21.03
2016-03-23,21.12
2016-03-24,21.19
2016-03-25,21.24
2016-03-26,21.04
2016-03-27,20.81
2016-03-28,21.01
2016-03-29,21.47
2016-03-30,21.88
2016-03-31,22.07
2016-04-01,22.04
2016-04-02,21.49
2016-04-03,20.55
2016-04-04,18.06
2016-04-05,15.74
