DATE TIME,KSP
2015-01-05,5.28
2015-01-06,5.28
2015-01-07,5.4
2015-01-08,5.4
2015-01-09,5.4
2015-01-10,5.4
2015-01-11,5.4
2015-01-12,5.28
2015-01-13,5.28
2015-01-14,5.28
2015-01-15,5.28
2015-01-16,5.4
2015-01-17,5.4
2015-01-18,5.4
2015-01-19,5.4
2015-01-20,5.4
2015-01-21,5.4
2015-01-22,5.28
2015-01-23,5.4
2015-01-24,5.4
2015-01-25,5.4
2015-01-26,5.4
2015-01-27,5.4
2015-01-28,5.4
2015-01-29,5.4
2015-01-30,5.4
2015-01-31,5.4
2015-02-01,5.4
2015-02-02,5.4
2015-02-03,5.4
2015-02-04,5.4
2015-02-05,5.4
2015-02-06,5.4
2015-02-07,5.52
2015-02-08,6.6
2015-02-09,7.68
2015-02-10,7.92
2015-02-11,8.16
2015-02-12,8.16
2015-02-13,8.16
2015-02-14,8.16
2015-02-15,8.16
2015-02-16,8.16
2015-02-17,8.16
2015-02-18,8.16
2015-02-19,8.16
2015-02-20,8.16
2015-02-21,7.92
2015-02-22,7.8
2015-02-23,7.8
2015-02-24,7.68
2015-02-25,7.8
2015-02-26,7.8
2015-02-27,7.8
2015-02-28,7.68
2015-03-01,7.68
2015-03-02,7.56
2015-03-03,7.56
2015-03-04,7.56
2015-03-05,7.56
2015-03-06,7.8
2015-03-07,7.8
2015-03-08,7.92
2015-03-09,7.8
2015-03-10,7.32
2015-03-11,7.08
2015-03-12,6.84
2015-03-13,6.6
2015-03-14,6.0
2015-03-15,5.16
2015-03-16,4.08
2015-03-17,3.24
2015-03-18,2.64
2015-03-19,2.16
2015-03-20,1.68
2015-03-21,1.44
2015-03-22,1.08
2015-03-23,1.08
2015-03-24,0.96
2015-03-25,0.96
2015-03-26,0.84
2015-03-27,0.84
2015-03-28,0.72
2015-03-29,0.72
2015-03-30,0.6
2015-03-31,0.6
2015-04-01,0.48
2015-04-02,0.48
2015-04-03,0.36
2015-04-04,0.36
2015-04-05,0.24
2015-04-06,0.24
2015-04-07,0.24
2015-04-08,0.24
2015-04-09,0.24
2015-04-10,0.24
2015-04-11,0.24
2015-04-12,0.24
2015-04-13,0.24
2015-04-14,0.24
2015-04-15,0.24
2015-04-16,0.24
2015-04-17,0.24
2015-04-18,0.24
2015-04-19,0.36
2015-04-20,0.36
2015-04-21,0.24
2015-04-22,0.24
2015-04-23,0.24
2015-04-24,0.24
2015-04-25,0.24
2015-04-26,0.36
2015-04-27,0.36
2015-04-28,0.48
2015-04-29,0.48
2015-04-30,0.48
2015-05-01,0.48
2015-05-02,0.48
2015-05-03,0.36
2015-05-04,0.36
2015-05-05,0.36
2015-05-06,0.36
2015-05-07,0.24
2015-05-08,0.24
2015-05-09,0.24
2015-05-10,0.24
2015-05-11,0.24
2015-05-12,0.24
2015-05-13,0.24
2015-05-14,0.24
2015-05-15,0.24
2015-05-16,0.24
2015-05-17,0.24
2015-05-18,0.24
2015-05-19,0.24
2015-05-20,0.24
2015-05-21,0.24
2015-05-22,0.24
2015-05-23,0.24
2015-05-24,0.24
2015-05-25,0.24
2015-05-26,0.24
2015-05-27,0.24
2015-05-28,0.24
2015-05-29,0.36
2015-05-30,0.36
2015-05-31,0.36
2015-06-01,0.36
2015-06-02,0.36
2015-06-03,0.36
2015-06-04,0.24
2015-06-05,0.24
2015-06-06,0.24
2015-06-07,0.24
2015-06-08,0.24
2015-06-09,0.36
2015-06-10,0.36
2015-06-11,0.24
2015-06-12,0.36
2015-06-13,0.36
2015-06-14,0.36
2015-06-15,0.36
2015-06-16,0.36
2015-06-17,0.36
2015-06-18,0.36
2015-06-19,0.36
2015-06-20,0.36
2015-06-21,0.36
2015-06-22,0.36
2015-06-23,0.36
2015-06-24,0.36
2015-06-25,0.36
2015-06-26,0.36
2015-06-27,0.36
2015-06-28,0.36
2015-06-29,0.36
2015-06-30,0.36
2015-07-01,0.36
2015-07-02,0.36
2015-07-03,0.36
2015-07-04,0.36
2015-07-05,0.36
2015-07-06,0.36
2015-07-07,0.48
2015-07-08,0.48
2015-07-09,0.36
2015-07-10,0.36
2015-07-11,0.36
2015-07-12,0.36
2015-07-13,0.36
2015-07-14,0.36
2015-07-15,0.36
2015-07-16,0.36
2015-07-17,0.48
2015-07-18,0.48
2015-07-19,0.48
2015-07-20,0.36
2015-07-21,0.36
2015-07-22,0.36
2015-07-23,0.36
2015-07-24,0.36
2015-07-25,0.36
2015-07-26,0.36
2015-07-27,0.36
2015-07-28,0.36
2015-07-29,0.48
2015-07-30,0.48
2015-07-31,0.48
2015-08-01,0.48
2015-08-02,0.48
2015-08-03,0.48
2015-08-04,0.48
2015-08-05,0.36
2015-08-06,0.48
2015-08-07,0.48
2015-08-08,0.36
2015-08-09,0.36
2015-08-10,0.48
2015-08-11,0.48
2015-08-12,0.48
2015-08-13,0.48
2015-08-14,0.48
2015-08-15,0.48
2015-08-16,0.48
2015-08-17,0.48
2015-08-18,0.48
2015-08-19,0.48
2015-08-20,0.48
2015-08-21,0.48
2015-08-22,0.48
2015-08-23,0.48
2015-08-24,0.48
2015-08-25,0.48
2015-08-26,0.48
2015-08-27,0.48
2015-08-28,0.48
2015-08-29,0.48
2015-08-30,0.48
2015-08-31,0.48
2015-09-01,0.48
2015-09-02,0.48
2015-09-03,0.48
2015-09-04,0.48
2015-09-05,0.36
2015-09-06,0.36
2015-09-07,0.48
2015-09-08,0.48
2015-09-09,0.48
2015-09-10,0.48
2015-09-11,0.48
2015-09-12,0.48
2015-09-13,0.48
2015-09-14,0.48
2015-09-15,0.36
2015-09-16,0.36
2015-09-17,0.36
2015-09-18,0.36
2015-09-19,0.36
2015-09-20,0.48
2015-09-21,0.48
2015-09-22,0.48
2015-09-23,0.48
2015-09-24,0.48
2015-09-25,0.12
2015-09-26,0.12
2015-09-27,0.12
2015-09-28,0.12
2015-09-29,0.12
2015-09-30,0.12
2015-10-01,0.12
2015-10-02,0.12
2015-10-03,0.12
2015-10-04,0.0
2015-10-05,0.0
2015-10-06,0.0
2015-10-07,0.0
2015-10-08,0.12
2015-10-09,0.12
2015-10-10,0.12
2015-10-11,0.0
2015-10-12,0.0
2015-10-13,0.0
2015-10-14,0.0
2015-10-15,0.0
2015-10-16,0.12
2015-10-17,0.12
2015-10-18,0.24
2015-10-19,0.24
2015-10-20,0.24
2015-10-21,0.24
2015-10-22,0.24
2015-10-23,0.24
2015-10-24,0.24
2015-10-25,0.24
2015-10-26,0.24
2015-10-27,0.24
2015-10-28,0.12
2015-10-29,0.24
2015-10-30,0.36
2015-10-31,0.36
2015-11-01,0.36
2015-11-02,0.24
2015-11-03,1.2
2015-11-04,1.32
2015-11-05,1.32
2015-11-06,1.32
2015-11-07,1.32
2015-11-08,1.32
2015-11-09,1.32
2015-11-10,1.8
2015-11-11,1.92
2015-11-12,1.92
2015-11-13,2.04
2015-11-14,2.04
2015-11-15,2.04
2015-11-16,
2015-11-17,2.28
2015-11-18,2.52
2015-11-19,2.52
2015-11-20,2.52
2015-11-21,2.52
2015-11-22,2.52
2015-11-23,2.52
2015-11-24,2.52
2015-11-25,2.52
2015-11-26,2.52
2015-11-27,2.64
2015-11-28,2.64
2015-11-29,2.76
2015-11-30,2.88
2015-12-01,2.88
2015-12-02,2.88
2015-12-03,2.88
2015-12-04,3.0
2015-12-05,3.0
2015-12-06,3.0
2015-12-07,3.0
2015-12-08,3.0
2015-12-09,3.12
2015-12-10,3.12
2015-12-11,3.72
2015-12-12,4.2
2015-12-13,4.2
2015-12-14,5.16
2015-12-15,5.28
2015-12-16,5.28
2015-12-17,5.4
2015-12-18,5.4
2015-12-19,5.52
2015-12-20,5.64
2015-12-21,5.88
2015-12-22,7.32
2015-12-23,7.8
2015-12-24,7.92
2015-12-25,8.64
2015-12-26,8.76
2015-12-27,8.76
2015-12-28,8.88
2015-12-29,8.88
2015-12-30,8.88
2015-12-31,8.88
2016-01-01,8.88
2016-01-02,8.88
2016-01-03,9.0
2016-01-04,9.0
2016-01-05,9.0
2016-01-06,10.08
2016-01-07,11.16
2016-01-08,11.28
2016-01-09,11.4
2016-01-10,11.4
2016-01-11,11.52
2016-01-12,11.52
2016-01-13,11.64
2016-01-14,11.64
2016-01-15,12.0
2016-01-16,12.24
2016-01-17,12.48
2016-01-18,12.6
2016-01-19,13.08
2016-01-20,14.52
2016-01-21,14.64
2016-01-22,14.76
2016-01-23,15.24
2016-01-24,15.96
2016-01-25,16.08
2016-01-26,16.2
2016-01-27,16.32
2016-01-28,16.44
2016-01-29,16.44
2016-01-30,16.44
2016-01-31,18.0
2016-02-01,19.68
2016-02-02,19.8
2016-02-03,19.92
2016-02-04,20.04
2016-02-05,20.16
2016-02-06,20.16
2016-02-07,20.28
2016-02-08,20.28
2016-02-09,20.4
2016-02-10,20.52
2016-02-11,20.76
2016-02-12,21.0
2016-02-13,21.0
2016-02-14,21.0
2016-02-15,21.0
2016-02-16,21.12
2016-02-17,21.12
2016-02-18,22.08
2016-02-19,22.8
2016-02-20,23.04
2016-02-21,23.04
2016-02-22,23.16
2016-02-23,23.16
2016-02-24,23.04
2016-02-25,22.92
2016-02-26,23.04
2016-02-27,23.16
2016-02-28,23.28
2016-02-29,23.28
2016-03-01,23.04
2016-03-02,22.92
2016-03-03,22.8
2016-03-04,22.8
2016-03-05,23.04
2016-03-06,24.84
2016-03-07,25.68
2016-03-08,25.92
2016-03-09,26.16
2016-03-10,26.28
2016-03-11,26.4
2016-03-12,26.76
2016-03-13,27.24
2016-03-14,27.84
2016-03-15,28.08
2016-03-16,28.2
2016-03-17,27.84
2016-03-18,27.36
2016-03-19,27.0
2016-03-20,27.0
2016-03-21,26.4
2016-03-22,26.4
2016-03-23,26.64
2016-03-24,26.64
2016-03-25,26.16
2016-03-26,25.56
2016-03-27,24.84
2016-03-28,24.48
2016-03-29,24.48
2016-03-30,24.72
2016-03-31,24.84
2016-04-01,24.72
2016-04-02,23.88
2016-04-03,23.52
2016-04-04,23.28
2016-04-05,22.2
2016-04-06,21.48
2016-04-07,20.64
2016-04-08,20.4
2016-04-09,20.16
2016-04-10,20.16
2016-04-11,20.28
2016-04-12,20.16
2016-04-13,19.68
2016-04-14,19.08
2016-04-15,18.6
2016-04-16,18.12
2016-04-17,17.4
2016-04-18,16.68
2016-04-19,15.72
2016-04-20,14.64
2016-04-21,13.68
2016-04-22,12.84
2016-04-23,12.6
2016-04-24,12.72
2016-04-25,12.6
2016-04-26,12.48
2016-04-27,12.36
2016-04-28,12.12
2016-04-29,11.76
2016-04-30,11.16
2016-05-01,10.56
2016-05-02,9.96
2016-05-03,9.96
2016-05-04,9.24
2016-05-05,8.4
2016-05-06,8.04
2016-05-07,7.92
2016-05-08,7.92
2016-05-09,7.92
2016-05-10,7.2
2016-05-11,5.88
2016-05-12,4.08
2016-05-13,2.64
2016-05-14,1.44
2016-05-15,0.96
2016-05-16,0.84
2016-05-17,0.72
2016-05-18,0.72
2016-05-19,0.72
2016-05-20,0.6
2016-05-21,0.48
2016-05-22,0.36
2016-05-23,0.36
2016-05-24,0.36
2016-05-25,0.6
2016-05-26,1.08
2016-05-27,1.08
2016-05-28,0.84
2016-05-29,0.84
2016-05-30,0.72
2016-05-31,0.72
2016-06-01,0.72
2016-06-02,0.6
2016-06-03,0.48
2016-06-04,0.6
2016-06-05,0.48
2016-06-06,0.48
2016-06-07,0.48
2016-06-08,0.48
2016-06-09,0.48
2016-06-10,0.48
2016-06-11,0.48
2016-06-12,0.6
2016-06-13,0.72
2016-06-14,0.72
2016-06-15,0.6
2016-06-16,0.48
2016-06-17,0.48
2016-06-18,0.48
2016-06-19,0.48
2016-06-20,0.6
2016-06-21,0.48
2016-06-22,0.48
2016-06-23,0.48
2016-06-24,0.48
2016-06-25,0.6
2016-06-26,0.96
2016-06-27,0.96
2016-06-28,0.96
2016-06-29,1.08
2016-06-30,0.96
2016-07-01,0.96
2016-07-02,0.96
2016-07-03,0.96
2016-07-04,0.96
2016-07-05,0.96
2016-07-06,0.96
2016-07-07,0.84
2016-07-08,1.08
2016-07-09,0.96
2016-07-10,0.84
2016-07-11,0.84
2016-07-12,0.84
2016-07-13,0.96
2016-07-14,0.96
2016-07-15,0.96
2016-07-16,0.96
2016-07-17,0.96
2016-07-18,0.96
2016-07-19,0.96
2016-07-20,0.96
2016-07-21,0.96
2016-07-22,0.96
2016-07-23,0.96
2016-07-24,1.08
2016-07-25,1.08
2016-07-26,1.08
2016-07-27,1.08
2016-07-28,1.08
2016-07-29,1.08
2016-07-30,1.08
2016-07-31,1.08
2016-08-01,1.08
2016-08-02,1.08
2016-08-03,1.08
2016-08-04,1.08
2016-08-05,0.96
2016-08-06,0.96
2016-08-07,0.96
2016-08-08,0.96
2016-08-09,0.96
2016-08-10,0.96
2016-08-11,0.96
2016-08-12,0.96
2016-08-13,0.96
2016-08-14,1.08
2016-08-15,0.96
2016-08-16,0.96
2016-08-17,1.08
2016-08-18,1.08
2016-08-19,1.08
2016-08-20,1.08
2016-08-21,1.08
2016-08-22,1.08
2016-08-23,0.96
2016-08-24,0.96
2016-08-25,0.96
2016-08-26,0.96
2016-08-27,0.96
2016-08-28,0.96
2016-08-29,0.96
2016-08-30,1.08
2016-08-31,1.08
2016-09-01,0.96
2016-09-02,0.96
2016-09-03,0.96
2016-09-04,0.84
2016-09-05,0.84
2016-09-06,0.96
2016-09-07,0.96
2016-09-08,0.96
2016-09-09,1.08
2016-09-10,1.08
2016-09-11,1.08
2016-09-12,1.32
2016-09-13,1.2
2016-09-14,0.96
2016-09-15,1.2
2016-09-16,1.2
2016-09-17,1.2
2016-09-18,1.2
2016-09-19,1.2
2016-09-20,1.2
2016-09-21,1.2
2016-09-22,1.08
2016-09-23,0.36
2016-09-24,0.36
2016-09-25,0.36
2016-09-26,0.48
2016-09-27,0.36
2016-09-28,0.36
2016-09-29,0.36
2016-09-30,0.36
2016-10-01,0.36
2016-10-02,0.24
2016-10-03,0.12
2016-10-04,0.12
2016-10-05,0.12
2016-10-06,0.12
2016-10-07,0.24
2016-10-08,0.24
2016-10-09,0.24
2016-10-10,0.24
2016-10-11,0.24
2016-10-12,0.24
2016-10-13,0.24
2016-10-14,0.24
2016-10-15,0.24
2016-10-16,0.72
2016-10-17,1.08
2016-10-18,1.2
2016-10-19,1.08
2016-10-20,0.96
2016-10-21,0.96
2016-10-22,0.84
2016-10-23,0.84
2016-10-24,0.84
2016-10-25,0.84
2016-10-26,0.84
2016-10-27,0.84
2016-10-28,1.08
2016-10-29,1.08
2016-10-30,0.96
2016-10-31,1.2
2016-11-01,1.2
2016-11-02,1.2
2016-11-03,1.2
2016-11-04,1.2
2016-11-05,1.2
2016-11-06,1.08
2016-11-07,1.08
2016-11-08,0.96
2016-11-09,0.96
2016-11-10,0.84
2016-11-11,0.84
2016-11-12,0.84
2016-11-13,0.84
2016-11-14,0.84
2016-11-15,0.84
2016-11-16,0.84
2016-11-17,0.72
2016-11-18,0.48
2016-11-19,0.48
2016-11-20,0.48
2016-11-21,0.48
2016-11-22,0.48
2016-11-23,0.84
2016-11-24,1.2
2016-11-25,1.2
2016-11-26,1.2
2016-11-27,1.8
2016-11-28,2.16
2016-11-29,2.28
2016-11-30,2.28
2016-12-01,2.28
2016-12-02,2.28
2016-12-03,2.28
2016-12-04,2.28
2016-12-05,2.28
2016-12-06,2.28
2016-12-07,2.16
2016-12-08,2.16
2016-12-09,2.76
2016-12-10,2.88
2016-12-11,3.6
2016-12-12,3.6
2016-12-13,3.6
2016-12-14,3.6
2016-12-15,3.72
2016-12-16,9.24
2016-12-17,9.48
2016-12-18,9.6
2016-12-19,9.6
2016-12-20,9.72
2016-12-21,9.72
2016-12-22,9.72
2016-12-23,9.72
