DATE TIME,VLC
2015-01-05,5.73
2015-01-06,5.64
2015-01-07,5.65
2015-01-08,5.75
2015-01-09,5.7
2015-01-10,5.58
2015-01-11,5.69
2015-01-12,5.81
2015-01-13,5.89
2015-01-14,5.79
2015-01-15,5.82
2015-01-16,5.71
2015-01-17,5.54
2015-01-18,5.49
2015-01-19,5.51
2015-01-20,5.48
2015-01-21,5.5
2015-01-22,5.49
2015-01-23,5.4
2015-01-24,5.27
2015-01-25,5.17
2015-01-26,5.25
2015-01-27,5.29
2015-01-28,5.5
2015-01-29,5.59
2015-01-30,5.56
2015-01-31,5.33
2015-02-01,5.31
2015-02-02,5.35
2015-02-03,5.25
2015-02-04,5.18
2015-02-05,5.07
2015-02-06,5.08
2015-02-07,5.82
2015-02-08,7.01
2015-02-09,7.48
2015-02-10,7.55
2015-02-11,7.66
2015-02-12,7.67
2015-02-13,7.51
2015-02-14,7.42
2015-02-15,7.42
2015-02-16,7.42
2015-02-17,7.44
2015-02-18,7.38
2015-02-19,7.32
2015-02-20,7.43
2015-02-21,7.51
2015-02-22,7.57
2015-02-23,7.71
2015-02-24,7.62
2015-02-25,7.6
2015-02-26,7.57
2015-02-27,7.56
2015-02-28,7.62
2015-03-01,7.92
2015-03-02,7.93
2015-03-03,8.01
2015-03-04,7.99
2015-03-05,7.94
2015-03-06,7.9
2015-03-07,7.91
2015-03-08,7.87
2015-03-09,7.79
2015-03-10,7.78
2015-03-11,7.73
2015-03-12,7.92
2015-03-13,7.98
2015-03-14,7.9
2015-03-15,7.94
2015-03-16,8.19
2015-03-17,8.22
2015-03-18,8.18
2015-03-19,8.13
2015-03-20,7.99
2015-03-21,7.88
2015-03-22,7.73
2015-03-23,7.7
2015-03-24,7.64
2015-03-25,7.52
2015-03-26,7.21
2015-03-27,6.67
2015-03-28,6.05
2015-03-29,5.3
2015-03-30,4.93
2015-03-31,4.67
2015-04-01,5.18
2015-04-02,5.35
2015-04-03,5.45
2015-04-04,5.1
2015-04-05,4.67
2015-04-06,4.54
2015-04-07,4.28
2015-04-08,4.84
2015-04-09,4.74
2015-04-10,4.88
2015-04-11,4.88
2015-04-12,4.75
2015-04-13,4.24
2015-04-14,3.37
2015-04-15,2.98
2015-04-16,1.25
2015-04-17,-0.05
2015-04-18,0.36
2015-04-19,0.94
2015-04-20,0.99
2015-04-21,1.17
2015-04-22,1.41
2015-04-23,0.88
2015-04-24,1.57
2015-04-25,1.94
2015-04-26,2.89
2015-04-27,2.86
2015-04-28,1.8
2015-04-29,1.29
2015-04-30,1.09
2015-05-01,0.96
2015-05-02,0.81
2015-05-03,0.7
2015-05-04,0.47
2015-05-05,0.7
2015-05-06,0.63
2015-05-07,0.44
2015-05-08,1.13
2015-05-09,1.52
2015-05-10,0.98
2015-05-11,0.67
2015-05-12,0.53
2015-05-13,0.53
2015-05-14,0.58
2015-05-15,1.11
2015-05-16,1.26
2015-05-17,1.02
2015-05-18,1.37
2015-05-19,1.52
2015-05-20,1.47
