DATE TIME,AGP_regular,AGP_revised,GRM_regular,GRM_revised,HNT_regular,HNT_revised,KSP_regular,KSP_revised,PSR_regular,PSR_revised,TMR_regular,TMR_revised,VLC_regular,VLC_revised
2015-01-05,6.06,6.31,1.56,2.76,3.36,3.48,5.28,5.38,2.16,2.88,3.24,3.48,5.73,5.33
2015-01-06,6.02,6.27,1.56,2.76,3.24,3.36,5.28,5.38,2.28,3.0,3.24,3.48,5.64,5.24
2015-01-07,5.9,6.15,1.56,2.76,3.24,3.36,5.4,5.5,2.28,3.0,3.24,3.48,5.65,5.25
2015-01-08,5.78,6.03,1.56,2.76,3.24,3.36,5.4,5.5,2.28,3.0,3.12,3.36,5.75,5.35
2015-01-09,5.64,5.89,1.56,2.76,3.12,3.24,5.4,5.5,2.28,3.0,3.12,3.36,5.7,5.3
2015-01-10,5.52,5.77,1.56,2.76,3.12,3.24,5.4,5.5,2.28,3.0,3.12,3.36,5.58,5.18
2015-01-11,5.62,5.87,1.56,2.76,3.12,3.24,5.4,5.5,2.28,3.0,3.12,3.36,5.69,5.29
2015-01-12,5.6,5.85,1.56,2.76,3.12,3.24,5.28,5.38,2.16,2.88,3.12,3.36,5.81,5.41
2015-01-13,5.57,5.82,1.44,2.64,3.12,3.24,5.28,5.38,2.16,2.88,3.12,3.36,5.89,5.49
2015-01-14,5.64,5.89,1.44,2.64,3.24,3.36,5.28,5.38,2.16,2.88,3.12,3.36,5.79,5.39
2015-01-15,5.92,5.8,1.2,2.4,3.24,3.36,5.28,5.38,2.16,2.88,3.12,3.36,5.82,5.42
2015-01-16,6.35,6.6,1.32,2.52,3.36,3.48,5.4,5.5,2.28,3.0,3.12,3.36,5.71,5.31
2015-01-17,6.37,6.62,1.44,2.64,3.36,3.48,5.4,5.5,2.28,3.0,3.12,3.36,5.54,5.14
2015-01-18,6.02,6.27,1.56,2.76,3.24,3.36,5.4,5.5,2.28,3.0,3.12,3.36,5.49,5.09
2015-01-19,5.88,6.13,1.56,2.76,3.24,3.36,5.4,5.5,2.28,3.0,3.12,3.36,5.51,5.11
2015-01-20,5.69,5.94,1.56,2.76,3.24,3.36,5.4,5.5,2.28,3.0,3.12,3.36,5.48,5.08
2015-01-21,5.46,5.71,1.32,2.52,3.24,3.36,5.4,5.5,2.16,2.88,3.12,3.36,5.5,5.1
2015-01-22,6.04,5.71,0.96,2.5,3.24,3.36,5.28,5.38,2.16,2.88,3.0,3.24,5.49,5.09
2015-01-23,7.0,5.7,1.08,2.4,3.24,3.36,5.4,5.5,2.16,2.88,2.76,3.0,5.4,5.0
2015-01-24,7.04,5.7,1.08,2.3,3.24,3.36,5.4,5.5,2.28,3.0,2.64,2.88,5.27,4.87
2015-01-25,6.95,5.7,1.2,2.2,3.24,3.36,5.4,5.5,2.28,3.0,2.64,2.88,5.17,4.77
2015-01-26,6.21,5.7,1.44,2.1,3.24,3.36,5.4,5.5,2.28,3.0,2.76,3.0,5.25,4.85
