DATE TIME,FLR
2021-08-01,
2021-08-02,
2021-08-03,
2021-08-04,
2021-08-05,
2021-08-06,
2021-08-07,
2021-08-08,
2021-08-09,
2021-08-10,
2021-08-11,
2021-08-12,
2021-08-13,
2021-08-14,
2021-08-15,28403.0
2021-08-16,
2021-08-17,
2021-08-18,
2021-08-19,
2021-08-20,
2021-08-21,
2021-08-22,
2021-08-23,24173.0
2021-08-24,
2021-08-25,
2021-08-26,
2021-08-27,
2021-08-28,
2021-08-29,22040.0
2021-08-30,
2021-08-31,
2021-09-01,
2021-09-02,
2021-09-03,
2021-09-04,
2021-09-05,
2021-09-06,
2021-09-07,
2021-09-08,
2021-09-09,17412.0
2021-09-10,15854.0
2021-09-11,14355.0
2021-09-12,
2021-09-13,11261.0
2021-09-14,9524.0
2021-09-15,
2021-09-16,
2021-09-17,
2021-09-18,3081.0
2021-09-19,1800.0
2021-09-20,1678.0
2021-09-21,1648.0
2021-09-22,1569.0
2021-09-23,1487.0
2021-09-24,1444.0
2021-09-25,1434.0
2021-09-26,1420.0
2021-09-27,1404.0
2021-09-28,1385.0
2021-09-29,1365.0
2021-09-30,1341.0
2021-10-01,1322.0
2021-10-02,1307.0
2021-10-03,1293.0
2021-10-04,1279.0
2021-10-05,1266.0
2021-10-06,1254.0
2021-10-07,1239.0
2021-10-08,1237.0
2021-10-09,1236.0
2021-10-10,1232.0
2021-10-11,1223.0
2021-10-12,1220.0
2021-10-13,1213.0
2021-10-14,1208.0
2021-10-15,1200.0
2021-10-16,1194.0
2021-10-17,1197.0
2021-10-18,1180.0
2021-10-19,1174.0
2021-10-20,1170.0
2021-10-21,1169.0
2021-10-22,1165.0
2021-10-23,1160.0
2021-10-24,1188.0
2021-10-25,2313.0
2021-10-26,2747.0
2021-10-27,3211.0
2021-10-28,3689.0
2021-10-29,4121.0
2021-10-30,4498.0
2021-10-31,4799.0
2021-11-01,5025.0
2021-11-02,
2021-11-03,5313.0
2021-11-04,5447.0
2021-11-05,5622.0
2021-11-06,5771.0
2021-11-07,5914.0
2021-11-08,6018.0
2021-11-09,6208.0
2021-11-10,6380.0
2021-11-11,6566.0
2021-11-12,
2021-11-13,
2021-11-14,
2021-11-15,
2021-11-16,7354.0
2021-11-17,
2021-11-18,
2021-11-19,
2021-11-20,
2021-11-21,
2021-11-22,
2021-11-23,6229.0
2021-11-24,
2021-11-25,5712.0
2021-11-26,
2021-11-27,5252.0
2021-11-28,5022.0
2021-11-29,
2021-11-30,
2021-12-01,
2021-12-02,
2021-12-03,
2021-12-04,
2021-12-05,4512.0
2021-12-06,3525.0
2021-12-07,
2021-12-08,3548.0
2021-12-09,3617.0
2021-12-10,3637.0
2021-12-11,3690.0
2021-12-12,3761.0
2021-12-13,3888.0
2021-12-14,3949.0
2021-12-15,4105.0
2021-12-16,
2021-12-17,4549.0
2021-12-18,
2021-12-19,4938.0
2021-12-20,5073.0
2021-12-21,5174.0
2021-12-22,5307.0
2021-12-23,
2021-12-24,
2021-12-25,
2021-12-26,
2021-12-27,
2021-12-28,
2021-12-29,
2021-12-30,
2021-12-31,
2022-01-01,
2022-01-02,8208.0
2022-01-03,8374.0
2022-01-04,8533.0
2022-01-05,8683.0
2022-01-06,
2022-01-07,
2022-01-08,
2022-01-09,9362.0
2022-01-10,9516.0
2022-01-11,9280.0
2022-01-12,8684.0
2022-01-13,8120.0
2022-01-14,
2022-01-15,
2022-01-16,
