DATE TIME,HNT
2021-08-01,
2021-08-02,
2021-08-03,
2021-08-04,
2021-08-05,
2021-08-06,
2021-08-07,
2021-08-08,
2021-08-09,
2021-08-10,
2021-08-11,
2021-08-12,
2021-08-13,
2021-08-14,
2021-08-15,86978.0
2021-08-16,
2021-08-17,
2021-08-18,
2021-08-19,
2021-08-20,
2021-08-21,
2021-08-22,
2021-08-23,87755.0
2021-08-24,
2021-08-25,
2021-08-26,
2021-08-27,
2021-08-28,
2021-08-29,86641.0
2021-08-30,
2021-08-31,
2021-09-01,
2021-09-02,
2021-09-03,
2021-09-04,
2021-09-05,
2021-09-06,
2021-09-07,
2021-09-08,
2021-09-09,66568.0
2021-09-10,66390.0
2021-09-11,66956.0
2021-09-12,
2021-09-13,67078.0
2021-09-14,66928.0
2021-09-15,
2021-09-16,
2021-09-17,
2021-09-18,66568.0
2021-09-19,66672.0
2021-09-20,65026.0
2021-09-21,63155.0
2021-09-22,61408.0
2021-09-23,59643.0
2021-09-24,57791.0
2021-09-25,56513.0
2021-09-26,55068.0
2021-09-27,54021.0
2021-09-28,52252.0
2021-09-29,50975.0
2021-09-30,48734.0
2021-10-01,48374.0
2021-10-02,48034.0
2021-10-03,47680.0
2021-10-04,46935.0
2021-10-05,46271.0
2021-10-06,45575.0
2021-10-07,45090.0
2021-10-08,44964.0
2021-10-09,44768.0
2021-10-10,44555.0
2021-10-11,44335.0
2021-10-12,44099.0
2021-10-13,43763.0
2021-10-14,43602.0
2021-10-15,43381.0
2021-10-16,43167.0
2021-10-17,42951.0
2021-10-18,42787.0
2021-10-19,42546.0
2021-10-20,42306.0
2021-10-21,42100.0
2021-10-22,41882.0
2021-10-23,41599.0
2021-10-24,41510.0
2021-10-25,42018.0
2021-10-26,41945.0
2021-10-27,42037.0
2021-10-28,41856.0
2021-10-29,40811.0
2021-10-30,39935.0
2021-10-31,38846.0
2021-11-01,38077.0
2021-11-02,
2021-11-03,36938.0
2021-11-04,36925.0
2021-11-05,36661.0
2021-11-06,36612.0
2021-11-07,36460.0
2021-11-08,36400.0
2021-11-09,36665.0
2021-11-10,36850.0
2021-11-11,36915.0
2021-11-12,
2021-11-13,
2021-11-14,
2021-11-15,
2021-11-16,37670.0
2021-11-17,
2021-11-18,
2021-11-19,
2021-11-20,
2021-11-21,
2021-11-22,
2021-11-23,39018.0
2021-11-24,
2021-11-25,39458.0
2021-11-26,
2021-11-27,39907.0
2021-11-28,40227.0
2021-11-29,
2021-11-30,
2021-12-01,
2021-12-02,
2021-12-03,
2021-12-04,
2021-12-05,40941.0
2021-12-06,41012.0
2021-12-07,
2021-12-08,41060.0
2021-12-09,41132.0
2021-12-10,41105.0
2021-12-11,41090.0
2021-12-12,41097.0
2021-12-13,41161.0
2021-12-14,41304.0
2021-12-15,41358.0
2021-12-16,
2021-12-17,41203.0
2021-12-18,
2021-12-19,41239.0
2021-12-20,41058.0
2021-12-21,40811.0
2021-12-22,40847.0
2021-12-23,
2021-12-24,
2021-12-25,
2021-12-26,
2021-12-27,
2021-12-28,
2021-12-29,
2021-12-30,
2021-12-31,
2022-01-01,
2022-01-02,38553.0
2022-01-03,38424.0
2022-01-04,38247.0
2022-01-05,38134.0
2022-01-06,
2022-01-07,
2022-01-08,
2022-01-09,37617.0
2022-01-10,37475.0
2022-01-11,37726.0
2022-01-12,38260.0
2022-01-13,38734.0
2022-01-14,
2022-01-15,
2022-01-16,
