DATE TIME,RDN
2021-08-01,
2021-08-02,
2021-08-03,
2021-08-04,
2021-08-05,
2021-08-06,
2021-08-07,
2021-08-08,
2021-08-09,
2021-08-10,
2021-08-11,
2021-08-12,
2021-08-13,
2021-08-14,
2021-08-15,24271.0
2021-08-16,
2021-08-17,
2021-08-18,
2021-08-19,
2021-08-20,
2021-08-21,
2021-08-22,
2021-08-23,23822.0
2021-08-24,
2021-08-25,
2021-08-26,
2021-08-27,
2021-08-28,
2021-08-29,23948.0
2021-08-30,
2021-08-31,
2021-09-01,
2021-09-02,
2021-09-03,
2021-09-04,
2021-09-05,
2021-09-06,
2021-09-07,
2021-09-08,
2021-09-09,23552.0
2021-09-10,23033.0
2021-09-11,22792.0
2021-09-12,
2021-09-13,23210.0
2021-09-14,23256.0
2021-09-15,
2021-09-16,
2021-09-17,
2021-09-18,17582.0
2021-09-19,17146.0
2021-09-20,14876.0
2021-09-21,13243.0
2021-09-22,12617.0
2021-09-23,12858.0
2021-09-24,12505.0
2021-09-25,11174.0
2021-09-26,10652.0
2021-09-27,10381.0
2021-09-28,10505.0
2021-09-29,10577.0
2021-09-30,10567.0
2021-10-01,10488.0
2021-10-02,10065.0
2021-10-03,9932.0
2021-10-04,9952.0
2021-10-05,10486.0
2021-10-06,10032.0
2021-10-07,9792.0
2021-10-08,9431.0
2021-10-09,9609.0
2021-10-10,9810.0
2021-10-11,10046.0
2021-10-12,10156.0
2021-10-13,10290.0
2021-10-14,10311.0
2021-10-15,10479.0
2021-10-16,9925.0
2021-10-17,9554.0
2021-10-18,9864.0
2021-10-19,9952.0
2021-10-20,10156.0
2021-10-21,9927.0
2021-10-22,10081.0
2021-10-23,10500.0
2021-10-24,10202.0
2021-10-25,13417.0
2021-10-26,13376.0
2021-10-27,13500.0
2021-10-28,13700.0
2021-10-29,15138.0
2021-10-30,17271.0
2021-10-31,19510.0
2021-11-01,20535.0
2021-11-02,
2021-11-03,20456.0
2021-11-04,20369.0
2021-11-05,20323.0
2021-11-06,20831.0
2021-11-07,20644.0
2021-11-08,20806.0
2021-11-09,20233.0
2021-11-10,20363.0
2021-11-11,20485.0
2021-11-12,
2021-11-13,
2021-11-14,
2021-11-15,
2021-11-16,20481.0
2021-11-17,
2021-11-18,
2021-11-19,
2021-11-20,
2021-11-21,
2021-11-22,
2021-11-23,20619.0
2021-11-24,
2021-11-25,20261.0
2021-11-26,
2021-11-27,20338.0
2021-11-28,20187.0
2021-11-29,
2021-11-30,
2021-12-01,
2021-12-02,
2021-12-03,
2021-12-04,
2021-12-05,20304.0
2021-12-06,20703.0
2021-12-07,
2021-12-08,20722.0
2021-12-09,21008.0
2021-12-10,20945.0
2021-12-11,21075.0
2021-12-12,20697.0
2021-12-13,21195.0
2021-12-14,20422.0
2021-12-15,20174.0
2021-12-16,
2021-12-17,20289.0
2021-12-18,
2021-12-19,20211.0
2021-12-20,20951.0
2021-12-21,19887.0
2021-12-22,19148.0
2021-12-23,
2021-12-24,
2021-12-25,
2021-12-26,
2021-12-27,
2021-12-28,
2021-12-29,
2021-12-30,
2021-12-31,
2022-01-01,
2022-01-02,20519.0
2022-01-03,19635.0
2022-01-04,20388.0
2022-01-05,20503.0
2022-01-06,
2022-01-07,
2022-01-08,
2022-01-09,20360.0
2022-01-10,20326.0
2022-01-11,20806.0
2022-01-12,21062.0
2022-01-13,20945.0
2022-01-14,
2022-01-15,
2022-01-16,
