DATE TIME,AGP
2015-01-05,38.0
2015-01-06,40.0
2015-01-07,37.0
2015-01-08,35.0
2015-01-09,33.0
2015-01-10,33.0
2015-01-11,31.0
2015-01-12,30.0
2015-01-13,25.0
2015-01-14,31.0
2015-01-15,33.0
2015-01-16,36.0
2015-01-17,37.0
2015-01-18,36.0
2015-01-19,33.0
2015-01-20,31.0
2015-01-21,28.0
2015-01-22,32.0
2015-01-23,31.0
2015-01-24,36.0
2015-01-25,40.0
2015-01-26,38.0
2015-01-27,29.0
2015-01-28,29.0
2015-01-29,32.0
2015-01-30,28.0
2015-01-31,29.0
2015-02-01,37.0
2015-02-02,36.0
2015-02-03,35.0
2015-02-04,37.0
2015-02-05,38.0
2015-02-06,35.0
2015-02-07,33.0
2015-02-08,34.0
2015-02-09,30.0
2015-02-10,31.0
2015-02-11,38.0
2015-02-12,44.0
2015-02-13,44.0
2015-02-14,40.0
2015-02-15,37.0
2015-02-16,39.0
2015-02-17,40.0
2015-02-18,41.0
2015-02-19,39.0
2015-02-20,38.0
2015-02-21,36.0
2015-02-22,18.0
2015-02-23,15.0
2015-02-24,28.0
2015-02-25,35.0
2015-02-26,33.0
2015-02-27,27.0
2015-02-28,22.0
2015-03-01,20.0
2015-03-02,18.0
2015-03-03,19.0
2015-03-04,25.0
2015-03-05,31.0
2015-03-06,33.0
2015-03-07,37.0
2015-03-08,37.0
2015-03-09,37.0
2015-03-10,38.0
2015-03-11,33.0
2015-03-12,35.0
2015-03-13,41.0
2015-03-14,43.0
2015-03-15,43.0
2015-03-16,38.0
2015-03-17,39.0
2015-03-18,37.0
2015-03-19,38.0
2015-03-20,39.0
2015-03-21,35.0
2015-03-22,34.0
2015-03-23,33.0
2015-03-24,33.0
2015-03-25,38.0
2015-03-26,42.0
2015-03-27,43.0
2015-03-28,43.0
2015-03-29,41.0
2015-03-30,42.0
2015-03-31,38.0
2015-04-01,30.0
2015-04-02,26.0
2015-04-03,31.0
2015-04-04,33.0
2015-04-05,27.0
2015-04-06,26.0
2015-04-07,19.0
2015-04-08,23.0
2015-04-09,29.0
2015-04-10,32.0
2015-04-11,35.0
2015-04-12,40.0
2015-04-13,40.0
2015-04-14,33.0
2015-04-15,29.0
2015-04-16,33.0
2015-04-17,39.0
2015-04-18,41.0
2015-04-19,41.0
2015-04-20,40.0
2015-04-21,39.0
2015-04-22,35.0
2015-04-23,35.0
