DATE TIME,FRT
2015-01-05,48.0
2015-01-06,54.0
2015-01-07,55.0
2015-01-08,55.0
2015-01-09,56.0
2015-01-10,56.0
2015-01-11,55.0
2015-01-12,51.0
2015-01-13,52.0
2015-01-14,52.0
2015-01-15,47.0
2015-01-16,46.0
2015-01-17,47.0
2015-01-18,45.0
2015-01-19,45.0
2015-01-20,46.0
2015-01-21,46.0
2015-01-22,46.0
2015-01-23,42.0
2015-01-24,44.0
2015-01-25,44.0
2015-01-26,51.0
2015-01-27,57.0
2015-01-28,54.0
2015-01-29,68.0
2015-01-30,120.0
2015-01-31,239.0
2015-02-01,103.0
2015-02-02,150.0
2015-02-03,137.0
2015-02-04,64.0
2015-02-05,68.0
2015-02-06,67.0
2015-02-07,60.0
2015-02-08,64.0
2015-02-09,60.0
2015-02-10,50.0
2015-02-11,56.0
2015-02-12,60.0
2015-02-13,61.0
2015-02-14,62.0
2015-02-15,62.0
2015-02-16,63.0
2015-02-17,61.0
2015-02-18,53.0
2015-02-19,57.0
2015-02-20,50.0
2015-02-21,50.0
2015-02-22,50.0
2015-02-23,48.0
2015-02-24,51.0
2015-02-25,54.0
2015-02-26,56.0
2015-02-27,55.0
2015-02-28,53.0
2015-03-01,53.0
2015-03-02,50.0
2015-03-03,53.0
2015-03-04,56.0
2015-03-05,59.0
2015-03-06,59.0
2015-03-07,61.0
2015-03-08,63.0
2015-03-09,65.0
2015-03-10,68.0
2015-03-11,65.0
2015-03-12,59.0
2015-03-13,67.0
2015-03-14,73.0
2015-03-15,75.0
2015-03-16,65.0
2015-03-17,63.0
2015-03-18,64.0
2015-03-19,68.0
2015-03-20,69.0
2015-03-21,65.0
2015-03-22,66.0
2015-03-23,61.0
2015-03-24,60.0
2015-03-25,64.0
2015-03-26,72.0
2015-03-27,76.0
2015-03-28,70.0
2015-03-29,72.0
2015-03-30,75.0
2015-03-31,65.0
2015-04-01,60.0
2015-04-02,59.0
2015-04-03,65.0
2015-04-04,66.0
2015-04-05,57.0
2015-04-06,56.0
2015-04-07,51.0
2015-04-08,56.0
2015-04-09,59.0
2015-04-10,65.0
2015-04-11,65.0
2015-04-12,68.0
2015-04-13,72.0
2015-04-14,60.0
2015-04-15,60.0
2015-04-16,68.0
2015-04-17,72.0
2015-04-18,74.0
2015-04-19,77.0
2015-04-20,74.0
2015-04-21,66.0
2015-04-22,65.0
2015-04-23,67.0
2015-04-24,65.0
2015-04-25,58.0
2015-04-26,63.0
2015-04-27,71.0
2015-04-28,78.0
2015-04-29,77.0
2015-04-30,79.0
2015-05-01,81.0
2015-05-02,79.0
2015-05-03,75.0
2015-05-04,69.0
2015-05-05,67.0
2015-05-06,64.0
2015-05-07,55.0
2015-05-08,57.0
2015-05-09,68.0
2015-05-10,73.0
2015-05-11,71.0
2015-05-12,63.0
2015-05-13,64.0
2015-05-14,58.0
2015-05-15,59.0
2015-05-16,65.0
2015-05-17,65.0
2015-05-18,66.0
2015-05-19,66.0
2015-05-20,68.0
2015-05-21,63.0
2015-05-22,65.0
2015-05-23,68.0
2015-05-24,70.0
2015-05-25,75.0
2015-05-26,72.0
2015-05-27,74.0
2015-05-28,77.0
2015-05-29,81.0
2015-05-30,85.0
2015-05-31,81.0
2015-06-01,73.0
2015-06-02,74.0
2015-06-03,74.0
2015-06-04,71.0
2015-06-05,75.0
2015-06-06,80.0
2015-06-07,85.0
2015-06-08,93.0
2015-06-09,84.0
2015-06-10,81.0
2015-06-11,82.0
2015-06-12,90.0
2015-06-13,91.0
2015-06-14,86.0
2015-06-15,84.0
2015-06-16,83.0
2015-06-17,88.0
2015-06-18,87.0
2015-06-19,83.0
2015-06-20,88.0
2015-06-21,85.0
2015-06-22,81.0
2015-06-23,83.0
2015-06-24,85.0
2015-06-25,92.0
2015-06-26,93.0
2015-06-27,89.0
2015-06-28,85.0
2015-06-29,85.0
2015-06-30,94.0
2015-07-01,91.0
2015-07-02,87.0
2015-07-03,90.0
2015-07-04,90.0
2015-07-05,86.0
2015-07-06,83.0
2015-07-07,81.0
2015-07-08,78.0
2015-07-09,73.0
2015-07-10,74.0
2015-07-11,79.0
2015-07-12,79.0
2015-07-13,82.0
2015-07-14,81.0
2015-07-15,82.0
2015-07-16,87.0
2015-07-17,88.0
2015-07-18,86.0
2015-07-19,82.0
2015-07-20,86.0
2015-07-21,89.0
2015-07-22,84.0
2015-07-23,79.0
2015-07-24,82.0
2015-07-25,83.0
2015-07-26,82.0
2015-07-27,82.0
2015-07-28,88.0
2015-07-29,93.0
2015-07-30,91.0
2015-07-31,93.0
2015-08-01,87.0
