DATE TIME,TMR
2015-01-05,46.0
2015-01-06,48.0
2015-01-07,46.0
2015-01-08,44.0
2015-01-09,41.0
2015-01-10,38.0
2015-01-11,36.0
2015-01-12,34.0
2015-01-13,35.0
2015-01-14,36.0
2015-01-15,41.0
2015-01-16,42.0
2015-01-17,44.0
2015-01-18,44.0
2015-01-19,42.0
2015-01-20,39.0
2015-01-21,38.0
2015-01-22,38.0
2015-01-23,41.0
2015-01-24,47.0
2015-01-25,51.0
2015-01-26,43.0
2015-01-27,33.0
2015-01-28,35.0
2015-01-29,38.0
2015-01-30,36.0
2015-01-31,41.0
2015-02-01,45.0
2015-02-02,44.0
2015-02-03,44.0
2015-02-04,45.0
2015-02-05,44.0
2015-02-06,42.0
2015-02-07,38.0
2015-02-08,38.0
2015-02-09,36.0
2015-02-10,41.0
2015-02-11,46.0
2015-02-12,49.0
2015-02-13,52.0
2015-02-14,47.0
2015-02-15,48.0
2015-02-16,47.0
2015-02-17,46.0
2015-02-18,47.0
2015-02-19,46.0
2015-02-20,44.0
2015-02-21,42.0
2015-02-22,28.0
2015-02-23,25.0
2015-02-24,35.0
2015-02-25,43.0
2015-02-26,40.0
2015-02-27,32.0
2015-02-28,25.0
2015-03-01,26.0
2015-03-02,25.0
2015-03-03,27.0
2015-03-04,33.0
2015-03-05,39.0
2015-03-06,44.0
2015-03-07,46.0
2015-03-08,45.0
2015-03-09,46.0
2015-03-10,45.0
2015-03-11,37.0
2015-03-12,42.0
2015-03-13,45.0
2015-03-14,49.0
2015-03-15,49.0
2015-03-16,46.0
2015-03-17,43.0
2015-03-18,43.0
2015-03-19,47.0
2015-03-20,47.0
2015-03-21,41.0
2015-03-22,40.0
2015-03-23,37.0
2015-03-24,37.0
2015-03-25,44.0
2015-03-26,49.0
2015-03-27,51.0
2015-03-28,49.0
2015-03-29,50.0
2015-03-30,51.0
2015-03-31,44.0
2015-04-01,38.0
2015-04-02,34.0
2015-04-03,39.0
2015-04-04,39.0
2015-04-05,34.0
2015-04-06,30.0
2015-04-07,25.0
2015-04-08,27.0
2015-04-09,36.0
2015-04-10,39.0
2015-04-11,40.0
2015-04-12,47.0
2015-04-13,47.0
2015-04-14,36.0
2015-04-15,41.0
2015-04-16,41.0
2015-04-17,44.0
2015-04-18,48.0
2015-04-19,50.0
2015-04-20,48.0
2015-04-21,46.0
2015-04-22,40.0
2015-04-23,39.0
2015-04-24,36.0
2015-04-25,32.0
2015-04-26,40.0
2015-04-27,49.0
2015-04-28,52.0
2015-04-29,51.0
2015-04-30,53.0
2015-05-01,53.0
2015-05-02,50.0
2015-05-03,47.0
2015-05-04,47.0
2015-05-05,45.0
2015-05-06,41.0
2015-05-07,30.0
2015-05-08,31.0
2015-05-09,40.0
2015-05-10,46.0
2015-05-11,45.0
2015-05-12,41.0
2015-05-13,37.0
2015-05-14,31.0
2015-05-15,32.0
