DATE TIME,VLC
2015-01-05,37.0
2015-01-06,36.0
2015-01-07,34.0
2015-01-08,31.0
2015-01-09,31.0
2015-01-10,29.0
2015-01-11,26.0
2015-01-12,26.0
2015-01-13,27.0
2015-01-14,28.0
2015-01-15,32.0
2015-01-16,32.0
2015-01-17,33.0
2015-01-18,31.0
2015-01-19,30.0
2015-01-20,28.0
2015-01-21,28.0
2015-01-22,29.0
2015-01-23,31.0
2015-01-24,40.0
2015-01-25,42.0
2015-01-26,37.0
2015-01-27,26.0
2015-01-28,27.0
2015-01-29,26.0
2015-01-30,26.0
2015-01-31,32.0
2015-02-01,34.0
2015-02-02,33.0
2015-02-03,32.0
2015-02-04,35.0
2015-02-05,34.0
2015-02-06,35.0
2015-02-07,31.0
2015-02-08,30.0
2015-02-09,27.0
2015-02-10,30.0
2015-02-11,38.0
2015-02-12,44.0
2015-02-13,42.0
2015-02-14,38.0
2015-02-15,36.0
2015-02-16,36.0
2015-02-17,36.0
2015-02-18,37.0
2015-02-19,35.0
2015-02-20,34.0
2015-02-21,33.0
2015-02-22,19.0
2015-02-23,18.0
2015-02-24,31.0
2015-02-25,33.0
2015-02-26,31.0
2015-02-27,22.0
2015-02-28,14.0
2015-03-01,16.0
2015-03-02,15.0
2015-03-03,19.0
2015-03-04,26.0
2015-03-05,29.0
2015-03-06,33.0
2015-03-07,35.0
2015-03-08,36.0
2015-03-09,36.0
2015-03-10,35.0
2015-03-11,29.0
2015-03-12,35.0
2015-03-13,39.0
2015-03-14,42.0
2015-03-15,40.0
2015-03-16,36.0
2015-03-17,35.0
2015-03-18,35.0
2015-03-19,37.0
2015-03-20,37.0
2015-03-21,33.0
2015-03-22,32.0
2015-03-23,30.0
2015-03-24,31.0
2015-03-25,41.0
2015-03-26,41.0
2015-03-27,41.0
2015-03-28,41.0
2015-03-29,41.0
2015-03-30,41.0
2015-03-31,34.0
2015-04-01,29.0
2015-04-02,26.0
2015-04-03,30.0
2015-04-04,31.0
2015-04-05,27.0
2015-04-06,24.0
2015-04-07,17.0
2015-04-08,21.0
2015-04-09,26.0
2015-04-10,30.0
2015-04-11,34.0
2015-04-12,38.0
2015-04-13,39.0
2015-04-14,32.0
2015-04-15,30.0
2015-04-16,34.0
2015-04-17,37.0
2015-04-18,40.0
2015-04-19,39.0
2015-04-20,38.0
2015-04-21,38.0
2015-04-22,32.0
2015-04-23,30.0
2015-04-24,29.0
2015-04-25,25.0
2015-04-26,31.0
2015-04-27,43.0
2015-04-28,41.0
2015-04-29,41.0
2015-04-30,42.0
2015-05-01,42.0
2015-05-02,40.0
2015-05-03,40.0
2015-05-04,37.0
2015-05-05,37.0
2015-05-06,34.0
2015-05-07,25.0
2015-05-08,27.0
2015-05-09,35.0
2015-05-10,39.0
2015-05-11,37.0
2015-05-12,34.0
2015-05-13,31.0
2015-05-14,25.0
2015-05-15,26.0
2015-05-16,33.0
2015-05-17,31.0
2015-05-18,29.0
2015-05-19,32.0
2015-05-20,33.0
2015-05-21,30.0
2015-05-22,32.0
2015-05-23,35.0
2015-05-24,40.0
2015-05-25,40.0
2015-05-26,42.0
2015-05-27,43.0
2015-05-28,45.0
2015-05-29,48.0
2015-05-30,51.0
2015-05-31,50.0
2015-06-01,42.0
2015-06-02,43.0
2015-06-03,43.0
2015-06-04,38.0
2015-06-05,38.0
2015-06-06,41.0
2015-06-07,45.0
2015-06-08,50.0
2015-06-09,47.0
2015-06-10,41.0
2015-06-11,48.0
2015-06-12,50.0
2015-06-13,53.0
2015-06-14,52.0
2015-06-15,51.0
2015-06-16,51.0
2015-06-17,55.0
2015-06-18,53.0
2015-06-19,54.0
2015-06-20,56.0
2015-06-21,53.0
2015-06-22,52.0
2015-06-23,54.0
2015-06-24,57.0
2015-06-25,56.0
2015-06-26,56.0
2015-06-27,58.0
2015-06-28,53.0
2015-06-29,54.0
2015-06-30,55.0
2015-07-01,58.0
2015-07-02,55.0
2015-07-03,56.0
2015-07-04,53.0
2015-07-05,54.0
2015-07-06,52.0
2015-07-07,50.0
2015-07-08,43.0
