DATE TIME,AGP
2015-01-05,55.0
2015-01-06,63.0
2015-01-07,59.0
2015-01-08,55.0
2015-01-09,41.0
2015-01-10,42.0
2015-01-11,51.0
2015-01-12,45.0
2015-01-13,36.0
2015-01-14,51.0
2015-01-15,53.0
2015-01-16,49.0
2015-01-17,58.0
2015-01-18,52.0
2015-01-19,51.0
2015-01-20,45.0
2015-01-21,40.0
2015-01-22,48.0
2015-01-23,43.0
2015-01-24,47.0
2015-01-25,54.0
2015-01-26,51.0
2015-01-27,33.0
2015-01-28,40.0
2015-01-29,45.0
2015-01-30,30.0
2015-01-31,41.0
2015-02-01,55.0
2015-02-02,53.0
2015-02-03,52.0
2015-02-04,53.0
2015-02-05,47.0
2015-02-06,42.0
2015-02-07,36.0
2015-02-08,39.0
2015-02-09,44.0
2015-02-10,56.0
2015-02-11,54.0
2015-02-12,64.0
2015-02-13,66.0
2015-02-14,59.0
2015-02-15,48.0
2015-02-16,57.0
2015-02-17,60.0
2015-02-18,61.0
2015-02-19,58.0
2015-02-20,59.0
2015-02-21,53.0
2015-02-22,21.0
2015-02-23,25.0
2015-02-24,49.0
2015-02-25,50.0
2015-02-26,43.0
2015-02-27,37.0
2015-02-28,36.0
2015-03-01,25.0
2015-03-02,31.0
2015-03-03,36.0
2015-03-04,42.0
2015-03-05,54.0
2015-03-06,52.0
2015-03-07,59.0
2015-03-08,55.0
2015-03-09,52.0
2015-03-10,54.0
2015-03-11,40.0
2015-03-12,46.0
2015-03-13,58.0
2015-03-14,61.0
2015-03-15,54.0
2015-03-16,52.0
2015-03-17,51.0
2015-03-18,47.0
2015-03-19,58.0
2015-03-20,51.0
2015-03-21,49.0
2015-03-22,43.0
2015-03-23,46.0
2015-03-24,50.0
2015-03-25,54.0
2015-03-26,64.0
2015-03-27,59.0
2015-03-28,60.0
2015-03-29,59.0
2015-03-30,60.0
2015-03-31,50.0
2015-04-01,44.0
2015-04-02,38.0
2015-04-03,47.0
2015-04-04,46.0
2015-04-05,33.0
2015-04-06,34.0
2015-04-07,22.0
2015-04-08,41.0
2015-04-09,51.0
2015-04-10,51.0
2015-04-11,52.0
2015-04-12,59.0
2015-04-13,53.0
2015-04-14,45.0
2015-04-15,42.0
2015-04-16,49.0
2015-04-17,57.0
2015-04-18,58.0
2015-04-19,54.0
2015-04-20,51.0
2015-04-21,51.0
2015-04-22,43.0
2015-04-23,47.0
2015-04-24,37.0
2015-04-25,40.0
2015-04-26,48.0
2015-04-27,56.0
2015-04-28,61.0
2015-04-29,60.0
2015-04-30,61.0
2015-05-01,62.0
2015-05-02,58.0
2015-05-03,58.0
2015-05-04,50.0
2015-05-05,50.0
2015-05-06,50.0
2015-05-07,36.0
2015-05-08,46.0
2015-05-09,53.0
2015-05-10,61.0
2015-05-11,51.0
2015-05-12,45.0
2015-05-13,42.0
2015-05-14,35.0
2015-05-15,39.0
2015-05-16,48.0
2015-05-17,42.0
2015-05-18,42.0
2015-05-19,44.0
2015-05-20,46.0
2015-05-21,46.0
2015-05-22,42.0
2015-05-23,46.0
2015-05-24,52.0
2015-05-25,56.0
2015-05-26,62.0
2015-05-27,60.0
2015-05-28,61.0
2015-05-29,67.0
2015-05-30,67.0
2015-05-31,66.0
2015-06-01,56.0
2015-06-02,64.0
2015-06-03,57.0
2015-06-04,49.0
2015-06-05,46.0
2015-06-06,55.0
2015-06-07,59.0
2015-06-08,69.0
2015-06-09,67.0
2015-06-10,51.0
2015-06-11,58.0
2015-06-12,67.0
2015-06-13,72.0
2015-06-14,70.0
2015-06-15,69.0
2015-06-16,72.0
2015-06-17,75.0
2015-06-18,71.0
2015-06-19,76.0
2015-06-20,73.0
2015-06-21,65.0
2015-06-22,74.0
2015-06-23,76.0
2015-06-24,78.0
2015-06-25,77.0
2015-06-26,74.0
2015-06-27,75.0
2015-06-28,69.0
2015-06-29,73.0
2015-06-30,74.0
2015-07-01,72.0
2015-07-02,69.0
2015-07-03,75.0
2015-07-04,69.0
2015-07-05,70.0
2015-07-06,69.0
2015-07-07,65.0
2015-07-08,57.0
2015-07-09,47.0
2015-07-10,52.0
2015-07-11,61.0
2015-07-12,62.0
2015-07-13,68.0
2015-07-14,68.0
2015-07-15,72.0
2015-07-16,74.0
2015-07-17,69.0
2015-07-18,66.0
2015-07-19,61.0
2015-07-20,63.0
2015-07-21,61.0
2015-07-22,64.0
2015-07-23,64.0
2015-07-24,65.0
2015-07-25,69.0
2015-07-26,69.0
2015-07-27,70.0
2015-07-28,73.0
2015-07-29,72.0
2015-07-30,68.0
2015-07-31,68.0
2015-08-01,68.0
2015-08-02,72.0
2015-08-03,69.0
2015-08-04,67.0
2015-08-05,71.0
2015-08-06,65.0
2015-08-07,63.0
2015-08-08,63.0
2015-08-09,70.0
2015-08-10,66.0
2015-08-11,67.0
2015-08-12,67.0
2015-08-13,70.0
2015-08-14,70.0
2015-08-15,76.0
2015-08-16,79.0
2015-08-17,78.0
2015-08-18,80.0
2015-08-19,76.0
2015-08-20,78.0
2015-08-21,77.0
2015-08-22,74.0
2015-08-23,73.0
2015-08-24,75.0
2015-08-25,72.0
2015-08-26,73.0
2015-08-27,72.0
2015-08-28,71.0
2015-08-29,65.0
2015-08-30,69.0
2015-08-31,72.0
2015-09-01,69.0
2015-09-02,68.0
2015-09-03,60.0
2015-09-04,55.0
2015-09-05,64.0
2015-09-06,66.0
2015-09-07,72.0
2015-09-08,72.0
2015-09-09,75.0
2015-09-10,70.0
2015-09-11,74.0
2015-09-12,69.0
2015-09-13,66.0
2015-09-14,53.0
2015-09-15,48.0
2015-09-16,50.0
2015-09-17,63.0
