DATE TIME,BDM
2015-01-05,67.0
2015-01-06,72.0
2015-01-07,74.0
2015-01-08,72.0
2015-01-09,59.0
2015-01-10,58.0
2015-01-11,54.0
2015-01-12,50.0
2015-01-13,51.0
2015-01-14,58.0
2015-01-15,62.0
2015-01-16,64.0
2015-01-17,67.0
2015-01-18,69.0
2015-01-19,64.0
2015-01-20,56.0
2015-01-21,62.0
2015-01-22,61.0
2015-01-23,60.0
2015-01-24,67.0
2015-01-25,75.0
2015-01-26,64.0
2015-01-27,47.0
2015-01-28,58.0
2015-01-29,61.0
2015-01-30,53.0
2015-01-31,57.0
2015-02-01,65.0
2015-02-02,67.0
2015-02-03,71.0
2015-02-04,74.0
2015-02-05,69.0
2015-02-06,61.0
2015-02-07,52.0
2015-02-08,52.0
2015-02-09,56.0
2015-02-10,58.0
2015-02-11,69.0
2015-02-12,68.0
2015-02-13,74.0
2015-02-14,73.0
2015-02-15,68.0
2015-02-16,71.0
2015-02-17,67.0
2015-02-18,69.0
2015-02-19,68.0
2015-02-20,62.0
2015-02-21,60.0
2015-02-22,40.0
2015-02-23,41.0
2015-02-24,50.0
2015-02-25,58.0
2015-02-26,49.0
2015-02-27,47.0
2015-02-28,42.0
2015-03-01,50.0
2015-03-02,40.0
2015-03-03,47.0
2015-03-04,51.0
2015-03-05,65.0
2015-03-06,63.0
2015-03-07,67.0
2015-03-08,68.0
2015-03-09,67.0
2015-03-10,72.0
2015-03-11,55.0
2015-03-12,61.0
2015-03-13,72.0
2015-03-14,76.0
2015-03-15,75.0
2015-03-16,71.0
2015-03-17,63.0
2015-03-18,56.0
2015-03-19,68.0
2015-03-20,71.0
2015-03-21,67.0
2015-03-22,62.0
2015-03-23,59.0
2015-03-24,58.0
2015-03-25,65.0
2015-03-26,77.0
2015-03-27,78.0
2015-03-28,74.0
2015-03-29,72.0
2015-03-30,75.0
2015-03-31,66.0
2015-04-01,58.0
2015-04-02,60.0
2015-04-03,66.0
2015-04-04,67.0
2015-04-05,55.0
2015-04-06,52.0
2015-04-07,38.0
2015-04-08,46.0
2015-04-09,58.0
2015-04-10,64.0
2015-04-11,68.0
2015-04-12,69.0
2015-04-13,75.0
2015-04-14,58.0
2015-04-15,62.0
2015-04-16,68.0
2015-04-17,70.0
2015-04-18,73.0
2015-04-19,77.0
2015-04-20,76.0
2015-04-21,63.0
2015-04-22,56.0
2015-04-23,60.0
2015-04-24,59.0
2015-04-25,50.0
2015-04-26,58.0
2015-04-27,69.0
2015-04-28,78.0
2015-04-29,77.0
2015-04-30,78.0
2015-05-01,78.0
2015-05-02,77.0
2015-05-03,75.0
2015-05-04,67.0
2015-05-05,70.0
2015-05-06,63.0
2015-05-07,47.0
2015-05-08,43.0
2015-05-09,62.0
2015-05-10,72.0
2015-05-11,70.0
2015-05-12,62.0
2015-05-13,60.0
2015-05-14,47.0
2015-05-15,48.0
2015-05-16,62.0
2015-05-17,60.0
2015-05-18,60.0
2015-05-19,62.0
2015-05-20,67.0
2015-05-21,49.0
2015-05-22,49.0
2015-05-23,59.0
2015-05-24,68.0
2015-05-25,73.0
2015-05-26,72.0
2015-05-27,76.0
2015-05-28,74.0
2015-05-29,82.0
2015-05-30,85.0
2015-05-31,86.0
2015-06-01,73.0
2015-06-02,72.0
2015-06-03,74.0
2015-06-04,69.0
2015-06-05,72.0
2015-06-06,76.0
2015-06-07,83.0
