DATE TIME,HNT
2015-01-05,61.0
2015-01-06,65.0
2015-01-07,62.0
2015-01-08,57.0
2015-01-09,50.0
2015-01-10,50.0
2015-01-11,44.0
2015-01-12,44.0
2015-01-13,46.0
2015-01-14,47.0
2015-01-15,53.0
2015-01-16,56.0
2015-01-17,61.0
2015-01-18,58.0
2015-01-19,54.0
2015-01-20,49.0
2015-01-21,52.0
2015-01-22,48.0
2015-01-23,53.0
2015-01-24,62.0
2015-01-25,67.0
2015-01-26,58.0
2015-01-27,39.0
2015-01-28,46.0
2015-01-29,49.0
2015-01-30,45.0
2015-01-31,51.0
2015-02-01,58.0
2015-02-02,57.0
2015-02-03,60.0
2015-02-04,59.0
2015-02-05,57.0
2015-02-06,52.0
2015-02-07,44.0
2015-02-08,48.0
2015-02-09,48.0
2015-02-10,58.0
2015-02-11,59.0
2015-02-12,62.0
2015-02-13,64.0
2015-02-14,61.0
2015-02-15,61.0
2015-02-16,60.0
2015-02-17,58.0
2015-02-18,61.0
2015-02-19,59.0
2015-02-20,58.0
2015-02-21,53.0
2015-02-22,33.0
2015-02-23,34.0
2015-02-24,49.0
2015-02-25,58.0
2015-02-26,50.0
2015-02-27,37.0
2015-02-28,39.0
2015-03-01,36.0
2015-03-02,33.0
2015-03-03,39.0
2015-03-04,47.0
2015-03-05,54.0
2015-03-06,58.0
2015-03-07,59.0
2015-03-08,55.0
2015-03-09,57.0
2015-03-10,59.0
2015-03-11,42.0
2015-03-12,55.0
2015-03-13,59.0
2015-03-14,62.0
2015-03-15,61.0
2015-03-16,58.0
2015-03-17,51.0
2015-03-18,51.0
2015-03-19,60.0
2015-03-20,60.0
2015-03-21,54.0
2015-03-22,50.0
2015-03-23,46.0
2015-03-24,46.0
2015-03-25,58.0
2015-03-26,61.0
2015-03-27,65.0
2015-03-28,62.0
2015-03-29,63.0
2015-03-30,64.0
2015-03-31,57.0
2015-04-01,49.0
2015-04-02,47.0
2015-04-03,52.0
2015-04-04,52.0
2015-04-05,44.0
2015-04-06,37.0
2015-04-07,29.0
2015-04-08,39.0
2015-04-09,49.0
2015-04-10,51.0
2015-04-11,52.0
2015-04-12,59.0
2015-04-13,61.0
2015-04-14,43.0
2015-04-15,50.0
2015-04-16,55.0
2015-04-17,58.0
2015-04-18,61.0
2015-04-19,63.0
2015-04-20,64.0
2015-04-21,60.0
2015-04-22,51.0
2015-04-23,49.0
2015-04-24,46.0
2015-04-25,42.0
2015-04-26,50.0
2015-04-27,60.0
2015-04-28,64.0
2015-04-29,64.0
2015-04-30,66.0
2015-05-01,66.0
2015-05-02,63.0
2015-05-03,64.0
2015-05-04,56.0
2015-05-05,58.0
2015-05-06,52.0
2015-05-07,43.0
2015-05-08,35.0
2015-05-09,52.0
2015-05-10,59.0
2015-05-11,57.0
2015-05-12,50.0
2015-05-13,45.0
2015-05-14,36.0
2015-05-15,36.0
2015-05-16,46.0
2015-05-17,50.0
2015-05-18,47.0
2015-05-19,50.0
2015-05-20,50.0
2015-05-21,46.0
2015-05-22,40.0
2015-05-23,44.0
2015-05-24,55.0
2015-05-25,60.0
2015-05-26,61.0
2015-05-27,64.0
2015-05-28,67.0
2015-05-29,71.0
2015-05-30,74.0
2015-05-31,72.0
2015-06-01,62.0
2015-06-02,63.0
2015-06-03,61.0
2015-06-04,57.0
2015-06-05,61.0
2015-06-06,62.0
2015-06-07,70.0
2015-06-08,77.0
2015-06-09,74.0
2015-06-10,57.0
2015-06-11,65.0
2015-06-12,73.0
2015-06-13,78.0
2015-06-14,79.0
2015-06-15,76.0
2015-06-16,76.0
2015-06-17,78.0
2015-06-18,78.0
2015-06-19,77.0
2015-06-20,78.0
2015-06-21,75.0
2015-06-22,74.0
2015-06-23,74.0
2015-06-24,77.0
2015-06-25,82.0
2015-06-26,83.0
2015-06-27,80.0
2015-06-28,78.0
2015-06-29,80.0
2015-06-30,83.0
2015-07-01,81.0
2015-07-02,73.0
2015-07-03,78.0
2015-07-04,79.0
2015-07-05,76.0
2015-07-06,73.0
2015-07-07,72.0
2015-07-08,65.0
2015-07-09,57.0
2015-07-10,57.0
2015-07-11,67.0
2015-07-12,68.0
2015-07-13,70.0
2015-07-14,71.0
2015-07-15,73.0
2015-07-16,77.0
2015-07-17,79.0
2015-07-18,76.0
2015-07-19,74.0
2015-07-20,67.0
2015-07-21,73.0
2015-07-22,68.0
2015-07-23,69.0
2015-07-24,70.0
2015-07-25,72.0
2015-07-26,70.0
2015-07-27,74.0
2015-07-28,79.0
2015-07-29,83.0
2015-07-30,82.0
2015-07-31,83.0
2015-08-01,79.0
2015-08-02,79.0
2015-08-03,74.0
2015-08-04,71.0
2015-08-05,73.0
2015-08-06,77.0
2015-08-07,68.0
2015-08-08,70.0
2015-08-09,74.0
2015-08-10,71.0
2015-08-11,72.0
2015-08-12,76.0
2015-08-13,79.0
2015-08-14,79.0
2015-08-15,81.0
2015-08-16,83.0
2015-08-17,85.0
2015-08-18,81.0
2015-08-19,79.0
2015-08-20,78.0
2015-08-21,74.0
2015-08-22,75.0
2015-08-23,76.0
2015-08-24,78.0
2015-08-25,78.0
2015-08-26,78.0
2015-08-27,78.0
2015-08-28,79.0
2015-08-29,72.0
2015-08-30,69.0
2015-08-31,72.0
2015-09-01,73.0
2015-09-02,69.0
2015-09-03,66.0
2015-09-04,61.0
2015-09-05,64.0
2015-09-06,70.0
2015-09-07,72.0
2015-09-08,77.0
2015-09-09,82.0
2015-09-10,81.0
2015-09-11,83.0
2015-09-12,79.0
2015-09-13,71.0
2015-09-14,60.0
2015-09-15,56.0
2015-09-16,54.0
2015-09-17,57.0
2015-09-18,69.0
2015-09-19,73.0
2015-09-20,79.0
2015-09-21,78.0
2015-09-22,75.0
2015-09-23,72.0
2015-09-24,78.0
2015-09-25,77.0
2015-09-26,75.0
2015-09-27,70.0
2015-09-28,67.0
2015-09-29,69.0
2015-09-30,66.0
2015-10-01,54.0
2015-10-02,59.0
2015-10-03,62.0
2015-10-04,52.0
2015-10-05,53.0
2015-10-06,59.0
2015-10-07,66.0
2015-10-08,71.0
2015-10-09,78.0
2015-10-10,75.0
2015-10-11,73.0
2015-10-12,75.0
2015-10-13,74.0
2015-10-14,70.0
2015-10-15,66.0
2015-10-16,65.0
2015-10-17,52.0
2015-10-18,50.0
2015-10-19,47.0
2015-10-20,55.0
2015-10-21,56.0
2015-10-22,58.0
2015-10-23,60.0
2015-10-24,60.0
2015-10-25,60.0
2015-10-26,63.0
2015-10-27,60.0
2015-10-28,49.0
2015-10-29,55.0
2015-10-30,67.0
2015-10-31,67.0
2015-11-01,60.0
2015-11-02,43.0
2015-11-03,36.0
2015-11-04,39.0
2015-11-05,48.0
2015-11-06,54.0
2015-11-07,59.0
2015-11-08,51.0
2015-11-09,34.0
2015-11-10,32.0
2015-11-11,51.0
2015-11-12,57.0
2015-11-13,58.0
2015-11-14,55.0
2015-11-15,34.0
2015-11-16,36.0
2015-11-17,53.0
2015-11-18,58.0
2015-11-19,62.0
2015-11-20,63.0
2015-11-21,60.0
2015-11-22,60.0
2015-11-23,53.0
2015-11-24,44.0
2015-11-25,25.0
2015-11-26,32.0
2015-11-27,32.0
2015-11-28,33.0
2015-11-29,38.0
2015-11-30,48.0
2015-12-01,49.0
2015-12-02,56.0
2015-12-03,50.0
2015-12-04,38.0
2015-12-05,55.0
2015-12-06,54.0
2015-12-07,54.0
2015-12-08,58.0
2015-12-09,60.0
2015-12-10,43.0
2015-12-11,31.0
2015-12-12,33.0
2015-12-13,33.0
2015-12-14,25.0
2015-12-15,29.0
2015-12-16,38.0
2015-12-17,45.0
2015-12-18,50.0
2015-12-19,34.0
2015-12-20,39.0
2015-12-21,36.0
2015-12-22,38.0
2015-12-23,32.0
2015-12-24,24.0
2015-12-25,24.0
2015-12-26,34.0
2015-12-27,38.0
2015-12-28,27.0
2015-12-29,33.0
2015-12-30,38.0
2015-12-31,36.0
2016-01-01,34.0
2016-01-02,41.0
2016-01-03,51.0
2016-01-04,39.0
2016-01-05,33.0
2016-01-06,29.0
2016-01-07,32.0
2016-01-08,33.0
2016-01-09,39.0
2016-01-10,36.0
2016-01-11,41.0
2016-01-12,55.0
2016-01-13,42.0
2016-01-14,43.0
2016-01-15,41.0
2016-01-16,50.0
2016-01-17,49.0
2016-01-18,46.0
2016-01-19,38.0
2016-01-20,51.0
2016-01-21,55.0
2016-01-22,40.0
2016-01-23,36.0
2016-01-24,38.0
2016-01-25,50.0
2016-01-26,52.0
2016-01-27,54.0
2016-01-28,55.0
2016-01-29,50.0
2016-01-30,38.0
2016-01-31,30.0
2016-02-01,30.0
2016-02-02,33.0
2016-02-03,43.0
2016-02-04,47.0
2016-02-05,52.0
2016-02-06,57.0
2016-02-07,64.0
2016-02-08,69.0
2016-02-09,70.0
2016-02-10,68.0
2016-02-11,63.0
2016-02-12,61.0
2016-02-13,64.0
2016-02-14,68.0
2016-02-15,63.0
2016-02-16,68.0
2016-02-17,42.0
2016-02-18,40.0
2016-02-19,55.0
2016-02-20,57.0
2016-02-21,57.0
2016-02-22,54.0
2016-02-23,59.0
2016-02-24,60.0
2016-02-25,60.0
2016-02-26,61.0
2016-02-27,59.0
2016-02-28,56.0
2016-02-29,59.0
2016-03-01,59.0
2016-03-02,61.0
2016-03-03,56.0
2016-03-04,55.0
2016-03-05,42.0
2016-03-06,37.0
2016-03-07,34.0
2016-03-08,52.0
2016-03-09,59.0
2016-03-10,60.0
2016-03-11,42.0
2016-03-12,46.0
2016-03-13,37.0
2016-03-14,55.0
2016-03-15,58.0
2016-03-16,61.0
2016-03-17,61.0
2016-03-18,62.0
2016-03-19,59.0
2016-03-20,56.0
2016-03-21,47.0
2016-03-22,40.0
2016-03-23,49.0
2016-03-24,51.0
2016-03-25,54.0
2016-03-26,53.0
2016-03-27,54.0
2016-03-28,37.0
2016-03-29,32.0
2016-03-30,42.0
2016-03-31,46.0
2016-04-01,55.0
2016-04-02,60.0
2016-04-03,59.0
2016-04-04,57.0
2016-04-05,66.0
2016-04-06,70.0
2016-04-07,57.0
2016-04-08,53.0
2016-04-09,40.0
2016-04-10,49.0
2016-04-11,46.0
2016-04-12,50.0
2016-04-13,48.0
2016-04-14,46.0
2016-04-15,53.0
2016-04-16,61.0
2016-04-17,60.0
2016-04-18,63.0
2016-04-19,64.0
2016-04-20,60.0
2016-04-21,61.0
2016-04-22,50.0
2016-04-23,51.0
2016-04-24,43.0
2016-04-25,34.0
2016-04-26,44.0
2016-04-27,45.0
2016-04-28,47.0
2016-04-29,49.0
2016-04-30,59.0
2016-05-01,54.0
2016-05-02,59.0
2016-05-03,59.0
2016-05-04,59.0
2016-05-05,45.0
2016-05-06,42.0
2016-05-07,39.0
2016-05-08,45.0
2016-05-09,56.0
2016-05-10,61.0
2016-05-11,65.0
2016-05-12,69.0
2016-05-13,69.0
2016-05-14,57.0
2016-05-15,54.0
2016-05-16,54.0
2016-05-17,65.0
2016-05-18,66.0
2016-05-19,63.0
2016-05-20,45.0
2016-05-21,41.0
2016-05-22,48.0
2016-05-23,50.0
2016-05-24,45.0
2016-05-25,47.0
2016-05-26,50.0
2016-05-27,62.0
2016-05-28,62.0
2016-05-29,67.0
2016-05-30,69.0
2016-05-31,74.0
2016-06-01,76.0
2016-06-02,76.0
2016-06-03,77.0
2016-06-04,79.0
2016-06-05,75.0
2016-06-06,75.0
2016-06-07,76.0
2016-06-08,74.0
2016-06-09,70.0
2016-06-10,65.0
2016-06-11,67.0
2016-06-12,58.0
2016-06-13,64.0
2016-06-14,59.0
2016-06-15,54.0
2016-06-16,56.0
2016-06-17,63.0
2016-06-18,67.0
2016-06-19,76.0
2016-06-20,81.0
2016-06-21,80.0
2016-06-22,79.0
2016-06-23,78.0
2016-06-24,74.0
2016-06-25,76.0
2016-06-26,81.0
2016-06-27,84.0
2016-06-28,81.0
2016-06-29,82.0
2016-06-30,83.0
2016-07-01,81.0
2016-07-02,79.0
2016-07-03,78.0
2016-07-04,76.0
2016-07-05,74.0
2016-07-06,73.0
2016-07-07,71.0
2016-07-08,70.0
