DATE TIME,TMR
2015-01-05,61.0
2015-01-06,64.0
2015-01-07,61.0
2015-01-08,58.0
2015-01-09,48.0
2015-01-10,49.0
2015-01-11,46.0
2015-01-12,43.0
2015-01-13,47.0
2015-01-14,49.0
2015-01-15,57.0
2015-01-16,53.0
2015-01-17,60.0
2015-01-18,58.0
2015-01-19,54.0
2015-01-20,49.0
2015-01-21,52.0
2015-01-22,51.0
2015-01-23,55.0
2015-01-24,62.0
2015-01-25,64.0
2015-01-26,57.0
2015-01-27,37.0
2015-01-28,49.0
2015-01-29,48.0
2015-01-30,46.0
2015-01-31,52.0
2015-02-01,59.0
2015-02-02,55.0
2015-02-03,56.0
2015-02-04,58.0
2015-02-05,55.0
2015-02-06,49.0
2015-02-07,43.0
2015-02-08,43.0
2015-02-09,47.0
2015-02-10,52.0
2015-02-11,58.0
2015-02-12,61.0
2015-02-13,64.0
2015-02-14,58.0
2015-02-15,60.0
2015-02-16,59.0
2015-02-17,58.0
2015-02-18,61.0
2015-02-19,58.0
2015-02-20,57.0
2015-02-21,54.0
2015-02-22,32.0
2015-02-23,33.0
2015-02-24,49.0
2015-02-25,57.0
2015-02-26,50.0
2015-02-27,38.0
2015-02-28,32.0
2015-03-01,38.0
2015-03-02,33.0
2015-03-03,39.0
2015-03-04,46.0
2015-03-05,52.0
2015-03-06,58.0
2015-03-07,58.0
2015-03-08,55.0
2015-03-09,58.0
2015-03-10,56.0
2015-03-11,41.0
2015-03-12,53.0
2015-03-13,58.0
2015-03-14,60.0
2015-03-15,59.0
2015-03-16,58.0
2015-03-17,53.0
2015-03-18,55.0
2015-03-19,59.0
2015-03-20,60.0
2015-03-21,52.0
2015-03-22,49.0
2015-03-23,47.0
2015-03-24,46.0
2015-03-25,58.0
2015-03-26,59.0
2015-03-27,65.0
2015-03-28,63.0
2015-03-29,61.0
2015-03-30,63.0
2015-03-31,56.0
2015-04-01,50.0
2015-04-02,45.0
2015-04-03,50.0
2015-04-04,51.0
2015-04-05,43.0
2015-04-06,34.0
2015-04-07,28.0
2015-04-08,40.0
2015-04-09,48.0
2015-04-10,50.0
2015-04-11,50.0
2015-04-12,60.0
2015-04-13,58.0
2015-04-14,42.0
2015-04-15,52.0
2015-04-16,52.0
2015-04-17,57.0
2015-04-18,61.0
2015-04-19,63.0
2015-04-20,63.0
2015-04-21,57.0
2015-04-22,49.0
2015-04-23,51.0
2015-04-24,42.0
2015-04-25,39.0
2015-04-26,51.0
2015-04-27,61.0
2015-04-28,61.0
2015-04-29,62.0
2015-04-30,63.0
2015-05-01,63.0
2015-05-02,62.0
2015-05-03,58.0
2015-05-04,58.0
2015-05-05,57.0
2015-05-06,52.0
2015-05-07,39.0
2015-05-08,38.0
2015-05-09,51.0
2015-05-10,56.0
2015-05-11,56.0
2015-05-12,50.0
2015-05-13,43.0
2015-05-14,33.0
2015-05-15,36.0
2015-05-16,47.0
2015-05-17,49.0
2015-05-18,43.0
2015-05-19,46.0
2015-05-20,51.0
2015-05-21,45.0
2015-05-22,40.0
2015-05-23,46.0
2015-05-24,54.0
2015-05-25,58.0
2015-05-26,60.0
2015-05-27,63.0
2015-05-28,67.0
2015-05-29,71.0
2015-05-30,75.0
2015-05-31,71.0
2015-06-01,62.0
2015-06-02,61.0
2015-06-03,61.0
2015-06-04,57.0
2015-06-05,60.0
2015-06-06,61.0
2015-06-07,67.0
2015-06-08,74.0
2015-06-09,72.0
2015-06-10,55.0
2015-06-11,64.0
2015-06-12,70.0
2015-06-13,74.0
2015-06-14,75.0
2015-06-15,75.0
2015-06-16,74.0
2015-06-17,77.0
2015-06-18,76.0
2015-06-19,77.0
2015-06-20,79.0
2015-06-21,73.0
2015-06-22,73.0
2015-06-23,73.0
2015-06-24,76.0
2015-06-25,81.0
2015-06-26,81.0
2015-06-27,78.0
2015-06-28,79.0
2015-06-29,78.0
2015-06-30,81.0
2015-07-01,78.0
2015-07-02,72.0
2015-07-03,75.0
2015-07-04,78.0
2015-07-05,76.0
2015-07-06,75.0
2015-07-07,72.0
2015-07-08,61.0
2015-07-09,55.0
2015-07-10,57.0
2015-07-11,64.0
2015-07-12,68.0
2015-07-13,70.0
2015-07-14,69.0
2015-07-15,71.0
2015-07-16,74.0
2015-07-17,75.0
2015-07-18,72.0
2015-07-19,71.0
2015-07-20,61.0
2015-07-21,69.0
2015-07-22,67.0
2015-07-23,67.0
2015-07-24,66.0
2015-07-25,70.0
2015-07-26,70.0
2015-07-27,69.0
2015-07-28,76.0
2015-07-29,80.0
2015-07-30,82.0
2015-07-31,80.0
2015-08-01,77.0
2015-08-02,76.0
2015-08-03,74.0
2015-08-04,70.0
2015-08-05,74.0
2015-08-06,74.0
2015-08-07,66.0
2015-08-08,69.0
2015-08-09,74.0
2015-08-10,72.0
2015-08-11,70.0
2015-08-12,73.0
2015-08-13,77.0
2015-08-14,76.0
2015-08-15,81.0
2015-08-16,81.0
2015-08-17,80.0
2015-08-18,79.0
2015-08-19,78.0
2015-08-20,79.0
2015-08-21,75.0
2015-08-22,74.0
2015-08-23,77.0
2015-08-24,77.0
2015-08-25,76.0
2015-08-26,75.0
2015-08-27,76.0
2015-08-28,77.0
2015-08-29,72.0
2015-08-30,70.0
2015-08-31,71.0
2015-09-01,72.0
2015-09-02,68.0
2015-09-03,64.0
2015-09-04,60.0
2015-09-05,62.0
2015-09-06,69.0
2015-09-07,72.0
2015-09-08,76.0
2015-09-09,77.0
2015-09-10,78.0
2015-09-11,82.0
2015-09-12,79.0
2015-09-13,72.0
2015-09-14,57.0
2015-09-15,56.0
2015-09-16,52.0
2015-09-17,59.0
2015-09-18,68.0
2015-09-19,73.0
2015-09-20,75.0
2015-09-21,74.0
2015-09-22,70.0
2015-09-23,73.0
2015-09-24,76.0
2015-09-25,75.0
2015-09-26,73.0
2015-09-27,69.0
2015-09-28,67.0
2015-09-29,70.0
2015-09-30,67.0
2015-10-01,54.0
2015-10-02,60.0
2015-10-03,60.0
2015-10-04,50.0
2015-10-05,50.0
2015-10-06,57.0
2015-10-07,65.0
2015-10-08,70.0
2015-10-09,76.0
2015-10-10,71.0
2015-10-11,68.0
2015-10-12,74.0
2015-10-13,72.0
2015-10-14,69.0
2015-10-15,62.0
2015-10-16,62.0
2015-10-17,52.0
2015-10-18,49.0
2015-10-19,48.0
2015-10-20,55.0
2015-10-21,56.0
2015-10-22,57.0
2015-10-23,59.0
2015-10-24,61.0
2015-10-25,58.0
2015-10-26,63.0
2015-10-27,60.0
2015-10-28,50.0
2015-10-29,51.0
2015-10-30,63.0
2015-10-31,66.0
2015-11-01,59.0
2015-11-02,44.0
2015-11-03,43.0
2015-11-04,34.0
2015-11-05,48.0
2015-11-06,51.0
2015-11-07,57.0
2015-11-08,52.0
2015-11-09,31.0
2015-11-10,33.0
2015-11-11,50.0
2015-11-12,54.0
2015-11-13,56.0
2015-11-14,54.0
2015-11-15,33.0
2015-11-16,37.0
2015-11-17,52.0
2015-11-18,58.0
2015-11-19,63.0
2015-11-20,65.0
2015-11-21,59.0
2015-11-22,60.0
2015-11-23,52.0
2015-11-24,41.0
2015-11-25,26.0
2015-11-26,32.0
2015-11-27,30.0
2015-11-28,32.0
2015-11-29,41.0
2015-11-30,46.0
2015-12-01,48.0
2015-12-02,54.0
2015-12-03,48.0
2015-12-04,41.0
2015-12-05,52.0
2015-12-06,54.0
2015-12-07,59.0
2015-12-08,58.0
2015-12-09,59.0
2015-12-10,41.0
2015-12-11,29.0
2015-12-12,37.0
2015-12-13,34.0
2015-12-14,27.0
2015-12-15,33.0
2015-12-16,42.0
2015-12-17,48.0
2015-12-18,49.0
2015-12-19,33.0
2015-12-20,34.0
2015-12-21,35.0
2015-12-22,38.0
2015-12-23,36.0
2015-12-24,22.0
2015-12-25,26.0
2015-12-26,34.0
2015-12-27,41.0
2015-12-28,26.0
2015-12-29,35.0
2015-12-30,39.0
2015-12-31,37.0
2016-01-01,32.0
2016-01-02,38.0
2016-01-03,47.0
2016-01-04,40.0
2016-01-05,31.0
2016-01-06,28.0
2016-01-07,31.0
2016-01-08,35.0
2016-01-09,36.0
2016-01-10,37.0
2016-01-11,43.0
2016-01-12,51.0
2016-01-13,39.0
2016-01-14,46.0
2016-01-15,42.0
2016-01-16,45.0
2016-01-17,48.0
2016-01-18,42.0
2016-01-19,37.0
2016-01-20,52.0
2016-01-21,52.0
2016-01-22,41.0
2016-01-23,33.0
2016-01-24,39.0
2016-01-25,45.0
2016-01-26,55.0
2016-01-27,57.0
2016-01-28,58.0
2016-01-29,48.0
2016-01-30,39.0
2016-01-31,30.0
2016-02-01,29.0
2016-02-02,30.0
2016-02-03,43.0
2016-02-04,45.0
2016-02-05,48.0
2016-02-06,55.0
2016-02-07,62.0
2016-02-08,65.0
2016-02-09,64.0
2016-02-10,66.0
2016-02-11,61.0
2016-02-12,60.0
2016-02-13,58.0
2016-02-14,59.0
2016-02-15,62.0
2016-02-16,63.0
2016-02-17,45.0
2016-02-18,34.0
2016-02-19,48.0
2016-02-20,56.0
2016-02-21,55.0
2016-02-22,54.0
2016-02-23,60.0
2016-02-24,57.0
2016-02-25,60.0
2016-02-26,59.0
2016-02-27,55.0
2016-02-28,55.0
2016-02-29,57.0
2016-03-01,58.0
2016-03-02,59.0
2016-03-03,55.0
2016-03-04,54.0
2016-03-05,38.0
2016-03-06,37.0
2016-03-07,30.0
2016-03-08,47.0
2016-03-09,53.0
2016-03-10,56.0
2016-03-11,37.0
2016-03-12,46.0
2016-03-13,35.0
2016-03-14,48.0
2016-03-15,52.0
2016-03-16,58.0
2016-03-17,59.0
2016-03-18,60.0
2016-03-19,57.0
2016-03-20,54.0
2016-03-21,46.0
2016-03-22,38.0
2016-03-23,49.0
2016-03-24,52.0
2016-03-25,53.0
2016-03-26,51.0
2016-03-27,55.0
2016-03-28,35.0
2016-03-29,37.0
2016-03-30,41.0
2016-03-31,47.0
2016-04-01,54.0
2016-04-02,56.0
2016-04-03,56.0
2016-04-04,55.0
2016-04-05,65.0
2016-04-06,68.0
2016-04-07,60.0
2016-04-08,52.0
2016-04-09,39.0
2016-04-10,41.0
2016-04-11,48.0
2016-04-12,51.0
2016-04-13,51.0
2016-04-14,46.0
2016-04-15,46.0
2016-04-16,57.0
2016-04-17,61.0
2016-04-18,62.0
2016-04-19,63.0
2016-04-20,61.0
2016-04-21,60.0
2016-04-22,46.0
2016-04-23,48.0
2016-04-24,47.0
2016-04-25,35.0
2016-04-26,48.0
2016-04-27,43.0
2016-04-28,44.0
2016-04-29,48.0
2016-04-30,51.0
2016-05-01,52.0
2016-05-02,54.0
2016-05-03,59.0
2016-05-04,57.0
2016-05-05,48.0
2016-05-06,41.0
2016-05-07,39.0
2016-05-08,46.0
2016-05-09,57.0
2016-05-10,57.0
2016-05-11,64.0
2016-05-12,68.0
2016-05-13,67.0
2016-05-14,58.0
2016-05-15,53.0
2016-05-16,55.0
2016-05-17,61.0
2016-05-18,63.0
2016-05-19,61.0
2016-05-20,43.0
2016-05-21,38.0
2016-05-22,47.0
2016-05-23,48.0
2016-05-24,43.0
2016-05-25,48.0
2016-05-26,50.0
2016-05-27,60.0
2016-05-28,61.0
2016-05-29,61.0
2016-05-30,67.0
2016-05-31,71.0
2016-06-01,72.0
2016-06-02,72.0
2016-06-03,76.0
2016-06-04,78.0
2016-06-05,72.0
2016-06-06,71.0
2016-06-07,73.0
2016-06-08,76.0
2016-06-09,71.0
2016-06-10,65.0
2016-06-11,61.0
2016-06-12,56.0
2016-06-13,61.0
2016-06-14,60.0
2016-06-15,54.0
2016-06-16,56.0
2016-06-17,61.0
2016-06-18,66.0
2016-06-19,77.0
2016-06-20,81.0
2016-06-21,79.0
2016-06-22,76.0
2016-06-23,76.0
2016-06-24,73.0
2016-06-25,78.0
2016-06-26,79.0
2016-06-27,83.0
2016-06-28,80.0
2016-06-29,79.0
2016-06-30,79.0
2016-07-01,78.0
2016-07-02,77.0
2016-07-03,75.0
2016-07-04,74.0
