DATE TIME,VLC
2015-01-05,55.0
2015-01-06,56.0
2015-01-07,53.0
2015-01-08,49.0
2015-01-09,39.0
2015-01-10,39.0
2015-01-11,41.0
2015-01-12,40.0
2015-01-13,35.0
2015-01-14,49.0
2015-01-15,48.0
2015-01-16,45.0
2015-01-17,49.0
2015-01-18,47.0
2015-01-19,45.0
2015-01-20,42.0
2015-01-21,37.0
2015-01-22,44.0
2015-01-23,41.0
2015-01-24,49.0
2015-01-25,50.0
2015-01-26,51.0
2015-01-27,34.0
2015-01-28,42.0
2015-01-29,38.0
2015-01-30,30.0
2015-01-31,39.0
2015-02-01,51.0
2015-02-02,49.0
2015-02-03,47.0
2015-02-04,51.0
2015-02-05,45.0
2015-02-06,47.0
2015-02-07,33.0
2015-02-08,35.0
2015-02-09,41.0
2015-02-10,57.0
2015-02-11,58.0
2015-02-12,59.0
2015-02-13,59.0
2015-02-14,54.0
2015-02-15,52.0
2015-02-16,55.0
2015-02-17,53.0
2015-02-18,54.0
2015-02-19,52.0
2015-02-20,53.0
2015-02-21,47.0
2015-02-22,24.0
2015-02-23,27.0
2015-02-24,44.0
2015-02-25,50.0
2015-02-26,43.0
2015-02-27,30.0
2015-02-28,23.0
2015-03-01,28.0
2015-03-02,29.0
2015-03-03,33.0
2015-03-04,46.0
2015-03-05,47.0
2015-03-06,50.0
2015-03-07,55.0
2015-03-08,53.0
2015-03-09,50.0
2015-03-10,52.0
2015-03-11,34.0
2015-03-12,48.0
2015-03-13,58.0
2015-03-14,58.0
2015-03-15,51.0
2015-03-16,51.0
2015-03-17,48.0
2015-03-18,50.0
2015-03-19,52.0
2015-03-20,53.0
2015-03-21,48.0
2015-03-22,45.0
2015-03-23,41.0
2015-03-24,44.0
2015-03-25,57.0
2015-03-26,57.0
2015-03-27,56.0
2015-03-28,57.0
2015-03-29,57.0
2015-03-30,57.0
2015-03-31,47.0
2015-04-01,45.0
2015-04-02,41.0
2015-04-03,46.0
2015-04-04,44.0
2015-04-05,36.0
2015-04-06,37.0
2015-04-07,21.0
2015-04-08,34.0
2015-04-09,46.0
2015-04-10,45.0
2015-04-11,47.0
2015-04-12,55.0
2015-04-13,51.0
2015-04-14,39.0
2015-04-15,38.0
2015-04-16,43.0
2015-04-17,49.0
2015-04-18,53.0
2015-04-19,51.0
2015-04-20,51.0
2015-04-21,50.0
2015-04-22,44.0
2015-04-23,41.0
2015-04-24,34.0
2015-04-25,31.0
2015-04-26,42.0
2015-04-27,58.0
2015-04-28,54.0
2015-04-29,54.0
2015-04-30,55.0
2015-05-01,56.0
2015-05-02,52.0
2015-05-03,51.0
2015-05-04,53.0
2015-05-05,50.0
2015-05-06,44.0
2015-05-07,38.0
2015-05-08,38.0
2015-05-09,42.0
2015-05-10,49.0
2015-05-11,47.0
2015-05-12,43.0
2015-05-13,39.0
2015-05-14,32.0
2015-05-15,33.0
2015-05-16,45.0
2015-05-17,38.0
2015-05-18,40.0
2015-05-19,45.0
2015-05-20,45.0
2015-05-21,42.0
2015-05-22,44.0
2015-05-23,47.0
2015-05-24,55.0
2015-05-25,53.0
2015-05-26,54.0
2015-05-27,56.0
2015-05-28,59.0
2015-05-29,61.0
2015-05-30,65.0
2015-05-31,63.0
2015-06-01,53.0
2015-06-02,57.0
2015-06-03,54.0
2015-06-04,48.0
2015-06-05,48.0
2015-06-06,52.0
2015-06-07,54.0
2015-06-08,64.0
2015-06-09,60.0
2015-06-10,47.0
2015-06-11,56.0
2015-06-12,60.0
2015-06-13,66.0
2015-06-14,66.0
2015-06-15,65.0
2015-06-16,66.0
2015-06-17,69.0
2015-06-18,66.0
2015-06-19,70.0
2015-06-20,72.0
2015-06-21,64.0
2015-06-22,67.0
2015-06-23,69.0
2015-06-24,71.0
2015-06-25,71.0
2015-06-26,69.0
2015-06-27,73.0
2015-06-28,66.0
2015-06-29,71.0
2015-06-30,68.0
2015-07-01,67.0
2015-07-02,65.0
2015-07-03,68.0
2015-07-04,66.0
2015-07-05,67.0
2015-07-06,65.0
2015-07-07,61.0
2015-07-08,53.0
2015-07-09,46.0
2015-07-10,48.0
2015-07-11,55.0
2015-07-12,59.0
2015-07-13,61.0
2015-07-14,61.0
2015-07-15,64.0
2015-07-16,67.0
2015-07-17,65.0
2015-07-18,62.0
2015-07-19,57.0
2015-07-20,60.0
2015-07-21,61.0
2015-07-22,57.0
2015-07-23,55.0
2015-07-24,58.0
2015-07-25,62.0
2015-07-26,63.0
2015-07-27,64.0
2015-07-28,67.0
2015-07-29,70.0
2015-07-30,68.0
2015-07-31,68.0
2015-08-01,68.0
2015-08-02,64.0
2015-08-03,65.0
2015-08-04,65.0
2015-08-05,63.0
2015-08-06,63.0
2015-08-07,57.0
2015-08-08,62.0
2015-08-09,64.0
2015-08-10,63.0
2015-08-11,64.0
2015-08-12,66.0
2015-08-13,67.0
2015-08-14,69.0
2015-08-15,71.0
2015-08-16,72.0
2015-08-17,72.0
2015-08-18,73.0
2015-08-19,71.0
2015-08-20,71.0
2015-08-21,69.0
2015-08-22,70.0
2015-08-23,67.0
2015-08-24,70.0
2015-08-25,69.0
2015-08-26,65.0
2015-08-27,67.0
2015-08-28,66.0
2015-08-29,64.0
2015-08-30,63.0
2015-08-31,68.0
2015-09-01,67.0
2015-09-02,64.0
2015-09-03,58.0
2015-09-04,53.0
2015-09-05,60.0
2015-09-06,61.0
2015-09-07,64.0
2015-09-08,66.0
2015-09-09,67.0
2015-09-10,68.0
2015-09-11,70.0
2015-09-12,70.0
2015-09-13,67.0
2015-09-14,50.0
2015-09-15,48.0
2015-09-16,46.0
2015-09-17,59.0
2015-09-18,63.0
2015-09-19,65.0
2015-09-20,67.0
2015-09-21,67.0
2015-09-22,62.0
2015-09-23,64.0
2015-09-24,66.0
2015-09-25,68.0
2015-09-26,66.0
2015-09-27,65.0
2015-09-28,62.0
2015-09-29,62.0
2015-09-30,61.0
2015-10-01,51.0
2015-10-02,50.0
2015-10-03,53.0
2015-10-04,40.0
2015-10-05,43.0
2015-10-06,49.0
2015-10-07,63.0
2015-10-08,66.0
2015-10-09,69.0
2015-10-10,63.0
2015-10-11,64.0
2015-10-12,67.0
2015-10-13,64.0
2015-10-14,60.0
2015-10-15,52.0
2015-10-16,54.0
2015-10-17,44.0
2015-10-18,41.0
2015-10-19,49.0
2015-10-20,40.0
2015-10-21,51.0
2015-10-22,48.0
2015-10-23,52.0
2015-10-24,53.0
2015-10-25,45.0
2015-10-26,54.0
2015-10-27,51.0
2015-10-28,39.0
2015-10-29,38.0
2015-10-30,49.0
2015-10-31,56.0
2015-11-01,50.0
2015-11-02,37.0
2015-11-03,31.0
2015-11-04,23.0
2015-11-05,39.0
2015-11-06,45.0
2015-11-07,51.0
2015-11-08,43.0
2015-11-09,29.0
2015-11-10,24.0
2015-11-11,46.0
2015-11-12,47.0
2015-11-13,53.0
2015-11-14,50.0
2015-11-15,30.0
2015-11-16,33.0
2015-11-17,42.0
2015-11-18,51.0
2015-11-19,54.0
2015-11-20,55.0
2015-11-21,51.0
2015-11-22,52.0
2015-11-23,42.0
2015-11-24,34.0
2015-11-25,15.0
2015-11-26,30.0
2015-11-27,25.0
2015-11-28,28.0
2015-11-29,33.0
2015-11-30,40.0
2015-12-01,44.0
2015-12-02,47.0
2015-12-03,41.0
2015-12-04,32.0
2015-12-05,43.0
2015-12-06,43.0
2015-12-07,48.0
2015-12-08,54.0
2015-12-09,49.0
2015-12-10,34.0
2015-12-11,20.0
2015-12-12,33.0
2015-12-13,27.0
2015-12-14,17.0
2015-12-15,22.0
2015-12-16,35.0
2015-12-17,40.0
2015-12-18,41.0
2015-12-19,25.0
2015-12-20,29.0
2015-12-21,28.0
2015-12-22,30.0
2015-12-23,
2015-12-24,
2015-12-25,
2015-12-26,32.0
2015-12-27,40.0
2015-12-28,19.0
2015-12-29,30.0
2015-12-30,30.0
2015-12-31,33.0
2016-01-01,24.0
2016-01-02,29.0
2016-01-03,38.0
2016-01-04,30.0
2016-01-05,27.0
2016-01-06,21.0
2016-01-07,27.0
2016-01-08,28.0
2016-01-09,33.0
2016-01-10,30.0
2016-01-11,39.0
2016-01-12,46.0
2016-01-13,33.0
2016-01-14,33.0
2016-01-15,35.0
2016-01-16,33.0
2016-01-17,38.0
2016-01-18,35.0
2016-01-19,29.0
2016-01-20,47.0
2016-01-21,45.0
2016-01-22,34.0
2016-01-23,28.0
2016-01-24,36.0
2016-01-25,39.0
2016-01-26,52.0
2016-01-27,51.0
2016-01-28,49.0
2016-01-29,36.0
2016-01-30,30.0
2016-01-31,24.0
2016-02-01,15.0
2016-02-02,23.0
2016-02-03,41.0
2016-02-04,41.0
2016-02-05,41.0
2016-02-06,50.0
2016-02-07,46.0
2016-02-08,54.0
2016-02-09,56.0
2016-02-10,57.0
2016-02-11,55.0
2016-02-12,52.0
2016-02-13,49.0
2016-02-14,
2016-02-15,
2016-02-16,
2016-02-17,
2016-02-18,
2016-02-19,
2016-02-20,
2016-02-21,
2016-02-22,
2016-02-23,
2016-02-24,
2016-02-25,
2016-02-26,
2016-02-27,
2016-02-28,
2016-02-29,
2016-03-01,
2016-03-02,
2016-03-03,
2016-03-04,
2016-03-05,
2016-03-06,
2016-03-07,
2016-03-08,
2016-03-09,
2016-03-10,
2016-03-11,
2016-03-12,
2016-03-13,
2016-03-14,
2016-03-15,
2016-03-16,
2016-03-17,
2016-03-18,
2016-03-19,
2016-03-20,
2016-03-21,
2016-03-22,
2016-03-23,
2016-03-24,
2016-03-25,
2016-03-26,
2016-03-27,
2016-03-28,
2016-03-29,
2016-03-30,
2016-03-31,
2016-04-01,
2016-04-02,
2016-04-03,
2016-04-04,
2016-04-05,
2016-04-06,
2016-04-07,
2016-04-08,
2016-04-09,
2016-04-10,
2016-04-11,
2016-04-12,
2016-04-13,
2016-04-14,
2016-04-15,
2016-04-16,
2016-04-17,
2016-04-18,
2016-04-19,
2016-04-20,
2016-04-21,
2016-04-22,
2016-04-23,
2016-04-24,
2016-04-25,
2016-04-26,
2016-04-27,
2016-04-28,
2016-04-29,
2016-04-30,
2016-05-01,
2016-05-02,
2016-05-03,
2016-05-04,
2016-05-05,
2016-05-06,
2016-05-07,
2016-05-08,
2016-05-09,
2016-05-10,
2016-05-11,
2016-05-12,
2016-05-13,
2016-05-14,
2016-05-15,
2016-05-16,
2016-05-17,
2016-05-18,
2016-05-19,
2016-05-20,
2016-05-21,
2016-05-22,
2016-05-23,
2016-05-24,
2016-05-25,
2016-05-26,
2016-05-27,
2016-05-28,
2016-05-29,
2016-05-30,
2016-05-31,
2016-06-01,
2016-06-02,
2016-06-03,
2016-06-04,
2016-06-05,
2016-06-06,
2016-06-07,
2016-06-08,
2016-06-09,
2016-06-10,
2016-06-11,
2016-06-12,
2016-06-13,
2016-06-14,
2016-06-15,
2016-06-16,
2016-06-17,
2016-06-18,
2016-06-19,
2016-06-20,
2016-06-21,
2016-06-22,
2016-06-23,
2016-06-24,
2016-06-25,
2016-06-26,
2016-06-27,
2016-06-28,
2016-06-29,
2016-06-30,
2016-07-01,
2016-07-02,
2016-07-03,
2016-07-04,
2016-07-05,
2016-07-06,
2016-07-07,
2016-07-08,
2016-07-09,
2016-07-10,
2016-07-11,
2016-07-12,
2016-07-13,
2016-07-14,
2016-07-15,
2016-07-16,
2016-07-17,
2016-07-18,
2016-07-19,
2016-07-20,
2016-07-21,
2016-07-22,
2016-07-23,
2016-07-24,
2016-07-25,
2016-07-26,
2016-07-27,
2016-07-28,
2016-07-29,
2016-07-30,
2016-07-31,
2016-08-01,
2016-08-02,
2016-08-03,
2016-08-04,
2016-08-05,
2016-08-06,
2016-08-07,
2016-08-08,
2016-08-09,
2016-08-10,
2016-08-11,
2016-08-12,
2016-08-13,
2016-08-14,
2016-08-15,
2016-08-16,
2016-08-17,
2016-08-18,
2016-08-19,
2016-08-20,
2016-08-21,
2016-08-22,
2016-08-23,
2016-08-24,
2016-08-25,
2016-08-26,
2016-08-27,
2016-08-28,
2016-08-29,
2016-08-30,
2016-08-31,
2016-09-01,
2016-09-02,
2016-09-03,
2016-09-04,
2016-09-05,
2016-09-06,
2016-09-07,
2016-09-08,67.0
2016-09-09,69.0
2016-09-10,67.0
2016-09-11,60.0
2016-09-12,56.0
2016-09-13,47.0
2016-09-14,54.0
2016-09-15,57.0
2016-09-16,60.0
2016-09-17,64.0
2016-09-18,68.0
2016-09-19,64.0
2016-09-20,65.0
2016-09-21,49.0
2016-09-22,37.0
2016-09-23,53.0
2016-09-24,61.0
2016-09-25,68.0
2016-09-26,66.0
2016-09-27,66.0
2016-09-28,61.0
2016-09-29,56.0
2016-09-30,58.0
2016-10-01,55.0
2016-10-02,43.0
2016-10-03,36.0
2016-10-04,47.0
2016-10-05,44.0
2016-10-06,54.0
2016-10-07,56.0
2016-10-08,58.0
2016-10-09,57.0
2016-10-10,54.0
2016-10-11,55.0
2016-10-12,56.0
2016-10-13,57.0
