DATE TIME,BDM
2015-01-05,46.0
2015-01-06,50.0
2015-01-07,51.0
2015-01-08,49.0
2015-01-09,47.0
2015-01-10,44.0
2015-01-11,41.0
2015-01-12,37.0
2015-01-13,35.0
2015-01-14,39.0
2015-01-15,40.0
2015-01-16,44.0
2015-01-17,46.0
2015-01-18,46.0
2015-01-19,43.0
2015-01-20,39.0
2015-01-21,42.0
2015-01-22,40.0
2015-01-23,41.0
2015-01-24,45.0
2015-01-25,49.0
2015-01-26,46.0
2015-01-27,39.0
2015-01-28,37.0
2015-01-29,45.0
2015-01-30,39.0
2015-01-31,37.0
2015-02-01,43.0
2015-02-02,46.0
2015-02-03,47.0
2015-02-04,50.0
2015-02-05,51.0
2015-02-06,40.0
2015-02-07,41.0
2015-02-08,44.0
2015-02-09,40.0
2015-02-10,37.0
2015-02-11,44.0
2015-02-12,48.0
2015-02-13,51.0
2015-02-14,50.0
2015-02-15,49.0
2015-02-16,50.0
2015-02-17,47.0
2015-02-18,46.0
2015-02-19,46.0
2015-02-20,44.0
2015-02-21,41.0
2015-02-22,32.0
2015-02-23,31.0
2015-02-24,32.0
2015-02-25,35.0
2015-02-26,36.0
2015-02-27,33.0
2015-02-28,32.0
2015-03-01,31.0
2015-03-02,32.0
2015-03-03,30.0
2015-03-04,33.0
2015-03-05,36.0
2015-03-06,44.0
2015-03-07,48.0
2015-03-08,46.0
2015-03-09,46.0
2015-03-10,49.0
2015-03-11,44.0
2015-03-12,43.0
2015-03-13,48.0
2015-03-14,53.0
2015-03-15,56.0
2015-03-16,51.0
2015-03-17,47.0
2015-03-18,44.0
2015-03-19,44.0
2015-03-20,48.0
2015-03-21,46.0
2015-03-22,45.0
2015-03-23,40.0
2015-03-24,40.0
2015-03-25,40.0
2015-03-26,52.0
2015-03-27,54.0
2015-03-28,53.0
2015-03-29,50.0
2015-03-30,52.0
2015-03-31,43.0
2015-04-01,37.0
2015-04-02,35.0
2015-04-03,41.0
2015-04-04,44.0
2015-04-05,37.0
2015-04-06,34.0
2015-04-07,31.0
2015-04-08,29.0
2015-04-09,33.0
2015-04-10,40.0
2015-04-11,41.0
2015-04-12,47.0
2015-04-13,48.0
2015-04-14,38.0
2015-04-15,38.0
2015-04-16,40.0
2015-04-17,47.0
2015-04-18,50.0
2015-04-19,52.0
2015-04-20,53.0
2015-04-21,48.0
2015-04-22,44.0
2015-04-23,44.0
2015-04-24,41.0
2015-04-25,34.0
2015-04-26,35.0
2015-04-27,42.0
2015-04-28,51.0
2015-04-29,56.0
2015-04-30,55.0
2015-05-01,57.0
2015-05-02,51.0
2015-05-03,51.0
2015-05-04,51.0
2015-05-05,48.0
2015-05-06,42.0
2015-05-07,32.0
2015-05-08,32.0
2015-05-09,40.0
2015-05-10,46.0
2015-05-11,48.0
2015-05-12,45.0
2015-05-13,42.0
2015-05-14,37.0
2015-05-15,37.0
2015-05-16,37.0
2015-05-17,41.0
2015-05-18,40.0
2015-05-19,42.0
2015-05-20,46.0
2015-05-21,44.0
2015-05-22,43.0
2015-05-23,44.0
2015-05-24,46.0
2015-05-25,50.0
2015-05-26,52.0
2015-05-27,51.0
2015-05-28,56.0
2015-05-29,57.0
2015-05-30,61.0
2015-05-31,56.0
2015-06-01,52.0
2015-06-02,50.0
2015-06-03,53.0
2015-06-04,51.0
2015-06-05,50.0
2015-06-06,54.0
2015-06-07,55.0
2015-06-08,64.0
2015-06-09,59.0
2015-06-10,55.0
2015-06-11,54.0
2015-06-12,62.0
2015-06-13,63.0
2015-06-14,66.0
2015-06-15,64.0
2015-06-16,60.0
2015-06-17,63.0
2015-06-18,64.0
2015-06-19,61.0
2015-06-20,64.0
2015-06-21,63.0
2015-06-22,62.0
2015-06-23,60.0
2015-06-24,62.0
2015-06-25,67.0
2015-06-26,70.0
2015-06-27,70.0
2015-06-28,68.0
2015-06-29,68.0
2015-06-30,71.0
2015-07-01,71.0
2015-07-02,64.0
2015-07-03,64.0
2015-07-04,68.0
2015-07-05,66.0
2015-07-06,63.0
2015-07-07,61.0
2015-07-08,58.0
2015-07-09,50.0
2015-07-10,52.0
2015-07-11,54.0
2015-07-12,57.0
2015-07-13,61.0
2015-07-14,61.0
2015-07-15,61.0
2015-07-16,64.0
2015-07-17,63.0
2015-07-18,61.0
2015-07-19,59.0
2015-07-20,61.0
2015-07-21,62.0
2015-07-22,62.0
2015-07-23,59.0
2015-07-24,60.0
2015-07-25,60.0
2015-07-26,59.0
2015-07-27,57.0
2015-07-28,64.0
2015-07-29,68.0
2015-07-30,71.0
2015-07-31,72.0
2015-08-01,66.0
2015-08-02,64.0
2015-08-03,64.0
2015-08-04,58.0
2015-08-05,57.0
2015-08-06,63.0
2015-08-07,59.0
2015-08-08,58.0
2015-08-09,62.0
2015-08-10,62.0
2015-08-11,59.0
2015-08-12,59.0
2015-08-13,62.0
2015-08-14,62.0
2015-08-15,65.0
2015-08-16,67.0
2015-08-17,70.0
2015-08-18,69.0
2015-08-19,69.0
2015-08-20,66.0
2015-08-21,62.0
2015-08-22,62.0
2015-08-23,65.0
