DATE TIME,FRT
2015-01-05,40.0
2015-01-06,43.0
2015-01-07,46.0
2015-01-08,47.0
2015-01-09,51.0
2015-01-10,50.0
2015-01-11,50.0
2015-01-12,46.0
2015-01-13,47.0
2015-01-14,43.0
2015-01-15,38.0
2015-01-16,42.0
2015-01-17,42.0
2015-01-18,42.0
2015-01-19,43.0
2015-01-20,43.0
2015-01-21,45.0
2015-01-22,41.0
2015-01-23,39.0
2015-01-24,39.0
2015-01-25,36.0
2015-01-26,42.0
2015-01-27,51.0
2015-01-28,48.0
2015-01-29,48.0
2015-01-30,48.0
2015-01-31,126.0
2015-02-01,59.0
2015-02-02,91.0
2015-02-03,54.0
2015-02-04,49.0
2015-02-05,58.0
2015-02-06,55.0
2015-02-07,53.0
2015-02-08,56.0
2015-02-09,50.0
2015-02-10,45.0
2015-02-11,46.0
2015-02-12,46.0
2015-02-13,50.0
2015-02-14,53.0
2015-02-15,52.0
2015-02-16,51.0
2015-02-17,51.0
2015-02-18,46.0
2015-02-19,48.0
2015-02-20,46.0
2015-02-21,47.0
2015-02-22,45.0
2015-02-23,44.0
2015-02-24,40.0
2015-02-25,44.0
2015-02-26,47.0
2015-02-27,47.0
2015-02-28,44.0
2015-03-01,43.0
2015-03-02,45.0
2015-03-03,42.0
2015-03-04,45.0
2015-03-05,47.0
2015-03-06,47.0
2015-03-07,48.0
2015-03-08,51.0
2015-03-09,52.0
2015-03-10,54.0
2015-03-11,56.0
2015-03-12,48.0
2015-03-13,52.0
2015-03-14,59.0
2015-03-15,59.0
2015-03-16,54.0
2015-03-17,54.0
2015-03-18,50.0
2015-03-19,55.0
2015-03-20,57.0
2015-03-21,51.0
2015-03-22,53.0
2015-03-23,46.0
2015-03-24,47.0
2015-03-25,49.0
2015-03-26,54.0
2015-03-27,62.0
2015-03-28,55.0
2015-03-29,59.0
2015-03-30,60.0
2015-03-31,52.0
2015-04-01,45.0
2015-04-02,43.0
2015-04-03,50.0
2015-04-04,52.0
2015-04-05,43.0
2015-04-06,42.0
2015-04-07,47.0
2015-04-08,44.0
2015-04-09,46.0
2015-04-10,49.0
2015-04-11,50.0
2015-04-12,51.0
2015-04-13,55.0
2015-04-14,49.0
2015-04-15,44.0
2015-04-16,51.0
2015-04-17,57.0
2015-04-18,59.0
2015-04-19,61.0
2015-04-20,60.0
2015-04-21,53.0
2015-04-22,52.0
2015-04-23,52.0
2015-04-24,53.0
2015-04-25,50.0
2015-04-26,48.0
2015-04-27,57.0
2015-04-28,62.0
2015-04-29,60.0
2015-04-30,64.0
2015-05-01,68.0
2015-05-02,64.0
2015-05-03,59.0
2015-05-04,54.0
2015-05-05,51.0
2015-05-06,48.0
2015-05-07,48.0
2015-05-08,49.0
2015-05-09,58.0
2015-05-10,58.0
2015-05-11,55.0
2015-05-12,48.0
2015-05-13,49.0
2015-05-14,52.0
2015-05-15,52.0
2015-05-16,48.0
2015-05-17,51.0
2015-05-18,54.0
2015-05-19,48.0
2015-05-20,51.0
2015-05-21,53.0
2015-05-22,57.0
2015-05-23,55.0
2015-05-24,54.0
2015-05-25,57.0
2015-05-26,55.0
2015-05-27,55.0
2015-05-28,58.0
2015-05-29,65.0
2015-05-30,69.0
2015-05-31,63.0
2015-06-01,55.0
2015-06-02,57.0
2015-06-03,59.0
2015-06-04,54.0
2015-06-05,59.0
2015-06-06,65.0
2015-06-07,69.0
2015-06-08,75.0
2015-06-09,76.0
2015-06-10,70.0
2015-06-11,64.0
2015-06-12,74.0
2015-06-13,74.0
2015-06-14,69.0
2015-06-15,66.0
2015-06-16,64.0
2015-06-17,71.0
2015-06-18,71.0
2015-06-19,65.0
2015-06-20,71.0
2015-06-21,70.0
2015-06-22,64.0
2015-06-23,65.0
2015-06-24,65.0
2015-06-25,75.0
2015-06-26,73.0
2015-06-27,73.0
2015-06-28,72.0
2015-06-29,69.0
2015-06-30,78.0
2015-07-01,81.0
2015-07-02,78.0
2015-07-03,73.0
2015-07-04,74.0
2015-07-05,71.0
2015-07-06,66.0
2015-07-07,64.0
2015-07-08,63.0
2015-07-09,60.0
2015-07-10,64.0
2015-07-11,61.0
2015-07-12,62.0
2015-07-13,66.0
2015-07-14,64.0
2015-07-15,63.0
2015-07-16,69.0
2015-07-17,72.0
2015-07-18,71.0
2015-07-19,74.0
2015-07-20,75.0
2015-07-21,77.0
2015-07-22,72.0
2015-07-23,62.0
2015-07-24,63.0
2015-07-25,67.0
2015-07-26,68.0
2015-07-27,66.0
2015-07-28,72.0
2015-07-29,76.0
2015-07-30,77.0
2015-07-31,78.0
2015-08-01,70.0
2015-08-02,69.0
2015-08-03,66.0
2015-08-04,62.0
2015-08-05,63.0
2015-08-06,73.0
2015-08-07,68.0
2015-08-08,66.0
2015-08-09,68.0
2015-08-10,66.0
2015-08-11,63.0
2015-08-12,64.0
2015-08-13,64.0
2015-08-14,64.0
2015-08-15,69.0
2015-08-16,77.0
2015-08-17,78.0
2015-08-18,76.0
2015-08-19,72.0
2015-08-20,64.0
2015-08-21,64.0
2015-08-22,65.0
2015-08-23,66.0
2015-08-24,68.0
2015-08-25,71.0
2015-08-26,71.0
2015-08-27,73.0
2015-08-28,76.0
2015-08-29,70.0
2015-08-30,64.0
2015-08-31,63.0
2015-09-01,70.0
2015-09-02,66.0
2015-09-03,61.0
2015-09-04,60.0
2015-09-05,56.0
2015-09-06,64.0
2015-09-07,66.0
2015-09-08,70.0
2015-09-09,76.0
2015-09-10,77.0
2015-09-11,78.0
2015-09-12,78.0
2015-09-13,75.0
2015-09-14,70.0
2015-09-15,66.0
2015-09-16,52.0
2015-09-17,57.0
2015-09-18,59.0
2015-09-19,64.0
2015-09-20,71.0
2015-09-21,74.0
2015-09-22,71.0
2015-09-23,60.0
2015-09-24,68.0
2015-09-25,71.0
2015-09-26,69.0
2015-09-27,73.0
2015-09-28,73.0
2015-09-29,63.0
2015-09-30,63.0
2015-10-01,60.0
2015-10-02,55.0
2015-10-03,55.0
2015-10-04,53.0
2015-10-05,59.0
2015-10-06,63.0
2015-10-07,61.0
2015-10-08,68.0
2015-10-09,68.0
2015-10-10,70.0
2015-10-11,66.0
2015-10-12,69.0
2015-10-13,72.0
2015-10-14,70.0
2015-10-15,69.0
2015-10-16,65.0
2015-10-17,65.0
2015-10-18,59.0
2015-10-19,54.0
2015-10-20,54.0
2015-10-21,58.0
2015-10-22,60.0
2015-10-23,61.0
2015-10-24,63.0
2015-10-25,64.0
2015-10-26,60.0
2015-10-27,63.0
2015-10-28,60.0
2015-10-29,52.0
2015-10-30,54.0
2015-10-31,57.0
2015-11-01,61.0
2015-11-02,50.0
2015-11-03,49.0
2015-11-04,46.0
2015-11-05,49.0
2015-11-06,47.0
2015-11-07,49.0
2015-11-08,50.0
2015-11-09,46.0
2015-11-10,43.0
2015-11-11,43.0
2015-11-12,44.0
2015-11-13,44.0
2015-11-14,46.0
2015-11-15,44.0
2015-11-16,37.0
2015-11-17,42.0
2015-11-18,42.0
2015-11-19,46.0
2015-11-20,47.0
2015-11-21,48.0
2015-11-22,51.0
2015-11-23,51.0
2015-11-24,42.0
2015-11-25,39.0
2015-11-26,37.0
2015-11-27,36.0
2015-11-28,41.0
2015-11-29,41.0
2015-11-30,38.0
2015-12-01,38.0
2015-12-02,42.0
2015-12-03,48.0
2015-12-04,46.0
2015-12-05,44.0
2015-12-06,49.0
2015-12-07,46.0
2015-12-08,47.0
2015-12-09,42.0
2015-12-10,46.0
2015-12-11,41.0
2015-12-12,39.0
2015-12-13,40.0
2015-12-14,34.0
2015-12-15,35.0
2015-12-16,36.0
2015-12-17,37.0
2015-12-18,38.0
2015-12-19,42.0
2015-12-20,40.0
2015-12-21,45.0
2015-12-22,50.0
2015-12-23,38.0
2015-12-24,33.0
2015-12-25,34.0
2015-12-26,32.0
2015-12-27,33.0
2015-12-28,33.0
2015-12-29,35.0
2015-12-30,35.0
2015-12-31,36.0
2016-01-01,34.0
2016-01-02,42.0
2016-01-03,45.0
2016-01-04,47.0
2016-01-05,44.0
2016-01-06,44.0
2016-01-07,40.0
2016-01-08,35.0
2016-01-09,42.0
2016-01-10,42.0
2016-01-11,45.0
2016-01-12,39.0
2016-01-13,
2016-01-14,48.0
2016-01-15,47.0
2016-01-16,48.0
2016-01-17,47.0
2016-01-18,49.0
2016-01-19,49.0
2016-01-20,49.0
2016-01-21,46.0
2016-01-22,52.0
2016-01-23,45.0
2016-01-24,41.0
2016-01-25,42.0
2016-01-26,43.0
2016-01-27,46.0
2016-01-28,41.0
2016-01-29,49.0
2016-01-30,50.0
2016-01-31,40.0
2016-02-01,34.0
2016-02-02,37.0
2016-02-03,36.0
2016-02-04,41.0
2016-02-05,41.0
2016-02-06,41.0
2016-02-07,44.0
2016-02-08,47.0
2016-02-09,50.0
2016-02-10,50.0
2016-02-11,51.0
2016-02-12,49.0
2016-02-13,48.0
2016-02-14,50.0
2016-02-15,50.0
2016-02-16,50.0
2016-02-17,57.0
2016-02-18,47.0
2016-02-19,45.0
2016-02-20,43.0
2016-02-21,45.0
2016-02-22,45.0
2016-02-23,49.0
2016-02-24,50.0
2016-02-25,50.0
2016-02-26,51.0
2016-02-27,47.0
2016-02-28,49.0
2016-02-29,50.0
2016-03-01,53.0
2016-03-02,52.0
2016-03-03,47.0
2016-03-04,54.0
2016-03-05,55.0
2016-03-06,50.0
2016-03-07,43.0
2016-03-08,45.0
2016-03-09,47.0
2016-03-10,51.0
2016-03-11,45.0
2016-03-12,45.0
2016-03-13,51.0
2016-03-14,48.0
2016-03-15,45.0
2016-03-16,49.0
2016-03-17,51.0
2016-03-18,53.0
2016-03-19,55.0
2016-03-20,55.0
2016-03-21,52.0
2016-03-22,45.0
2016-03-23,42.0
2016-03-24,50.0
2016-03-25,50.0
2016-03-26,51.0
2016-03-27,53.0
2016-03-28,43.0
2016-03-29,42.0
2016-03-30,47.0
2016-03-31,52.0
2016-04-01,49.0
2016-04-02,56.0
2016-04-03,59.0
2016-04-04,53.0
2016-04-05,48.0
2016-04-06,57.0
2016-04-07,59.0
2016-04-08,56.0
2016-04-09,55.0
2016-04-10,55.0
2016-04-11,53.0
2016-04-12,52.0
2016-04-13,50.0
2016-04-14,52.0
2016-04-15,42.0
2016-04-16,53.0
2016-04-17,56.0
2016-04-18,62.0
2016-04-19,61.0
2016-04-20,60.0
2016-04-21,53.0
2016-04-22,50.0
2016-04-23,46.0
2016-04-24,50.0
2016-04-25,44.0
2016-04-26,49.0
2016-04-27,46.0
2016-04-28,46.0
2016-04-29,54.0
2016-04-30,49.0
2016-05-01,55.0
2016-05-02,61.0
2016-05-03,60.0
2016-05-04,61.0
2016-05-05,56.0
2016-05-06,53.0
2016-05-07,54.0
2016-05-08,49.0
2016-05-09,60.0
2016-05-10,55.0
2016-05-11,62.0
2016-05-12,63.0
2016-05-13,59.0
2016-05-14,52.0
2016-05-15,50.0
2016-05-16,54.0
2016-05-17,61.0
2016-05-18,66.0
2016-05-19,58.0
2016-05-20,52.0
2016-05-21,45.0
2016-05-22,46.0
2016-05-23,48.0
2016-05-24,53.0
2016-05-25,51.0
2016-05-26,52.0
2016-05-27,62.0
2016-05-28,64.0
2016-05-29,65.0
2016-05-30,64.0
2016-05-31,69.0
2016-06-01,72.0
2016-06-02,71.0
2016-06-03,73.0
2016-06-04,76.0
2016-06-05,69.0
2016-06-06,70.0
2016-06-07,68.0
2016-06-08,62.0
2016-06-09,58.0
2016-06-10,59.0
2016-06-11,60.0
2016-06-12,60.0
2016-06-13,61.0
2016-06-14,52.0
2016-06-15,50.0
2016-06-16,49.0
2016-06-17,55.0
2016-06-18,58.0
2016-06-19,60.0
2016-06-20,69.0
2016-06-21,71.0
2016-06-22,71.0
2016-06-23,61.0
2016-06-24,59.0
