DATE TIME,GRM
2015-01-05,40.0
2015-01-06,42.0
2015-01-07,41.0
2015-01-08,39.0
2015-01-09,38.0
2015-01-10,33.0
2015-01-11,32.0
2015-01-12,30.0
2015-01-13,28.0
2015-01-14,32.0
2015-01-15,34.0
2015-01-16,38.0
2015-01-17,38.0
2015-01-18,38.0
2015-01-19,37.0
2015-01-20,33.0
2015-01-21,31.0
2015-01-22,33.0
2015-01-23,33.0
2015-01-24,37.0
2015-01-25,47.0
2015-01-26,35.0
2015-01-27,30.0
2015-01-28,30.0
2015-01-29,33.0
2015-01-30,33.0
2015-01-31,31.0
2015-02-01,39.0
2015-02-02,38.0
2015-02-03,37.0
2015-02-04,39.0
2015-02-05,36.0
2015-02-06,32.0
2015-02-07,31.0
2015-02-08,34.0
2015-02-09,30.0
2015-02-10,32.0
2015-02-11,40.0
2015-02-12,43.0
2015-02-13,46.0
2015-02-14,43.0
2015-02-15,42.0
2015-02-16,41.0
2015-02-17,41.0
2015-02-18,41.0
2015-02-19,39.0
2015-02-20,38.0
2015-02-21,32.0
2015-02-22,24.0
2015-02-23,23.0
2015-02-24,22.0
2015-02-25,37.0
2015-02-26,32.0
2015-02-27,25.0
2015-02-28,21.0
2015-03-01,21.0
2015-03-02,21.0
2015-03-03,21.0
2015-03-04,26.0
2015-03-05,30.0
2015-03-06,34.0
2015-03-07,37.0
2015-03-08,39.0
2015-03-09,38.0
2015-03-10,37.0
2015-03-11,32.0
2015-03-12,32.0
2015-03-13,37.0
2015-03-14,43.0
2015-03-15,43.0
2015-03-16,40.0
2015-03-17,38.0
2015-03-18,37.0
2015-03-19,36.0
2015-03-20,39.0
2015-03-21,35.0
2015-03-22,33.0
2015-03-23,31.0
2015-03-24,31.0
2015-03-25,34.0
2015-03-26,41.0
2015-03-27,44.0
2015-03-28,41.0
2015-03-29,42.0
2015-03-30,43.0
2015-03-31,33.0
2015-04-01,29.0
2015-04-02,25.0
2015-04-03,30.0
2015-04-04,32.0
2015-04-05,29.0
2015-04-06,27.0
2015-04-07,22.0
2015-04-08,18.0
2015-04-09,25.0
2015-04-10,32.0
2015-04-11,32.0
2015-04-12,36.0
2015-04-13,36.0
2015-04-14,31.0
2015-04-15,30.0
2015-04-16,29.0
2015-04-17,34.0
2015-04-18,40.0
2015-04-19,42.0
2015-04-20,39.0
2015-04-21,39.0
2015-04-22,34.0
2015-04-23,33.0
2015-04-24,32.0
2015-04-25,28.0
2015-04-26,27.0
2015-04-27,36.0
2015-04-28,43.0
2015-04-29,42.0
2015-04-30,44.0
2015-05-01,46.0
2015-05-02,43.0
2015-05-03,40.0
2015-05-04,39.0
2015-05-05,38.0
2015-05-06,32.0
2015-05-07,25.0
2015-05-08,27.0
2015-05-09,32.0
2015-05-10,38.0
2015-05-11,38.0
2015-05-12,35.0
2015-05-13,32.0
2015-05-14,29.0
2015-05-15,29.0
2015-05-16,30.0
2015-05-17,32.0
2015-05-18,32.0
2015-05-19,32.0
2015-05-20,34.0
2015-05-21,34.0
2015-05-22,35.0
2015-05-23,35.0
2015-05-24,36.0
2015-05-25,40.0
2015-05-26,41.0
2015-05-27,42.0
2015-05-28,46.0
2015-05-29,49.0
2015-05-30,52.0
2015-05-31,51.0
2015-06-01,42.0
2015-06-02,40.0
2015-06-03,41.0
2015-06-04,39.0
2015-06-05,42.0
2015-06-06,43.0
2015-06-07,46.0
2015-06-08,52.0
2015-06-09,51.0
2015-06-10,47.0
2015-06-11,45.0
2015-06-12,52.0
2015-06-13,53.0
2015-06-14,55.0
2015-06-15,54.0
2015-06-16,52.0
2015-06-17,53.0
2015-06-18,54.0
2015-06-19,54.0
2015-06-20,58.0
2015-06-21,54.0
2015-06-22,50.0
2015-06-23,51.0
2015-06-24,54.0
2015-06-25,58.0
2015-06-26,61.0
2015-06-27,60.0
2015-06-28,58.0
2015-06-29,58.0
2015-06-30,61.0
2015-07-01,62.0
2015-07-02,53.0
2015-07-03,54.0
2015-07-04,57.0
2015-07-05,57.0
2015-07-06,54.0
2015-07-07,51.0
2015-07-08,49.0
2015-07-09,41.0
2015-07-10,40.0
2015-07-11,45.0
2015-07-12,46.0
2015-07-13,51.0
2015-07-14,50.0
2015-07-15,49.0
2015-07-16,53.0
2015-07-17,54.0
2015-07-18,51.0
2015-07-19,48.0
2015-07-20,52.0
2015-07-21,48.0
2015-07-22,50.0
2015-07-23,50.0
2015-07-24,47.0
2015-07-25,48.0
2015-07-26,48.0
2015-07-27,48.0
2015-07-28,53.0
2015-07-29,58.0
2015-07-30,61.0
2015-07-31,61.0
2015-08-01,57.0
2015-08-02,55.0
2015-08-03,54.0
2015-08-04,51.0
2015-08-05,51.0
2015-08-06,56.0
2015-08-07,48.0
2015-08-08,47.0
2015-08-09,51.0
2015-08-10,52.0
2015-08-11,51.0
2015-08-12,51.0
2015-08-13,58.0
2015-08-14,59.0
2015-08-15,59.0
2015-08-16,62.0
2015-08-17,60.0
2015-08-18,60.0
2015-08-19,58.0
2015-08-20,56.0
2015-08-21,55.0
2015-08-22,55.0
2015-08-23,57.0
2015-08-24,55.0
2015-08-25,57.0
2015-08-26,55.0
2015-08-27,57.0
2015-08-28,57.0
2015-08-29,51.0
2015-08-30,50.0
2015-08-31,51.0
2015-09-01,52.0
2015-09-02,50.0
2015-09-03,44.0
2015-09-04,41.0
2015-09-05,40.0
2015-09-06,47.0
2015-09-07,50.0
2015-09-08,53.0
2015-09-09,57.0
