DATE TIME,KSP
2015-01-05,35.0
2015-01-06,37.0
2015-01-07,35.0
2015-01-08,32.0
2015-01-09,32.0
2015-01-10,29.0
2015-01-11,28.0
2015-01-12,26.0
2015-01-13,24.0
2015-01-14,28.0
2015-01-15,32.0
2015-01-16,32.0
2015-01-17,32.0
2015-01-18,33.0
2015-01-19,30.0
2015-01-20,29.0
2015-01-21,28.0
2015-01-22,28.0
2015-01-23,30.0
2015-01-24,32.0
2015-01-25,37.0
2015-01-26,31.0
2015-01-27,25.0
2015-01-28,24.0
2015-01-29,27.0
2015-01-30,25.0
2015-01-31,25.0
2015-02-01,33.0
2015-02-02,32.0
2015-02-03,33.0
2015-02-04,33.0
2015-02-05,33.0
2015-02-06,27.0
2015-02-07,28.0
2015-02-08,32.0
2015-02-09,24.0
2015-02-10,26.0
2015-02-11,36.0
2015-02-12,39.0
2015-02-13,41.0
2015-02-14,36.0
2015-02-15,38.0
2015-02-16,35.0
2015-02-17,35.0
2015-02-18,36.0
2015-02-19,34.0
2015-02-20,32.0
2015-02-21,29.0
2015-02-22,19.0
2015-02-23,16.0
2015-02-24,20.0
2015-02-25,32.0
2015-02-26,28.0
2015-02-27,20.0
2015-02-28,13.0
2015-03-01,15.0
2015-03-02,16.0
2015-03-03,15.0
2015-03-04,20.0
2015-03-05,25.0
2015-03-06,30.0
2015-03-07,33.0
2015-03-08,32.0
2015-03-09,34.0
2015-03-10,33.0
2015-03-11,29.0
2015-03-12,28.0
2015-03-13,33.0
2015-03-14,39.0
2015-03-15,36.0
2015-03-16,34.0
2015-03-17,32.0
2015-03-18,33.0
2015-03-19,33.0
2015-03-20,34.0
2015-03-21,32.0
2015-03-22,30.0
2015-03-23,27.0
2015-03-24,27.0
2015-03-25,31.0
2015-03-26,36.0
2015-03-27,38.0
2015-03-28,35.0
2015-03-29,37.0
2015-03-30,37.0
2015-03-31,28.0
2015-04-01,23.0
2015-04-02,18.0
2015-04-03,27.0
2015-04-04,28.0
2015-04-05,23.0
2015-04-06,22.0
2015-04-07,16.0
2015-04-08,13.0
2015-04-09,21.0
2015-04-10,24.0
2015-04-11,28.0
2015-04-12,32.0
2015-04-13,33.0
2015-04-14,28.0
2015-04-15,26.0
2015-04-16,27.0
2015-04-17,30.0
2015-04-18,36.0
2015-04-19,37.0
2015-04-20,36.0
2015-04-21,35.0
2015-04-22,29.0
2015-04-23,28.0
2015-04-24,27.0
2015-04-25,23.0
2015-04-26,22.0
2015-04-27,34.0
2015-04-28,38.0
2015-04-29,35.0
2015-04-30,36.0
2015-05-01,38.0
2015-05-02,35.0
2015-05-03,33.0
2015-05-04,32.0
2015-05-05,32.0
2015-05-06,28.0
2015-05-07,21.0
2015-05-08,22.0
2015-05-09,30.0
2015-05-10,32.0
2015-05-11,33.0
2015-05-12,31.0
2015-05-13,28.0
2015-05-14,23.0
2015-05-15,22.0
2015-05-16,24.0
2015-05-17,29.0
2015-05-18,25.0
2015-05-19,26.0
2015-05-20,30.0
2015-05-21,30.0
2015-05-22,31.0
2015-05-23,32.0
2015-05-24,32.0
2015-05-25,34.0
2015-05-26,34.0
2015-05-27,37.0
2015-05-28,40.0
2015-05-29,44.0
2015-05-30,47.0
