DATE TIME,NFR
2015-01-05,35.0
2015-01-06,43.0
2015-01-07,44.0
2015-01-08,44.0
2015-01-09,46.0
2015-01-10,43.0
2015-01-11,40.0
2015-01-12,40.0
2015-01-13,36.0
2015-01-14,36.0
2015-01-15,36.0
2015-01-16,40.0
2015-01-17,38.0
2015-01-18,41.0
2015-01-19,39.0
2015-01-20,35.0
2015-01-21,29.0
2015-01-22,37.0
2015-01-23,36.0
2015-01-24,36.0
2015-01-25,43.0
2015-01-26,46.0
2015-01-27,41.0
2015-01-28,38.0
2015-01-29,40.0
2015-01-30,39.0
2015-01-31,38.0
2015-02-01,36.0
2015-02-02,41.0
2015-02-03,42.0
2015-02-04,45.0
2015-02-05,43.0
2015-02-06,46.0
2015-02-07,46.0
2015-02-08,45.0
2015-02-09,42.0
2015-02-10,38.0
2015-02-11,37.0
2015-02-12,44.0
2015-02-13,45.0
2015-02-14,46.0
2015-02-15,44.0
2015-02-16,46.0
2015-02-17,45.0
2015-02-18,44.0
2015-02-19,43.0
2015-02-20,42.0
2015-02-21,40.0
2015-02-22,35.0
2015-02-23,36.0
2015-02-24,32.0
2015-02-25,35.0
2015-02-26,39.0
2015-02-27,38.0
2015-02-28,35.0
2015-03-01,33.0
2015-03-02,34.0
2015-03-03,32.0
2015-03-04,34.0
2015-03-05,36.0
2015-03-06,38.0
2015-03-07,40.0
2015-03-08,42.0
2015-03-09,43.0
2015-03-10,45.0
2015-03-11,46.0
2015-03-12,43.0
2015-03-13,44.0
2015-03-14,52.0
2015-03-15,54.0
2015-03-16,50.0
2015-03-17,50.0
2015-03-18,47.0
2015-03-19,44.0
2015-03-20,48.0
2015-03-21,46.0
2015-03-22,47.0
2015-03-23,43.0
2015-03-24,41.0
2015-03-25,42.0
2015-03-26,47.0
2015-03-27,50.0
2015-03-28,51.0
2015-03-29,51.0
2015-03-30,50.0
2015-03-31,45.0
2015-04-01,39.0
2015-04-02,37.0
2015-04-03,40.0
2015-04-04,40.0
2015-04-05,38.0
2015-04-06,39.0
2015-04-07,33.0
2015-04-08,32.0
2015-04-09,35.0
2015-04-10,38.0
2015-04-11,42.0
2015-04-12,43.0
2015-04-13,47.0
2015-04-14,38.0
2015-04-15,35.0
2015-04-16,35.0
2015-04-17,43.0
2015-04-18,46.0
2015-04-19,51.0
2015-04-20,50.0
2015-04-21,49.0
2015-04-22,48.0
2015-04-23,46.0
2015-04-24,43.0
2015-04-25,39.0
2015-04-26,38.0
2015-04-27,43.0
2015-04-28,50.0
2015-04-29,53.0
2015-04-30,52.0
2015-05-01,53.0
2015-05-02,49.0
2015-05-03,48.0
2015-05-04,48.0
2015-05-05,49.0
2015-05-06,45.0
2015-05-07,39.0
2015-05-08,39.0
2015-05-09,46.0
2015-05-10,47.0
2015-05-11,48.0
2015-05-12,45.0
2015-05-13,42.0
2015-05-14,45.0
2015-05-15,43.0
2015-05-16,40.0
2015-05-17,46.0
2015-05-18,46.0
2015-05-19,43.0
2015-05-20,46.0
2015-05-21,48.0
2015-05-22,51.0
2015-05-23,50.0
2015-05-24,47.0
2015-05-25,52.0
2015-05-26,54.0
2015-05-27,53.0
2015-05-28,54.0
2015-05-29,55.0
2015-05-30,59.0
2015-05-31,59.0
2015-06-01,51.0
2015-06-02,52.0
2015-06-03,54.0
2015-06-04,51.0
2015-06-05,52.0
2015-06-06,52.0
2015-06-07,55.0
2015-06-08,62.0
2015-06-09,64.0
2015-06-10,61.0
2015-06-11,58.0
2015-06-12,63.0
2015-06-13,64.0
2015-06-14,64.0
2015-06-15,61.0
2015-06-16,58.0
2015-06-17,60.0
2015-06-18,60.0
2015-06-19,60.0
2015-06-20,60.0
2015-06-21,61.0
2015-06-22,58.0
2015-06-23,56.0
2015-06-24,61.0
2015-06-25,65.0
2015-06-26,68.0
2015-06-27,67.0
2015-06-28,69.0
2015-06-29,70.0
2015-06-30,70.0
2015-07-01,72.0
2015-07-02,67.0
2015-07-03,68.0
2015-07-04,69.0
2015-07-05,68.0
2015-07-06,65.0
2015-07-07,63.0
2015-07-08,61.0
2015-07-09,58.0
2015-07-10,56.0
2015-07-11,56.0
2015-07-12,61.0
2015-07-13,65.0
2015-07-14,60.0
2015-07-15,61.0
2015-07-16,63.0
2015-07-17,65.0
2015-07-18,63.0
2015-07-19,62.0
2015-07-20,63.0
2015-07-21,64.0
2015-07-22,64.0
2015-07-23,61.0
2015-07-24,60.0
2015-07-25,59.0
2015-07-26,60.0
2015-07-27,59.0
2015-07-28,61.0
2015-07-29,66.0
2015-07-30,69.0
2015-07-31,72.0
2015-08-01,65.0
2015-08-02,66.0
2015-08-03,64.0
2015-08-04,61.0
2015-08-05,59.0
2015-08-06,64.0
2015-08-07,60.0
2015-08-08,59.0
2015-08-09,62.0
2015-08-10,62.0
2015-08-11,60.0
2015-08-12,59.0
2015-08-13,60.0
2015-08-14,61.0
2015-08-15,63.0
2015-08-16,68.0
2015-08-17,68.0
2015-08-18,68.0
2015-08-19,65.0
2015-08-20,62.0
2015-08-21,62.0
2015-08-22,62.0
2015-08-23,63.0
2015-08-24,64.0
2015-08-25,64.0
2015-08-26,68.0
2015-08-27,65.0
2015-08-28,66.0
2015-08-29,65.0
2015-08-30,61.0
2015-08-31,57.0
2015-09-01,58.0
2015-09-02,61.0
2015-09-03,56.0
2015-09-04,55.0
2015-09-05,53.0
2015-09-06,54.0
2015-09-07,57.0
2015-09-08,61.0
2015-09-09,64.0
