DATE TIME,NTP
2015-01-05,39.0
2015-01-06,44.0
2015-01-07,42.0
2015-01-08,41.0
2015-01-09,42.0
2015-01-10,40.0
2015-01-11,37.0
2015-01-12,34.0
2015-01-13,36.0
2015-01-14,32.0
2015-01-15,34.0
2015-01-16,38.0
2015-01-17,40.0
2015-01-18,39.0
2015-01-19,38.0
2015-01-20,38.0
2015-01-21,37.0
2015-01-22,34.0
2015-01-23,36.0
2015-01-24,45.0
2015-01-25,49.0
2015-01-26,43.0
2015-01-27,35.0
2015-01-28,33.0
2015-01-29,37.0
2015-01-30,37.0
2015-01-31,40.0
2015-02-01,41.0
2015-02-02,41.0
2015-02-03,39.0
2015-02-04,39.0
2015-02-05,40.0
2015-02-06,39.0
2015-02-07,34.0
2015-02-08,38.0
2015-02-09,36.0
2015-02-10,32.0
2015-02-11,39.0
2015-02-12,42.0
2015-02-13,44.0
2015-02-14,45.0
2015-02-15,42.0
2015-02-16,42.0
2015-02-17,42.0
2015-02-18,42.0
2015-02-19,43.0
2015-02-20,39.0
2015-02-21,37.0
2015-02-22,33.0
2015-02-23,33.0
2015-02-24,32.0
2015-02-25,34.0
2015-02-26,34.0
2015-02-27,32.0
2015-02-28,28.0
2015-03-01,27.0
2015-03-02,30.0
2015-03-03,26.0
2015-03-04,27.0
2015-03-05,32.0
2015-03-06,37.0
2015-03-07,40.0
2015-03-08,39.0
2015-03-09,43.0
2015-03-10,40.0
2015-03-11,39.0
2015-03-12,36.0
2015-03-13,42.0
2015-03-14,48.0
2015-03-15,48.0
2015-03-16,44.0
2015-03-17,46.0
2015-03-18,41.0
2015-03-19,44.0
2015-03-20,42.0
2015-03-21,40.0
2015-03-22,39.0
2015-03-23,36.0
2015-03-24,35.0
2015-03-25,39.0
2015-03-26,43.0
2015-03-27,45.0
2015-03-28,45.0
2015-03-29,45.0
2015-03-30,45.0
2015-03-31,42.0
2015-04-01,34.0
2015-04-02,32.0
2015-04-03,34.0
2015-04-04,35.0
2015-04-05,35.0
2015-04-06,33.0
2015-04-07,30.0
2015-04-08,25.0
2015-04-09,31.0
2015-04-10,35.0
2015-04-11,35.0
2015-04-12,39.0
2015-04-13,42.0
2015-04-14,35.0
2015-04-15,33.0
2015-04-16,38.0
2015-04-17,38.0
2015-04-18,40.0
2015-04-19,46.0
2015-04-20,46.0
2015-04-21,46.0
2015-04-22,41.0
2015-04-23,39.0
2015-04-24,40.0
2015-04-25,32.0
2015-04-26,32.0
2015-04-27,48.0
2015-04-28,45.0
2015-04-29,48.0
2015-04-30,47.0
2015-05-01,51.0
2015-05-02,46.0
2015-05-03,44.0
2015-05-04,43.0
2015-05-05,43.0
2015-05-06,41.0
2015-05-07,32.0
2015-05-08,32.0
2015-05-09,38.0
2015-05-10,40.0
2015-05-11,46.0
2015-05-12,41.0
2015-05-13,37.0
2015-05-14,37.0
2015-05-15,35.0
2015-05-16,35.0
2015-05-17,41.0
2015-05-18,37.0
2015-05-19,36.0
2015-05-20,41.0
2015-05-21,44.0
2015-05-22,43.0
2015-05-23,44.0
2015-05-24,41.0
2015-05-25,45.0
2015-05-26,48.0
2015-05-27,48.0
2015-05-28,47.0
2015-05-29,51.0
2015-05-30,54.0
2015-05-31,55.0
2015-06-01,50.0
2015-06-02,44.0
2015-06-03,48.0
2015-06-04,49.0
2015-06-05,47.0
2015-06-06,53.0
2015-06-07,50.0
2015-06-08,56.0
2015-06-09,60.0
2015-06-10,55.0
2015-06-11,51.0
2015-06-12,59.0
2015-06-13,57.0
2015-06-14,59.0
2015-06-15,56.0
2015-06-16,53.0
2015-06-17,56.0
2015-06-18,56.0
2015-06-19,55.0
2015-06-20,58.0
2015-06-21,55.0
2015-06-22,53.0
2015-06-23,53.0
2015-06-24,56.0
2015-06-25,60.0
2015-06-26,63.0
2015-06-27,64.0
2015-06-28,65.0
2015-06-29,65.0
2015-06-30,66.0
2015-07-01,67.0
2015-07-02,60.0
2015-07-03,59.0
2015-07-04,63.0
2015-07-05,61.0
2015-07-06,61.0
2015-07-07,59.0
2015-07-08,54.0
2015-07-09,49.0
2015-07-10,48.0
2015-07-11,49.0
2015-07-12,52.0
2015-07-13,58.0
2015-07-14,55.0
2015-07-15,54.0
2015-07-16,58.0
2015-07-17,59.0
2015-07-18,57.0
2015-07-19,55.0
2015-07-20,58.0
2015-07-21,57.0
2015-07-22,56.0
2015-07-23,55.0
2015-07-24,54.0
2015-07-25,52.0
2015-07-26,53.0
2015-07-27,52.0
2015-07-28,56.0
2015-07-29,62.0
2015-07-30,63.0
2015-07-31,68.0
2015-08-01,62.0
2015-08-02,62.0
2015-08-03,58.0
2015-08-04,57.0
2015-08-05,55.0
2015-08-06,61.0
2015-08-07,58.0
2015-08-08,52.0
2015-08-09,56.0
2015-08-10,57.0
2015-08-11,53.0
2015-08-12,53.0
2015-08-13,58.0
2015-08-14,59.0
2015-08-15,59.0
2015-08-16,64.0
2015-08-17,63.0
2015-08-18,62.0
2015-08-19,60.0
2015-08-20,58.0
2015-08-21,57.0
2015-08-22,57.0
2015-08-23,57.0
2015-08-24,57.0
2015-08-25,59.0
2015-08-26,62.0
2015-08-27,61.0
2015-08-28,60.0
2015-08-29,59.0
2015-08-30,55.0
2015-08-31,53.0
2015-09-01,54.0
2015-09-02,52.0
2015-09-03,51.0
2015-09-04,48.0
2015-09-05,46.0
2015-09-06,48.0
2015-09-07,50.0
2015-09-08,54.0
2015-09-09,60.0
2015-09-10,63.0
2015-09-11,63.0
2015-09-12,63.0
2015-09-13,62.0
2015-09-14,54.0
2015-09-15,52.0
2015-09-16,45.0
2015-09-17,41.0
2015-09-18,46.0
2015-09-19,51.0
2015-09-20,55.0
2015-09-21,56.0
2015-09-22,55.0
2015-09-23,55.0
2015-09-24,55.0
2015-09-25,59.0
2015-09-26,60.0
2015-09-27,57.0
2015-09-28,57.0
2015-09-29,57.0
2015-09-30,55.0
2015-10-01,46.0
2015-10-02,42.0
2015-10-03,48.0
2015-10-04,43.0
2015-10-05,41.0
2015-10-06,44.0
2015-10-07,47.0
2015-10-08,53.0
2015-10-09,56.0
2015-10-10,56.0
2015-10-11,55.0
2015-10-12,58.0
2015-10-13,57.0
2015-10-14,56.0
2015-10-15,52.0
2015-10-16,51.0
