DATE TIME,VLC
2015-01-05,25.0
2015-01-06,23.0
2015-01-07,24.0
2015-01-08,21.0
2015-01-09,25.0
2015-01-10,21.0
2015-01-11,18.0
2015-01-12,16.0
2015-01-13,17.0
2015-01-14,14.0
2015-01-15,20.0
2015-01-16,23.0
2015-01-17,23.0
2015-01-18,22.0
2015-01-19,19.0
2015-01-20,20.0
2015-01-21,18.0
2015-01-22,17.0
2015-01-23,18.0
2015-01-24,33.0
2015-01-25,32.0
2015-01-26,26.0
2015-01-27,16.0
2015-01-28,14.0
2015-01-29,17.0
2015-01-30,20.0
2015-01-31,23.0
2015-02-01,24.0
2015-02-02,22.0
2015-02-03,20.0
2015-02-04,25.0
2015-02-05,22.0
2015-02-06,26.0
2015-02-07,23.0
2015-02-08,23.0
2015-02-09,13.0
2015-02-10,11.0
2015-02-11,23.0
2015-02-12,29.0
2015-02-13,29.0
2015-02-14,25.0
2015-02-15,23.0
2015-02-16,23.0
2015-02-17,25.0
2015-02-18,25.0
2015-02-19,24.0
2015-02-20,21.0
2015-02-21,24.0
2015-02-22,15.0
2015-02-23,14.0
2015-02-24,16.0
2015-02-25,22.0
2015-02-26,22.0
2015-02-27,11.0
2015-02-28,4.0
2015-03-01,7.0
2015-03-02,2.0
2015-03-03,1.0
2015-03-04,8.0
2015-03-05,11.0
2015-03-06,16.0
2015-03-07,20.0
2015-03-08,20.0
2015-03-09,23.0
2015-03-10,20.0
2015-03-11,19.0
2015-03-12,19.0
2015-03-13,21.0
2015-03-14,29.0
2015-03-15,31.0
2015-03-16,26.0
2015-03-17,26.0
2015-03-18,24.0
2015-03-19,26.0
2015-03-20,23.0
2015-03-21,22.0
2015-03-22,25.0
2015-03-23,22.0
2015-03-24,20.0
2015-03-25,28.0
2015-03-26,25.0
2015-03-27,29.0
2015-03-28,25.0
2015-03-29,28.0
2015-03-30,29.0
2015-03-31,19.0
2015-04-01,17.0
2015-04-02,8.0
2015-04-03,16.0
2015-04-04,18.0
2015-04-05,20.0
2015-04-06,14.0
2015-04-07,12.0
2015-04-08,6.0
2015-04-09,8.0
2015-04-10,15.0
2015-04-11,17.0
2015-04-12,22.0
2015-04-13,27.0
2015-04-14,23.0
2015-04-15,19.0
2015-04-16,20.0
2015-04-17,24.0
2015-04-18,30.0
2015-04-19,33.0
2015-04-20,26.0
2015-04-21,30.0
2015-04-22,25.0
2015-04-23,21.0
2015-04-24,25.0
2015-04-25,14.0
2015-04-26,12.0
2015-04-27,31.0
2015-04-28,28.0
2015-04-29,30.0
2015-04-30,30.0
2015-05-01,30.0
2015-05-02,27.0
2015-05-03,27.0
2015-05-04,27.0
2015-05-05,25.0
2015-05-06,25.0
2015-05-07,17.0
2015-05-08,20.0
2015-05-09,30.0
2015-05-10,29.0
2015-05-11,28.0
2015-05-12,26.0
2015-05-13,23.0
2015-05-14,19.0
2015-05-15,19.0
2015-05-16,16.0
2015-05-17,27.0
2015-05-18,18.0
2015-05-19,17.0
2015-05-20,24.0
2015-05-21,23.0
2015-05-22,23.0
2015-05-23,28.0
2015-05-24,32.0
2015-05-25,30.0
2015-05-26,29.0
2015-05-27,28.0
2015-05-28,30.0
2015-05-29,33.0
2015-05-30,36.0
2015-05-31,38.0
2015-06-01,28.0
2015-06-02,25.0
2015-06-03,32.0
2015-06-04,28.0
2015-06-05,27.0
2015-06-06,32.0
2015-06-07,31.0
2015-06-08,34.0
2015-06-09,36.0
2015-06-10,35.0
2015-06-11,36.0
2015-06-12,39.0
2015-06-13,37.0
2015-06-14,37.0
2015-06-15,36.0
2015-06-16,32.0
2015-06-17,37.0
2015-06-18,37.0
2015-06-19,36.0
2015-06-20,38.0
2015-06-21,40.0
2015-06-22,33.0
2015-06-23,37.0
2015-06-24,42.0
2015-06-25,39.0
2015-06-26,42.0
2015-06-27,44.0
2015-06-28,45.0
2015-06-29,43.0
2015-06-30,42.0
2015-07-01,50.0
2015-07-02,47.0
2015-07-03,42.0
2015-07-04,43.0
2015-07-05,39.0
2015-07-06,40.0
2015-07-07,36.0
2015-07-08,34.0
2015-07-09,33.0
2015-07-10,30.0
2015-07-11,32.0
2015-07-12,32.0
2015-07-13,36.0
2015-07-14,37.0
2015-07-15,37.0
2015-07-16,39.0
2015-07-17,37.0
2015-07-18,39.0
2015-07-19,38.0
2015-07-20,44.0
2015-07-21,37.0
2015-07-22,37.0
2015-07-23,35.0
2015-07-24,33.0
2015-07-25,32.0
2015-07-26,33.0
2015-07-27,30.0
2015-07-28,38.0
2015-07-29,38.0
2015-07-30,40.0
2015-07-31,46.0
2015-08-01,41.0
2015-08-02,39.0
2015-08-03,37.0
2015-08-04,36.0
2015-08-05,36.0
2015-08-06,44.0
2015-08-07,33.0
2015-08-08,31.0
2015-08-09,34.0
2015-08-10,35.0
2015-08-11,33.0
2015-08-12,37.0
2015-08-13,40.0
2015-08-14,40.0
2015-08-15,41.0
2015-08-16,42.0
2015-08-17,41.0
2015-08-18,42.0
2015-08-19,41.0
2015-08-20,38.0
2015-08-21,42.0
2015-08-22,40.0
2015-08-23,39.0
2015-08-24,39.0
2015-08-25,38.0
2015-08-26,39.0
2015-08-27,41.0
2015-08-28,39.0
2015-08-29,39.0
2015-08-30,36.0
2015-08-31,37.0
2015-09-01,34.0
2015-09-02,35.0
2015-09-03,31.0
2015-09-04,30.0
2015-09-05,25.0
2015-09-06,31.0
2015-09-07,29.0
2015-09-08,33.0
2015-09-09,36.0
2015-09-10,40.0
2015-09-11,41.0
2015-09-12,41.0
2015-09-13,37.0
2015-09-14,34.0
2015-09-15,37.0
2015-09-16,27.0
2015-09-17,24.0
2015-09-18,32.0
2015-09-19,32.0
2015-09-20,34.0
2015-09-21,36.0
2015-09-22,33.0
2015-09-23,31.0
2015-09-24,36.0
2015-09-25,42.0
2015-09-26,39.0
2015-09-27,36.0
2015-09-28,34.0
2015-09-29,40.0
2015-09-30,40.0
2015-10-01,30.0
2015-10-02,25.0
2015-10-03,27.0
2015-10-04,27.0
2015-10-05,32.0
2015-10-06,31.0
2015-10-07,39.0
2015-10-08,40.0
2015-10-09,37.0
2015-10-10,35.0
2015-10-11,33.0
2015-10-12,34.0
2015-10-13,34.0
2015-10-14,34.0
2015-10-15,36.0
2015-10-16,34.0
2015-10-17,34.0
2015-10-18,30.0
2015-10-19,23.0
2015-10-20,30.0
2015-10-21,26.0
2015-10-22,24.0
2015-10-23,27.0
2015-10-24,27.0
2015-10-25,25.0
2015-10-26,25.0
2015-10-27,31.0
2015-10-28,27.0
2015-10-29,23.0
2015-10-30,32.0
2015-10-31,32.0
2015-11-01,31.0
2015-11-02,21.0
2015-11-03,7.0
2015-11-04,4.0
2015-11-05,8.0
2015-11-06,13.0
2015-11-07,19.0
2015-11-08,17.0
2015-11-09,4.0
2015-11-10,4.0
2015-11-11,7.0
2015-11-12,14.0
2015-11-13,19.0
2015-11-14,20.0
2015-11-15,10.0
2015-11-16,8.0
2015-11-17,29.0
2015-11-18,26.0
2015-11-19,23.0
2015-11-20,24.0
2015-11-21,23.0
2015-11-22,22.0
2015-11-23,22.0
